game	M1_v0.7.8a6	10yard	\N	\N	\N	\N	\N	10-Yard Fight (World) [sound only]	1983	Irem	\N	\N	Irem M62	
game_rom	M1_v0.7.8a6	10yard	yf-s.3b	\N	\N	8192	0392a60c	68030504eafc58db250099edd3c3323bdb9eff6b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	10yard	yf-s.1b	\N	\N	8192	6588f41a	209305efc68171886427216b9a0b37333f40daa8	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	10yard	yf-s.3a	\N	\N	8192	bd054e44	f10c32c70d60680229fc0891d0e1308015fa69d6	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	10yard	yf-s.1a	\N	\N	8192	2490d4c3	e4da7b01e8ad075b7e3c8beb6668faff72db9aa2	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	1941	\N	\N	\N	\N	\N	1941 - Counter Attack (World) [sound only]	1990	Capcom	\N	\N	CPS-1	
game_rom	M1_v0.7.8a6	1941	41_09.rom	\N	\N	65536	0f9d8527	3a00dd5772f38081fde11d8d61ba467379e2a636	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	1941	41_18.rom	\N	\N	131072	d1f15aeb	88089383f2d54fc97026a67f067d448eee5bd0c2	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	1941	41_19.rom	\N	\N	131072	15aec3a6	8153c03aba005bab62bf0e8b3d15ec1c346326fd	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	1942	\N	\N	\N	\N	\N	1942 (set 1) [sound only]	1984	Capcom	\N	\N	Capcom 1942	
game_rom	M1_v0.7.8a6	1942	1-c11.bin	\N	\N	16384	bd87f06b	821f85cf157f81117eeaba0c3cf0337eac357e58	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	1943	\N	\N	\N	\N	\N	1943: The Battle of Midway (US) [sound only]	1987	Capcom	\N	\N	Ghosts and Goblins	
game_rom	M1_v0.7.8a6	1943	1943.05	\N	\N	32768	ee2bd2d7	4d2d019a9f8452fbbb247e893280568a2e86073e	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	1943kai	\N	\N	\N	\N	\N	1943 Kai: Midway Kaisen (Japan) [sound only]	1987	Capcom	\N	\N	Ghosts and Goblins	
game_rom	M1_v0.7.8a6	1943kai	1943kai.05	\N	\N	32768	25f37957	1e50c2a920eb3b5c881843686db857e9fee5ba1d	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	1944	\N	\N	\N	\N	\N	1944: The Loop Master (USA 000620) [sound only]	2000	Capcom, supported by Eighting/Raizing	\N	\N	Capcom QSound (CPS version)	
game_rom	M1_v0.7.8a6	1944	nff.01	\N	\N	131072	d2e44318	33e45f6fe9fed098a4c072b8c39406aef1a949b2	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	1944	nff.11m	\N	\N	4194304	243e4e05	83281f7290ac105a3f9a7507cbc11317d45ba706	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	1944	nff.12m	\N	\N	4194304	4fcf1600	36f18c5d92b79433bdf7088b29a244708929d48e	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	19xx	\N	\N	\N	\N	\N	19XX: The War Against Destiny (USA 951207) [sound only]	1996	Capcom	\N	\N	Capcom QSound (CPS version)	
game_rom	M1_v0.7.8a6	19xx	19x.01	\N	\N	131072	ef55195e	813f465f2d392f6abeadbf661c54cf51171fa006	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	19xx	19x.11m	\N	\N	2097152	d38beef3	134e961b926a97cca5e45d3558efb98f6f278e08	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	19xx	19x.12m	\N	\N	2097152	d47c96e2	3c1b5563f8e7ee1c450b3592fcb319e928caec3c	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	2020bb	\N	\N	\N	\N	\N	2020 Super Baseball (set 1) [sound only]	1991	SNK / Pallas	\N	\N	Neo Geo	
game_rom	M1_v0.7.8a6	2020bb	030-m1.bin	\N	\N	131072	4cf466ec	6a003b53c7a4af9d7529e2c10f27ffc4e58dcda5	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	2020bb	030-v1.bin	\N	\N	1048576	d4ca364e	b0573744b0ea2ef1e2167a225f0d254883f5af04	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	2020bb	030-v2.bin	\N	\N	1048576	54994455	76eb62b86e8ed51a77f44313d5cc8091b3f58d57	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	3countb	\N	\N	\N	\N	\N	3 Count Bout / Fire Suplex [sound only]	1993	SNK	\N	\N	Neo Geo	
game_rom	M1_v0.7.8a6	3countb	043-m1.bin	\N	\N	131072	3377cda3	5712cd0717585914120ebf307391e1e3171f5396	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	3countb	043-v1.bin	\N	\N	2097152	63688ce8	5c6ac29a0cc0655a87cfe3ada8706838b86b86e4	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	3countb	043-v2.bin	\N	\N	2097152	c69a827b	f5197ea87bb6573fa6aef3a1713c3679c58c1e74	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	3wonders	\N	\N	\N	\N	\N	Three Wonders (World 910520) [sound only]	1991	Capcom	\N	\N	CPS-1	
game_rom	M1_v0.7.8a6	3wonders	3wonders.09	\N	\N	65536	abfca165	428069d3bdc45775854cd0e8abe447f134fe5492	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	3wonders	3wonders.18	\N	\N	131072	26b211ab	0ea03fdd9edff41eacfc52aa9e0421c10968356b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	3wonders	3wonders.19	\N	\N	131072	dbe64ad0	09f2ad522fe75d7bcca094b8c6696c3733b539d5	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	47pie2	\N	\N	\N	\N	\N	Idol Janshi Su-Chi-Pie 2 (v1.1) [sound only]	1994	Jaleco	\N	\N	Jaleco Mega System 32	
game_rom	M1_v0.7.8a6	47pie2	93166-21.bin	\N	\N	262144	e7fd1bf4	74567530364bfd93bffddb588758d8498e197668	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	47pie2	94019-10.22	\N	\N	2097152	745d41ec	9118d0f27b65c9d37970326ccf86fdccb81d32f5	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	47pie2	94019-11.23	\N	\N	2097152	021dc350	c71936091f86440201fdbdc94b0d1d22c4018188	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	4dwarrio	\N	\N	\N	\N	\N	4-D Warriors (315-5162) [sound only]	1985	Coreland / Sega	\N	\N	Sega System 1/2	
game_rom	M1_v0.7.8a6	4dwarrio	4d.120	\N	\N	8192	5241c009	b7a21f95b63234f2496d5ea6e7dc8050ca1b39fc	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	64street	\N	\N	\N	\N	\N	64th. Street - A Detective Story (World) [sound only]	1991	Jaleco	\N	\N	Jaleco Mega System 1 (68k version)	
game_rom	M1_v0.7.8a6	64street	64th_08.rom	\N	\N	65536	632be0c1	626073037249d96ac70b2d11b2dd72b22bac49c7	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	64street	64th_07.rom	\N	\N	65536	13595d01	e730a530ca232aab883217fa12804075cb2aa640	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	64street	64th_11.rom	\N	\N	131072	b0b8a65c	b7e42d9083d0bbfe160fc73a7317d696e90d83d6	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	64street	64th_10.rom	\N	\N	262144	a3390561	f86d5c61e3e80d30408535c2203940ca1e95ac18	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	720	\N	\N	\N	\N	\N	720 Degrees (rev 4) [sound only]	1986	Atari Games	\N	\N	Atari System 2	
game_rom	M1_v0.7.8a6	720	136047-2134.2a	\N	\N	16384	0db4ca28	71c2e0eee0eee418bdd2f806bd6ce5ae1c72bf69	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	720	136047-1135.2b	\N	\N	16384	b1f157d0	26355324d49baa02acb777940d7f49d074a75fe5	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	720	136047-2136.2cd	\N	\N	16384	00b06bec	cd771eea329e0f6ab5bff1035f931800cc5da545	\N	\N	\N	\N	\N	\N	
