game	RCPS	ffight	\N	\N	\N	\N	\N	Final Fight (World)	1989	Capcom	\N	\N	\N	
game_rom	RCPS	ffight	ff30-36.bin	\N	\N	131072	f9a5ce83	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffight	ff35-42.bin	\N	\N	131072	65f11215	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffight	ff31-37.bin	\N	\N	131072	e1033784	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffight	ff36-43.bin	\N	\N	131072	995e968a	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffight	ff32-32m.bin	\N	\N	524288	c747696e	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffight	ff05-05m.bin	\N	\N	524288	9c284108	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffight	ff07-07m.bin	\N	\N	524288	a7584dfb	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffight	ff01-01m.bin	\N	\N	524288	0b605e44	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffight	ff03-03m.bin	\N	\N	524288	52291cd2	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffight	ff09-09.bin	\N	\N	65536	b8367eb5	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffight	ff18-18.bin	\N	\N	131072	375c66e7	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffight	ff19-19.bin	\N	\N	131072	1ef137f9	\N	\N	\N	\N	\N	\N	\N	
game	RCPS	ffightj	\N	\N	ffight	ffight	\N	Final Fight (Japan)	1989	Capcom	\N	\N	\N	
game_rom	RCPS	ffightj	ff30-36.bin	ff30-36.bin	\N	131072	f9a5ce83	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff35-42.bin	ff35-42.bin	\N	131072	65f11215	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff31-37.bin	ff31-37.bin	\N	131072	e1033784	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff43.bin	\N	\N	131072	b6dee1c3	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff32-32m.bin	ff32-32m.bin	\N	524288	c747696e	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff09.bin	\N	\N	131072	5b116d0d	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff01.bin	\N	\N	131072	815b1797	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff13.bin	\N	\N	131072	8721a7da	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff05.bin	\N	\N	131072	d0fcd4b5	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff24.bin	\N	\N	131072	a1ab607a	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff17.bin	\N	\N	131072	2dc18cf4	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff38.bin	\N	\N	131072	6535a57f	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff32.bin	\N	\N	131072	c8bc4a57	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff10.bin	\N	\N	131072	624a924a	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff02.bin	\N	\N	131072	5d91f694	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff14.bin	\N	\N	131072	0a2e9101	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff06.bin	\N	\N	131072	1c18f042	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff25.bin	\N	\N	131072	6e8181ea	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff18.bin	\N	\N	131072	b19ede59	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff39.bin	\N	\N	131072	9416b477	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff33.bin	\N	\N	131072	7369fa07	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff09-09.bin	ff09-09.bin	\N	65536	b8367eb5	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff18-18.bin	ff18-18.bin	\N	131072	375c66e7	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightj	ff19-19.bin	ff19-19.bin	\N	131072	1ef137f9	\N	\N	\N	\N	\N	\N	\N	
game	RCPS	ffightu	\N	\N	ffight	ffight	\N	Final Fight (US)	1989	Capcom	\N	\N	\N	
game_rom	RCPS	ffightu	36	\N	\N	131072	e2a48af9	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightu	42	\N	\N	131072	f4bb480e	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightu	37	\N	\N	131072	c371c667	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightu	43	\N	\N	131072	2f5771f9	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightu	ff32-32m.bin	ff32-32m.bin	\N	524288	c747696e	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightu	ff05-05m.bin	ff05-05m.bin	\N	524288	9c284108	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightu	ff07-07m.bin	ff07-07m.bin	\N	524288	a7584dfb	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightu	ff01-01m.bin	ff01-01m.bin	\N	524288	0b605e44	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightu	ff03-03m.bin	ff03-03m.bin	\N	524288	52291cd2	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightu	ff09-09.bin	ff09-09.bin	\N	65536	b8367eb5	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightu	ff18-18.bin	ff18-18.bin	\N	131072	375c66e7	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	ffightu	ff19-19.bin	ff19-19.bin	\N	131072	1ef137f9	\N	\N	\N	\N	\N	\N	\N	
game	RCPS	3wonders	\N	\N	\N	\N	\N	Three Wonders (World)	1991	Capcom	\N	\N	\N	
game_rom	RCPS	3wonders	rte.30a	\N	\N	131072	ef5b8b33	\N	\N	\N	\N	\N	\N	\N	
game_rom	RCPS	3wonders	rte.35a	\N	\N	131072	7d705529	\N	\N	\N	\N	\N	\N	\N	
