game	BeGeminiWing_v0.80	gemini	\N	\N	\N	\N	\N	Gemini Wing	1987	Tecmo	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW17-3R.ROM	\N	\N	65536	79a9ce25	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW02-3H.ROM	\N	\N	32768	7acc8d35	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW03-5H.ROM	\N	\N	32768	9bc79596	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW04-5S.ROM	\N	\N	65536	ff9de855	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW05-6S.ROM	\N	\N	65536	5a6947a9	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW06-1C.ROM	\N	\N	65536	4ea51631	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW07-1D.ROM	\N	\N	65536	da42637e	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW08-1F.ROM	\N	\N	65536	0b4e8d70	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW09-1H.ROM	\N	\N	65536	b65c5e4c	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW10-1N.ROM	\N	\N	65536	5e84cd4f	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW11-2NA.ROM	\N	\N	65536	08b458e1	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW12-2NB.ROM	\N	\N	65536	229c9714	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW13-3N.ROM	\N	\N	65536	c5dfaf47	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW14-1R.ROM	\N	\N	65536	9c10e5b5	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW15-2RA.ROM	\N	\N	65536	4cd18cfa	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW16-2RB.ROM	\N	\N	65536	f911c7be	\N	\N	\N	\N	\N	\N	\N	
game_rom	BeGeminiWing_v0.80	gemini	GW01-6A.ROM	\N	\N	32768	d78afa05	\N	\N	\N	\N	\N	\N	\N	
