game	ZEM_v0.001	wb_mland	\N	\N	\N	\N	\N	Wonder Boy in Monster Land	1987	bootleg	\N	\N	\N	
game_rom	ZEM_v0.001	wb_mland	ml1a.bin	\N	\N	32768	39e07286	70192f03e52dd34c9fe5698a5ec1c24d3c58543c	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	wb_mland	ml2.bin	\N	\N	65536	48746bb6	a0049cba53e7548afa8d7b16a7e9494e628d2a0f	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	wb_mland	ml3.bin	\N	\N	65536	66482638	887f93015f0effa2d0fa1f1f59082f75ac072221	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	wb_mland	ml4.bin	\N	\N	32768	f05ffc76	f3dbb518240f86430840c3d4cda04bac79c20f69	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	wb_mland	ml5.bin	\N	\N	32768	cedc9c61	dbe5744f9b6f2a406b52b910dd4e133db7bce6b2	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	wb_mland	ml6.bin	\N	\N	32768	af0b3972	413825f66b84c7e45aa1855131482abead8f7f3b	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	wb_mland	ml7.bin	\N	\N	32768	277d8f1d	7854673503ed03d276abe971805a11f8c992f6d6	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	wb_mland	ml8.bin	\N	\N	32768	a52ffbdd	609375112268b770a798186697ecab5853f29f89	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	wb_mland	ml9.bin	\N	\N	32768	77567d41	2ac501661522615859f8a1718dbb8451272d6931	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	wb_mland	ml10.bin	\N	\N	32768	bbea6afe	ba56c6789a35eb57cd226296ebf57e9aa19ba625	\N	\N	\N	\N	\N	\N	
game	ZEM_v0.001	pitfall2	\N	\N	\N	\N	\N	Pitfall II (not encrypted)	1985	Sega	\N	\N	\N	
game_rom	ZEM_v0.001	pitfall2	epr6454a	\N	\N	16384	a5d96780	e0571f6fd031bbe2d971c3be7b96a017b0ea4be9	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	pitfall2	epr6455	\N	\N	16384	32ee64a1	21743f78735fc9105fbbfac420bdaa2965b4b56f	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	pitfall2	epr6469a	\N	\N	8192	e4ac6921	f95e3b368c2c6dbf8265fb314d73019fe7dcce22	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	pitfall2	epr6470a	\N	\N	8192	1439729f	54ea6ef54be6dcc2a5d00f7f817fd8836a02b3b9	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	pitfall2	epr6471a	\N	\N	8192	d5bc805c	520afa7617e8dfd09bf469c01ac606a4a3acdc5e	\N	\N	\N	\N	\N	\N	
game_rom	ZEM_v0.001	pitfall2	epr6472a	\N	\N	8192	e0f34a11	b7a96a1867f8bd3cc1251b5fd12991c406e62a37	\N	\N	\N	\N	\N	\N	
