game	SNAME_v0.2	pontoon	\N	\N	\N	\N	\N	Pontoon	1985	Tehkan	\N	\N	\N	
game_rom	SNAME_v0.2	pontoon	ponttekh.001	\N	\N	16384	1f8c1b38	3776ddd695741223bd9ad41f74187bff31f2cd3b	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	pontoon	ponttekh.002	\N	\N	8192	befb4f48	8ca146c8b52afab5deb6f0ff52bdbb2b1ff3ded7	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	pontoon	ponttekh.003	\N	\N	8192	a6a91b3d	d180eabe67efd3fd1205570b661a74acf7ed93b3	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	pontoon	ponttekh.004	\N	\N	8192	976ed924	4d305694b3e157411068baf3052e3aac7d0b32d5	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	pontoon	ponttekh.005	\N	\N	8192	2b8e8ca7	dd86d3b4fd1627bdaa0603ffd2f1bc2953bc51f8	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	pontoon	ponttekh.006	\N	\N	8192	6bc23965	b73a584fc5b2dd9436bbb8bc1620f5a51d351aa8	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	pontoon	pon24s10.003	\N	\N	256	4623b7f3	55948753dec09d0a476b90ca75e7e092ce0f68ee	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	pontoon	pon24s10.002	\N	\N	256	117e1b67	b753137878fe5cd650722cf526cd4929821240a8	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	pontoon	pon24s10.001	\N	\N	256	c64ecee8	80c9ec21e135235f7f2d41ce7900cf3904123823	\N	\N	\N	\N	\N	\N	
game	SNAME_v0.2	goldstar	\N	\N	\N	\N	\N	Golden Star	\N	IGS	\N	\N	\N	
game_rom	SNAME_v0.2	goldstar	gs4-cpu.bin	\N	\N	65536	73e47d4d	df2d8233572dc12e8a4b56e5d4f6c566e4ababc9	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	goldstar	gs2.bin	\N	\N	131072	a2d5b898	84cca22c91628cfefb67013652b151f034a06159	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	goldstar	gs3.bin	\N	\N	32768	8454ce3c	74686ebb91f191db8cbc3d0417a5e8112c5b67b1	\N	\N	\N	\N	\N	\N	
game_rom	SNAME_v0.2	goldstar	gs1-snd.bin	\N	\N	131072	9d58960f	c68edf95743e146398aabf6b9617d18e1f9bf25b	\N	\N	\N	\N	\N	\N	
