game	EMU_v2.3	asteroid	\N	\N	\N	\N	\N	Asteroids (rev 2)	1979	Atari	\N	\N	\N	
game_rom	EMU_v2.3	asteroid	035145.02	\N	\N	2048	0cc75459	2af85c9689b878155004da47fedbde5853a18723	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	asteroid	035144.02	\N	\N	2048	096ed35c	064d680ded7f30c543f93ae5ca85f90d550f73e5	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	asteroid	035143.02	\N	\N	2048	312caa02	1ce2eac1ab90b972e3f1fc3d250908f26328d6cb	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	asteroid	035127.02	\N	\N	2048	8b71fd9e	8cd5005e531eafa361d6b7e9eed159d164776c70	\N	\N	\N	\N	\N	\N	
game	EMU_v2.3	astdelux	\N	\N	\N	\N	\N	Asteroids Deluxe (rev 2)	1980	Atari	\N	\N	\N	
game_rom	EMU_v2.3	astdelux	036430.02	\N	\N	2048	a4d7a525	abe262193ec8e1981be36928e9a89a8ac95cd0ad	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	astdelux	036431.02	\N	\N	2048	d4004aae	aa2099b8fc62a79879efeea70ea1e9ed77e3e6f0	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	astdelux	036432.02	\N	\N	2048	6d720c41	198218cd2f43f8b83e4463b1f3a8aa49da5015e4	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	astdelux	036433.03	\N	\N	2048	0dcc0be6	bf10ffb0c4870e777d6b509cbede35db8bb6b0b8	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	astdelux	036800.02	\N	\N	2048	bb8cabe1	cebaa1b91b96e8b80f2b2c17c6fd31fa9f156386	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	astdelux	036799.01	\N	\N	2048	7d511572	1956a12bccb5d3a84ce0c1cc10c6ad7f64e30b40	\N	\N	\N	\N	\N	\N	
game	EMU_v2.3	bzone	\N	\N	\N	\N	\N	Battle Zone (set 1)	1980	Atari	\N	\N	\N	
game_rom	EMU_v2.3	bzone	036414.01	\N	\N	2048	efbc3fa0	6d284fab34b09dde8aa0df7088711d4723f07970	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bzone	036413.01	\N	\N	2048	5d9d9111	42638cff53a9791a0f18d316f62a0ea8eea4e194	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bzone	036412.01	\N	\N	2048	ab55cbd2	6bbb8316d9f8588ea0893932f9174788292b8edc	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bzone	036411.01	\N	\N	2048	ad281297	54c5e06b2e69eb731a6c9b1704e4340f493e7ea5	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bzone	036410.01	\N	\N	2048	0b7bfaa4	33ae0f68b4e2eae9f3aecbee2d0b29003ce460b2	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bzone	036409.01	\N	\N	2048	1e14e919	448fab30535e6fad7e0ab4427bc06bbbe075e797	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bzone	036422.01	\N	\N	2048	7414177b	147d97a3b475e738ce00b1a7909bbd787ad06eda	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bzone	036421.01	\N	\N	2048	8ea8f939	b71e0ab0e220c3e64dc2b094c701fb1a960b64e4	\N	\N	\N	\N	\N	\N	
game	EMU_v2.3	bwidow	\N	\N	\N	\N	\N	Black Widow	1982	Atari	\N	\N	\N	
game_rom	EMU_v2.3	bwidow	136017.107	\N	\N	2048	97f6000c	bbae93058228820ee67b05f23e45fb54ee0963ff	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bwidow	136017.108	\N	\N	4096	3da354ed	935295d66ad40ad702eb7a694296e836f53d22ec	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bwidow	136017.109	\N	\N	4096	2fc4ce79	2b324877bf55151747eaacd9a58f846712bfbc14	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bwidow	136017.110	\N	\N	4096	0dd52987	72aa1d24f20cc86701189df486488edc434b1be1	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bwidow	136017.101	\N	\N	4096	fe3febb7	b62f7622ca60248e1b8376ee135ae3d94d0b4437	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bwidow	136017.102	\N	\N	4096	10ad0376	614c74daa468a7430ed965a3a9d07b6ad846016c	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bwidow	136017.103	\N	\N	4096	8a1430ee	3aa6c40721a4289c1cf01f37c89b6b0a96336c68	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bwidow	136017.104	\N	\N	4096	44f9943f	e83d8242e4592149719be6a68cf3aba46116072f	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bwidow	136017.105	\N	\N	4096	1fdf801c	33da2ba3cefa3d0dddc8647f9b6caf5d5bfe9b3b	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	bwidow	136017.106	\N	\N	4096	ccc9b26c	f1398e3ff2b62af1509bc117028845b671ff1ca2	\N	\N	\N	\N	\N	\N	
game	EMU_v2.3	gravitr2	\N	\N	\N	\N	\N	Gravitar (version 2)	1982	Atari	\N	\N	\N	
game_rom	EMU_v2.3	gravitr2	136010.210	\N	\N	2048	debcb243	2c50cd38d60739c126f1d0d8e7fbd46a0bde6e1c	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	gravitr2	136010.207	\N	\N	4096	4135629a	301ddb7a34b38140a1fdffc060cb08ff57f10cf1	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	gravitr2	136010.208	\N	\N	4096	358f25d9	9c2920cf2b73a93ac2808be654b08505037f53b1	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	gravitr2	136010.209	\N	\N	4096	37034287	4de7478fb566fd75f99533507228611cecb1f11a	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	gravitr2	136010.201	\N	\N	4096	167315e4	35613e5a503fac7f451c201675669f417e15241b	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	gravitr2	136010.202	\N	\N	4096	aaa9e62c	87fc660adb22f812a764efc46ffcf5f934d5e333	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	gravitr2	136010.203	\N	\N	4096	ae437253	e2402dc5fa755a05fa1d531a31b78e39e67f5cbe	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	gravitr2	136010.204	\N	\N	4096	5d6bc29e	fdd442644209ab858eb4ed1b4cdeb1db26f80108	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	gravitr2	136010.205	\N	\N	4096	0db1ff34	288d9ffff9d18025621be249ea25a7444f58f3a9	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	gravitr2	136010.206	\N	\N	4096	4521ca48	5770cb46c4ac28d632ad5910723a9edda8283ce5	\N	\N	\N	\N	\N	\N	
game	EMU_v2.3	llander	\N	\N	\N	\N	\N	Lunar Lander (rev 2)	1979	Atari	\N	\N	\N	
game_rom	EMU_v2.3	llander	034572.02	\N	\N	2048	b8763eea	5a15eaeaf825ccdf9ce013a6789cf51da20f785c	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	llander	034571.02	\N	\N	2048	77da4b2f	4be6cef5af38734d580cbfb7e4070fe7981ddfd6	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	llander	034570.02	\N	\N	2048	2724e591	ecf4430a0040c227c896aa2cd81ee03960b4d641	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	llander	034569.02	\N	\N	2048	72837a4e	9b21ba5e1518079c326ca6e15b9993e6c4483caa	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	llander	034599.01	\N	\N	2048	355a9371	6ecb40169b797d9eb623bcb17872f745b1bf20fa	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	llander	034598.01	\N	\N	2048	9c4ffa68	eb4ffc289d254f699f821df3146aa2c6cd78597f	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	llander	034597.01	\N	\N	2048	\N	\N	\N	\N	nodump	\N	\N	\N	
game	EMU_v2.3	redbaron	\N	\N	\N	\N	\N	Red Baron	1980	Atari	\N	\N	\N	
game_rom	EMU_v2.3	redbaron	037587.01	\N	\N	4096	60f23983	7a9e5380bf49bf50a2d8ab0e0bd1ba3ac8efde24	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	redbaron	037000.01e	\N	\N	2048	69bed808	27d99efc74113cdcbbf021734b8a5a5fdb78c04c	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	redbaron	036998.01e	\N	\N	2048	d1104dd7	0eab47cb45ede9dcc4dd7498dcf3a8d8194460b4	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	redbaron	036997.01e	\N	\N	2048	7434acb4	c950c4c12ab556b5051ad356ab4a0ed6b779ba1f	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	redbaron	036996.01e	\N	\N	2048	c0e7589e	c1aedc95966afffd860d7e0009d5a43e8b292036	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	redbaron	036995.01e	\N	\N	2048	ad81d1da	8bd66e5f34fc1c75f31eb6b168607e52aa3aa4df	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	redbaron	037006.01e	\N	\N	2048	9fcffea0	69b76655ee75742fcaa0f39a4a1cf3aa58088343	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	redbaron	037007.01e	\N	\N	2048	60250ede	9c48952bd69863bee0c6dce09f3613149e0151ef	\N	\N	\N	\N	\N	\N	
game	EMU_v2.3	spacduel	\N	\N	\N	\N	\N	Space Duel	1980	Atari	\N	\N	\N	
game_rom	EMU_v2.3	spacduel	136006.106	\N	\N	2048	691122fe	f53be76a49dba319050ca7767de3441521910e83	\N	\N	\N	\N	\N	\N	
game_rom	EMU_v2.3	spacduel	136006.107	\N	\N	4096	d8dd0461	58060b20b2511d30d2ec06479d21840bdd0b53c6	\N	\N	\N	\N	\N	\N	
