game	WinKawaks_v1.60	2020bb	\N	\N	\N	neogeo	\N	2020 Super Baseball	1991	SNK / Pallas	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bb	030-p1.bin	\N	\N	524288	d396c9cb	47ba421d14d05b965a8d44e7475b227a208e5a07	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bb	000-lo.lo	000-lo.lo	\N	131072	5a86cff2	5992277debadeb64d1c1c64b0a92d9293eaf7e4a	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bb	sp-s2.sp1	sp-s2.sp1	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bb	sfix.sfix	sfix.sfix	\N	131072	c2ea0cfd	fd4a618cdcdbf849374f0a50dd8efe9dbab706c3	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bb	030-s1.bin	\N	\N	131072	7015b8fc	8c09bc3e6c62e0f7c9557c1e10c901be325bae7f	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bb	030-m1.bin	\N	\N	131072	4cf466ec	6a003b53c7a4af9d7529e2c10f27ffc4e58dcda5	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bb	030-v1.bin	\N	\N	1048576	d4ca364e	b0573744b0ea2ef1e2167a225f0d254883f5af04	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bb	030-v2.bin	\N	\N	1048576	54994455	76eb62b86e8ed51a77f44313d5cc8091b3f58d57	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bb	030-c1.bin	\N	\N	1048576	4f5e19bd	ef7975c4b33a7aea4a25a385f604799f054d3200	\N	\N	\N	\N	\N	\N	
game_rom	WinKawaks_v1.60	2020bb	030-c2.bin	\N	\N	1048576	d6314bf0	0920cc580d7997fcb0170dd619af2f305d635577	\N	\N	\N	\N	\N	\N	
