game	JFF_v0.24	airbust	\N	\N	\N	\N	\N	Air Buster (aka Aero Blaster)	1990	Kaneko (Namco license)	\N	\N	\N	
game_rom	JFF_v0.24	airbust	pr-000.bin	\N	\N	524288	8ca68f0d	d60389e7e63e9850bcddecb486558de1414f1276	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	airbust	pr-001.bin	\N	\N	524288	7e6cb377	005290f9f53a0c3a6a9d04486b16b7fd52cc94b6	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	airbust	pr-02.bin	\N	\N	65536	6bbd5e46	26563737f3f91ee0a056d35ce42217bb57d8a081	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	airbust	pr-11j.bin	\N	\N	131072	85464124	8cce8dfdede48032c40d5f155fd58061866668de	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	airbust	pr-14j.bin	\N	\N	131072	6b9805bd	db6df33cf17316a4b81d7731dca9fe8bbf81f014	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	airbust	pr-200.bin	\N	\N	262144	a4dd3390	2d72b46b4979857f6b66489bebda9f48799f59cf	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	airbust	pr-21.bin	\N	\N	131072	6e0a5df0	616b7c7aaf52a9a55b63c60717c1866940635cd4	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	ambush	\N	\N	\N	\N	\N	Ambush	1983	Nippon Amuse Co-Ltd	\N	\N	\N	
game_rom	JFF_v0.24	ambush	ambush.e7	\N	\N	8192	6cc2d3ee	dccb417d156460ca745d7b62f1df733cbf85d092	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ambush	ambush.f7	\N	\N	8192	d023ca29	1ac44960cf6d79936517a9ad4bae6ccd825c9496	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ambush	ambush.g7	\N	\N	8192	90291409	82f1e109bd066ad9fdea1ce0086be6c334e2658a	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ambush	ambush.h7	\N	\N	8192	ce306563	c69b5c4465187a8eda6367d6cd3e0b71a57588d1	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ambush	ambush.m4	\N	\N	8192	e86ca98a	fae0786bb78ead81653adddd2edb3058371ca5bc	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	ambush	ambush.n4	\N	\N	8192	ecc0dc85	577304bb575293b97b50eea4faafb5394e3da0f5	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	argus	\N	\N	\N	\N	\N	Argus	1986	Jaleco	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_01.bin	\N	\N	16384	769e3f57	209160a96486ab0b90967c015143ec28fba2e2a4	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_02.bin	\N	\N	32768	278a3f3d	c5ac5a004ebf0194c33f71dab4020fa636cefbc2	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_03.bin	\N	\N	32768	3a7f3bfa	b11e134c084fc3c982dfe31836c1cf3fc0d481fd	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_04.bin	\N	\N	32768	76adc9f6	e223a8b2371c51f121958ee3687c777f597334c9	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_05.bin	\N	\N	32768	f76692d6	1dc353a042cdda909eb9f1b1ca749a3b3eaa01e4	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_06.bin	\N	\N	32768	655b48f8	4fce1dffe091b97e7055955743434e49e97b4b79	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_07.bin	\N	\N	32768	bbb9638d	61dec71d4d976bef3af26d0dc9c0355fd1098ffb	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_08.bin	\N	\N	32768	ce6e987e	9de257d8061ec917f4d443ff509fd457f995d73b	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_09.bin	\N	\N	32768	6dbc1c58	ef7b6901b702dd347b3a3f162162138175efe578	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_10.bin	\N	\N	16384	2de696c4	1ad0f1cde127a1618c2ea74a53e522963a79e5ce	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_11.bin	\N	\N	32768	99ce8556	39caababd6e20ecb0375b85fb6490ee0b04f0949	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_12.bin	\N	\N	32768	e0e5377c	b5981d832127d0b28b6a7bb0437716593e0ed71a	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_13.bin	\N	\N	32768	20274268	9b7767d14bd169dabe6add0623d353bf4b59779b	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_14.bin	\N	\N	32768	ceb8860b	90e094686d9d18e49e4848d18d1e31ac95f13937	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_15.bin	\N	\N	32768	99834c1b	330f271771b158493b28bb178c8cda98efd1d90c	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_16.bin	\N	\N	32768	39a51714	ad89a630f1352eb4d8beeeebf909d5e2b5d7cc12	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	argus	ag_17.bin	\N	\N	32768	0f12d09b	718db4ff016526dddacdf6f0088f247ee97c6543	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	butasan	\N	\N	\N	\N	\N	Butasan	1987	Jaleco	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-01.bin	\N	\N	65536	c9d23e2d	cee289d5bf7626fc35808a09f9f1f4628fa16974	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-01.prm	\N	\N	256	45baedd0	afdafb67d55007e6fb99518657e27ce61d2cb7e6	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-02.bin	\N	\N	65536	519dc412	48bbb01b217bd19c48ef7ab12c60805aaa02527c	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-02.prm	\N	\N	256	0dcb18fc	0b097b873c9484981f87a5e3d1af767f901ae05f	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-03.bin	\N	\N	65536	69fd88c7	fd827d7926a2de5ffe2982b3a59ea43de00ee46b	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-04.bin	\N	\N	32768	47ff4ca9	d89a41f6987c91d20b010f0cbda332cf54b21f8c	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-05.bin	\N	\N	65536	b8e026b0	eb6ff9042b21b7190000c571ccba7d81f11ce9f1	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-06.bin	\N	\N	65536	8bbacb81	015be76e44ed2389eff912d8f61a757667d7670b	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-07.bin	\N	\N	65536	3a48d531	0ff6256bb7ea909d95b2bfb994ebc5432ea6d055	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-08.bin	\N	\N	32768	5d45ce9c	113c3e7ce20634ee4bb740705485572583298694	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-09.bin	\N	\N	65536	7da4c0fd	fb2b148ccfee530313da886eddf7711ee83b4aeb	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-10.bin	\N	\N	65536	fd4d3baf	fa8e3970a8aac83efcb669fe5d4683adade9aa4f	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-11.bin	\N	\N	65536	b8929f1d	18a72f30284bed0c6723105f87eb10d64d3f461d	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-12.bin	\N	\N	65536	44f59905	bf364f7f907fee551e9228db7c27c106bcfecf6c	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-13.bin	\N	\N	65536	5023e74d	edf43e6c89f0e537cebf1c21a671dba4cd7d91ea	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-14.bin	\N	\N	65536	8ec891c1	e16f18a0eed300752af8f07fd3cef5cd825a2a05	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-15.bin	\N	\N	65536	3ed19daa	b8090c3baa2b31681bed15c682a97c024e229df7	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	butasan	buta-16.bin	\N	\N	65536	e0ce51b6	458c7c422a7b6ce42f397a8868610f6386fd815c	\N	\N	\N	\N	\N	\N	
game	JFF_v0.24	getstar	\N	\N	\N	\N	\N	Getstar	1986	Taito	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_01.rom	\N	\N	32768	83161ed0	a6aa28f22f487dc3a2ec07935e6d42bcdd1eff81	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_02.rom	\N	\N	32768	11f74e32	02d8b4cc679f45a02c4989f2b62cde91b7418235	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_03.rom	\N	\N	32768	f24158cf	db4c6b68a488b0798ea5f793ac8ced283a8ecab2	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_04.rom	\N	\N	32768	643fb282	d904d3c27c2b56341929c5eed4ea97e948c53c34	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_05.rom	\N	\N	8192	18daa44c	1a3d22a186c591321d1b836ee30d89fba4771122	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_06.rom	\N	\N	32768	a293cc2e	a2c2598e92982d13b51cbb6efb4b963142233433	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_07.rom	\N	\N	8192	e3d409e7	0b6be4767f110729f4dd1a472ef8d9a0c718b684	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_08.rom	\N	\N	8192	6e5ac9d4	74f90b7a1ceb3b1c2fd92dff100d92dea0155530	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_09.rom	\N	\N	32768	37662375	46ba8a3f0b553d476ecf431d0d20556896b4ca43	\N	\N	\N	\N	\N	\N	
game_rom	JFF_v0.24	getstar	gs_10.rom	\N	\N	32768	cf1a964c	e9223c8d4f3bdafed193a1ded63e377f16f45e17	\N	\N	\N	\N	\N	\N	
