game	VAntAGE_v1.12	1942	\N	\N	\N	\N	\N	1942 (set 1)	1984	Capcom	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	1-n3a.bin	\N	\N	16384	40201bab	4886c07a4602223c21419118e10aadce9c99fa5a	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	1-n4.bin	\N	\N	16384	a60ac644	f37862db3cf5e6cc9ab3276f3bc45fd629fd70dd	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	1-n5.bin	\N	\N	16384	835f7b24	24b66827f08c43fbf5b9517d638acdfc38e1b1e7	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	1-n6.bin	\N	\N	8192	821c6481	06becb6bf8b4bde3a458098498eecad566a87711	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	1-n7.bin	\N	\N	16384	5df525e1	70cd2910e2945db76bd6ebfa0ff09a5efadc2d0b	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	1-c11.bin	\N	\N	16384	bd87f06b	821f85cf157f81117eeaba0c3cf0337eac357e58	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	1-f2.bin	\N	\N	8192	6ebca191	0dbddadde54a0ab66994c4a8726be05c6ca88a0e	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	2-a1.bin	\N	\N	8192	3884d9eb	5cbd9215fa5ba5a61208b383700adc4428521aed	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	2-a2.bin	\N	\N	8192	999cf6e0	5b8b685038ec98b781908b92eb7fb9506db68544	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	2-a3.bin	\N	\N	8192	8edb273a	85fdd4c690ed31e6396e3c16aa02140ee7ea2d61	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	2-a4.bin	\N	\N	8192	3a2726c3	187c92ef591febdcbd1d42ab850e0cbb62c00873	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	2-a5.bin	\N	\N	8192	1bd3d8bb	ef4dce605eb4dc8035985a415315ec61c21419c6	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	2-a6.bin	\N	\N	8192	658f02c4	f087d69e49e38cf3107350cde18fcf85a8fa04f0	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	2-l1.bin	\N	\N	16384	2528bec6	29f7719f18faad6bd1ec6735cc24e69168361470	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	2-l2.bin	\N	\N	16384	f89287aa	136fff6d2a4f48a488fc7c620213761459c3ada0	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	2-n1.bin	\N	\N	16384	024418f8	145b8d5d6c8654cd090955a98f6dd8c8dbafe7c1	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	2-n2.bin	\N	\N	16384	e2c7e489	d4b5d575c021f58f6966df189df94e08c5b3621c	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	08e_sb-5.bin	\N	\N	256	93ab8153	a792f24e5c0c3c4a6b436102e7a98199f878ece1	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	09e_sb-6.bin	\N	\N	256	8ab44f7d	f74680a6a987d74b3acb32e6396f20e127874149	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	10e_sb-7.bin	\N	\N	256	f4ade9a4	62ad31d31d183cce213b03168daa035083b2f28e	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	f01_sb-0.bin	\N	\N	256	6047d91b	1ce025f9524c1033e48c5294ee7d360f8bfebe8d	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	06d_sb-4.bin	\N	\N	256	4858968d	20b5dbcaa1a4081b3139e7e2332d8fe3c9e55ed6	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1942	03k_sb-8.bin	\N	\N	256	f6fad943	b0a24ea7805272e8ebf72a99b08907bc00d5f82f	\N	\N	\N	\N	\N	\N	
game	VAntAGE_v1.12	1943	\N	\N	\N	\N	\N	1943 - The Battle of Midway (US)	1987	Capcom	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.01	\N	\N	32768	c686cc5c	5efb2d9df737564d599f71b71a6438f7624b27c3	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.02	\N	\N	65536	d8880a41	2f9b6a3922efa05eed66c63284bace5f337304ac	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.03	\N	\N	65536	3f0ee26c	8da74fe91a6be3f23fc625f2a433f1f79c424994	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.05	\N	\N	32768	ee2bd2d7	4d2d019a9f8452fbbb247e893280568a2e86073e	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.04	\N	\N	32768	46cb9d3d	96fd0e714b91fe13a2ca0d185ada9e4b4baa0c0b	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.15	\N	\N	32768	6b1a0443	32337c840ccd6815fd5844c194365c58d708f6dc	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.16	\N	\N	32768	23c908c2	42b83ff5781be9181802a21ff1b23c17ab1bc5a2	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.17	\N	\N	32768	46bcdd07	38feda668be25d1adc04aa36afc73b07c1545f89	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.18	\N	\N	32768	e6ae7ba0	959c306dc28b9be2adc54b3d46312d26764c7b8b	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.19	\N	\N	32768	868ababc	1c7be905f53c63bad25fbbd9b3cf82d2c7749bc3	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.20	\N	\N	32768	0917e5d4	62dd277bc1fa54cfe168ae2380bc147bd17f4205	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.21	\N	\N	32768	9bfb0d89	f1bae7ec46edcf46c7af84c054e89b322f8c8972	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.22	\N	\N	32768	04f3c274	932780c04abe285e1ec67b726b145175f73eafe0	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.24	\N	\N	32768	11134036	88da112ab9fc7e0d8f0e901f273715b950ae588c	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.25	\N	\N	32768	092cf9c1	19fe3c714b1d52cbb21dea25cdee5af841f525db	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.06	\N	\N	32768	97acc8af	c9fa07cb61f6905408b355edabfe453fb652ff0d	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.07	\N	\N	32768	d78f7197	6367c7e80e80d4a0d33d7840b5c843c63c80123e	\N	\N	\N	\N	\N	\N	
game_rom	VAntAGE_v1.12	1943	1943.08	\N	\N	32768	1a626608	755c27a07728fd686168e9d9e4dee3d8f274892a	\N	\N	\N	\N	\N	\N	
