game	S11Emu_v0.2	danceyes	\N	\N	\N	\N	\N	Dancing Eyes (JP) Ver. A	1996	Namco	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1rom0l.5	\N	\N	2097152	8b5b4b13	9681e29ad95a2cc555d0fbb558a0865a87a77268	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1rom0u.6	\N	\N	2097152	93ca9bd0	c7d2ecbeb451bd57097fb39f21dc347b86a2b838	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1rom1l.3	\N	\N	2097152	380e0282	33389e3b15b93fb939991b8d7dc8b182ba88e78a	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1rom1u.8	\N	\N	2097152	47d966a7	3b6f004136bd9d75dbef846f417ca34a56893d61	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1rom2l.4	\N	\N	2097152	8f130220	7f086d502178c27511c1142254381a9a2a999e8d	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1rom2u.7	\N	\N	2097152	24514dc6	f9f7d6a45cbd51513cc038f6321a30c1a72b7a58	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1rom3l.1	\N	\N	2097152	a76bcd4c	817abdc43158b7aaac329c3ea17782277acb36a4	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1rom3u.9	\N	\N	2097152	1405d123	3d7be5558358740f5a0a3a3022543cf5aca4cf24	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1ver-a.2f	\N	\N	1048576	25a2f06f	400806a262681cf908ac16e039686b5a0d5fd58e	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1ver-a.2j	\N	\N	1048576	28e4cb3d	17923c66725da1f8e77b7c08d8017160bba53eb9	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1ver-a.2k	\N	\N	1048576	bdd9484e	2f85e0ac4b12b2cf4c9717fad745d2d68c27d39a	\N	\N	\N	\N	\N	\N	
game_rom	S11Emu_v0.2	danceyes	dc1ver-a.2l	\N	\N	1048576	b164ad67	62a7f9bc7fb9c218e5031598512dbd1e013283b3	\N	\N	\N	\N	\N	\N	
