game	KEM_v1.1	2tigers	\N	\N	\N	\N	\N	Two Tigers	1984	Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgrpg0.bin	\N	\N	8192	e77a924b	c1720a8a6ca8e6551ef38d565d5f18db7fbd5d2e	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgrpg1.bin	\N	\N	8192	2699ebdc	bed7c5fe8783dab79e7563f6b2348b9a980bdcc7	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgrpg2.bin	\N	\N	8192	b5ca3f17	ac51eefe9ff49bc358daf58525e529070684ed1b	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgrpg3.bin	\N	\N	8192	8aa82049	6e42d082d29986f5c0698ae39750fb8f9eb1e6cd	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgra7.bin	\N	\N	4096	4620d970	2c2c1da84199b846575a6291dc235f30539959fa	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgra8.bin	\N	\N	4096	e95d8cfe	846d5543596bb86cf08f998056c1fc695cb4f62c	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgra9.bin	\N	\N	4096	81e6ce0e	77e145e150763bfe5760ac3e4f68218a65b9bfe0	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgrbg0.bin	\N	\N	8192	52f69068	30422e66ae1a6fe8c10494037758758dcd1211d1	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgrbg1.bin	\N	\N	8192	758d4f7d	272127f802bccf47958b5dcc949b7468b1ba4512	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgrfg0.bin	\N	\N	8192	4abf3ca0	8cef27a1c91d32473a95e9da76db061466977559	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgrfg1.bin	\N	\N	8192	fbcaffa5	5145cd7cc08552388b8662b5d159b3af6344c51a	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgrfg2.bin	\N	\N	8192	08e3e1a6	c9c5ce072b235a299a3151f984d73bab97289e19	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	2tigers	2tgrfg3.bin	\N	\N	8192	9b22697b	4c3fa30ce1b645ab18c0e53ce0f3754133a267ad	\N	\N	\N	\N	\N	\N	
game	KEM_v1.1	bluep	\N	\N	\N	\N	\N	Blue Print (Midway)	1982	[Zilec] Bally Midway	\N	\N	\N	
game_rom	KEM_v1.1	bluep	1m	\N	\N	4096	b20069a6	aa0a61c898ec58fc4872a24666f422e1abdc09f3	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	bluep	1n	\N	\N	4096	4a30302e	a3a22b78585cc9677bf03bbfeb20afb05f026075	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	bluep	1p	\N	\N	4096	6866ca07	a0df14eee9240fad42ceb6f926d34755e8442411	\N	\N	\N	\N	\N	\N	
game_rom	KEM_v1.1	bluep	1r	\N	\N	4096	5d3cfac3	7e6ab8398d799aaf0fcaa0769a827471d8c872e9	\N	\N	\N	\N	\N	\N	
