game	GalEmu_v40.9	galaxian	\N	\N	\N	\N	\N	Galaxian (Namco)	1979	Namco	\N	\N	\N	
game_rom	GalEmu_v40.9	galaxian	7f	\N	\N	4096	b10533fd	ea8653e80000d607cd37a41f2de27ffe6e190f0f	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galaxian	7j	\N	\N	4096	9163454d	683ce43c0e24fd5110b860e424e5de30d59e5223	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galaxian	7l	\N	\N	4096	952c6135	e0989d5dce37ae421c34833d48b09e76d178680d	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galaxian	1h	\N	\N	2048	39fb43a4	4755609bd974976f04855d51e08ec0d62ab4bc07	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galaxian	1k	\N	\N	2048	7e3f56a2	a9795d8b7388f404f3b0e2c6ce15d713a4c5bafa	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galaxian	galaxian.clr	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	galnamco	\N	\N	\N	\N	\N	Galaxian (Namco, modified)	1979	hack	\N	\N	\N	
game_rom	GalEmu_v40.9	galnamco	galnamco.u	\N	\N	2048	acfde501	4b72c1ffecaccadc541da2367f3ef70a2a9aed64	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galnamco	galnamco.v	\N	\N	2048	65cf3c77	1c5249815816b395e1e04bf6a7dbb63e40faa0e3	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galnamco	galnamco.w	\N	\N	2048	9eef9ae6	b2282e4edb8911e6aabfa936c3526f90381e1320	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galnamco	galnamco.y	\N	\N	2048	56a5ddd1	1f87f647ebdffba28d5957f195448f6bce17f4d5	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galnamco	galnamco.z	\N	\N	2048	f4bc7262	c4b70e474d49f45cec96f7c250bd77e01e18601a	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galnamco	galnamco.1h	\N	\N	2048	39fb43a4	4755609bd974976f04855d51e08ec0d62ab4bc07	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galnamco	galnamco.1k	\N	\N	2048	7e3f56a2	a9795d8b7388f404f3b0e2c6ce15d713a4c5bafa	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galnamco	galaxian.clr	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	galmidw	\N	\N	\N	\N	\N	Galaxian (Midway)	1979	[Namco] (Midway license)	\N	\N	\N	
game_rom	GalEmu_v40.9	galmidw	galmidw.u	\N	\N	2048	745e2d61	e65f74e35b1bfaccd407e168ea55678ae9b68edf	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galmidw	galmidw.v	\N	\N	2048	9c999a40	02fdcd95d8511e64c0d2b007b874112d53e41045	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galmidw	galmidw.w	\N	\N	2048	b5894925	0046b9ed697a34d088de1aead8bd7cbe526a2396	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galmidw	galmidw.y	\N	\N	2048	6b3ca10b	18d8714e5ef52f63ba8888ecc5a25b17b3bf17d1	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galmidw	galmidw.z	\N	\N	2048	cb24f797	e6bb977ded0654c2c7388aad188059e1e0647908	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galmidw	galmidw.1j	\N	\N	2048	84decf98	2e565cb6057b1816a6b4541e6dfadd3c3762fa36	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galmidw	galmidw.1k	\N	\N	2048	c31ada9e	237ebb48549b34ca59a13cc2706512d957413ec4	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galmidw	galaxian.clr	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	galturbo	\N	\N	\N	\N	\N	Galaxian Turbo	1979	hack	\N	\N	\N	
game_rom	GalEmu_v40.9	galturbo	galturbo.u	\N	\N	2048	e8f3aa67	a0e9576784dbe602dd9780e667f01f31defd7c00	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galturbo	galturbo.v	\N	\N	2048	bc16064e	4e3220fd63c8184bf9581a89dffb6944d8fae3bb	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galturbo	galturbo.w	\N	\N	2048	ddeabdae	daa5109a32c7c9a80bdb212dc3e4e3e3c104a731	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galturbo	galturbo.y	\N	\N	2048	a44f450f	4009834afb45e9b23c7cf058bcd3378ef8601872	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galturbo	galturbo.z	\N	\N	2048	3247f3d4	5754dedc2d06736629d85514b2e7c262ce27bf2d	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galturbo	galturbo.1h	\N	\N	2048	a713fd1a	abf86fe5cb7243a1a36d7ac0a868577a3360dcca	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galturbo	galturbo.1k	\N	\N	2048	28511790	dec2e183a753295d033a56184c973bbc810abf55	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galturbo	galaxian.clr	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	superg	\N	\N	\N	\N	\N	Super Galaxians	1979	hack	\N	\N	\N	
game_rom	GalEmu_v40.9	superg	superg.u	\N	\N	2048	e8f3aa67	a0e9576784dbe602dd9780e667f01f31defd7c00	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	superg	superg.v	\N	\N	2048	f58283e3	edc6e72516c50fd3402281d9936574d276581ce9	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	superg	superg.w	\N	\N	2048	ddeabdae	daa5109a32c7c9a80bdb212dc3e4e3e3c104a731	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	superg	superg.y	\N	\N	2048	9463f753	d9cb35c19aafec43d08b048bbe2337a790f6ba9d	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	superg	superg.z	\N	\N	2048	e6312e35	c4010459379d7fe00f605aaf288928b2deffb8b2	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	superg	superg.1h	\N	\N	2048	84decf98	2e565cb6057b1816a6b4541e6dfadd3c3762fa36	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	superg	superg.1k	\N	\N	2048	c31ada9e	237ebb48549b34ca59a13cc2706512d957413ec4	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	superg	galaxian.clr	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	galap1	\N	\N	\N	\N	\N	Space Invaders Galactica	1979	hack	\N	\N	\N	
game_rom	GalEmu_v40.9	galap1	galx_1.rom	\N	\N	10240	b22ee816	9e228a29df22f30c14932dcf79ba49cbd7d534d0	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galap1	galx_1c1.rom	\N	\N	2048	84decf98	2e565cb6057b1816a6b4541e6dfadd3c3762fa36	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galap1	galx_1c2.rom	\N	\N	2048	c31ada9e	237ebb48549b34ca59a13cc2706512d957413ec4	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galap1	galaxian.clr	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	\N	\N	\N	\N	\N	
game	GalEmu_v40.9	galap4	\N	\N	\N	\N	\N	Galaxian Part 4	1979	hack	\N	\N	\N	
game_rom	GalEmu_v40.9	galap4	galx_4.rom	\N	\N	10240	e88a3eea	b520d046641e4611348166c454a73a8b0ff7d667	\N	\N	\N	\N	\N	\N	
game_rom	GalEmu_v40.9	galap4	galx_4c1.rom	\N	\N	2048	d5e88ab4	737a22e406fd0a97d10e93a2c91c3aa61aebbdef	\N	\N	\N	\N	\N	\N	
