game	Mjolnir_v0.3.1	winrun	\N	namcos21.c	\N	\N	\N	Winning Run Suzuka Grand Prix	1989	Namco	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1mpub.3k	\N	\N	131072	7f9b855a	6d39a3a9959dbcd0047dbaab0fcd68adc81f5508	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1mplb.1k	\N	\N	131072	a45e8543	f9e583a988e4661026ee7873a48d078225778df3	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1spu.6b	\N	\N	131072	7c9c3a3f	cacb45c9111ac66c6e60b7a0cacd8bf47fd00752	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1spl.4b	\N	\N	131072	5068fc5d	7f6e80f74985959509d824318a4a7ff2b11953da	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1snd0.7c	\N	\N	131072	de04b794	191f4d79ac2375d7060f3d83ec753185e92f28ea	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sys2mcpu.bin	\N	\N	8192	a342a97e	2c420d34dba21e409bf78ddca710fc7de65a6642	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sys2c65c.bin	\N	\N	32768	a5b2a4ff	068bdfcc71a5e83706e8b23330691973c1c214dc	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1gp0u.1j	\N	\N	131072	475da78a	6e69bcc6caf2e3cd28fed75796c8992e754f9323	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1gp0l.3j	\N	\N	131072	580479bf	ba682190cba0d3cdc49aa4937c898ba7ed2a25f5	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1gp1u.1l	\N	\N	131072	f5f2e927	ebf709f16f01f1a634de9121454537cda74e891b	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1gp1l.3l	\N	\N	131072	17ed90a5	386bdcb11dcbe400f5be1fe4a7418158b46e50ef	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1d0u.3a	\N	\N	131072	1dde2ac2	2d20a434561c04e48b52a2137a8c9047e17c1013	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1d0l.1a	\N	\N	131072	2afeb77e	ac1552f6e2788158d3477b6a0981d001d6cbdf13	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1d1u.3b	\N	\N	131072	5664b09e	10c1c29614eee2cffcfd69085f0450d81ba2e25f	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1d1l.1b	\N	\N	131072	2dbc7de4	824304c95942c7296f8e8dcf8ee7e22bf56154b1	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1pt0u.8j	\N	\N	131072	160c3634	485d20d6cc459f17d77682201dee07bdf76bf343	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1pt0l.8d	\N	\N	131072	b5a665bf	5af6ec492f31395c0492e14590b025b120067b8d	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1pt1u.8l	\N	\N	131072	b63d3006	78e78619766b0fd91b1e830cfb066495d6773981	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1pt1l.8e	\N	\N	131072	6385e325	d50bceb2e9c0d0a38d7b0f918f99c482649e260d	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1gd0u.1p	\N	\N	262144	7838fcde	45e31269eed1999b73c41c2f5d2c5bfbbdaf23df	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1gd0l.3p	\N	\N	262144	4bd02b9a	b2fdfd1c1325864aaad87f5358ab9bbdd79ff6ae	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1gd1u.1s	\N	\N	262144	271db29b	8b35fcf273b9aec28d4c606c41c0626dded697e1	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sg1gd1l.3s	\N	\N	262144	a6c4da96	377dbf21a1bede01de16708c96c112abab4417ce	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sgvoi-1.11c	\N	\N	524288	7dcccb31	4441b37691434b13eae5dee2d04dc12a56b04d2a	\N	\N	\N	\N	\N	\N	
game_rom	Mjolnir_v0.3.1	winrun	sgboi-3.11e	\N	\N	524288	a198141c	b4ca352e6aedd9d7a7e5e39e840f1d3a7145900e	\N	\N	\N	\N	\N	\N	
game	Mjolnir_v0.3.1	winrun91	\N	namcos21.c	\N	\N	\N	Winning Run 91	1991	Namco	\N	\N	\N	
