game	HiVE_v1.04	amidar	\N	\N	\N	\N	\N	Amidar	1982	Konami (Stern license)	\N	\N	\N	
game_rom	HiVE_v1.04	amidar	amidarus.5h	\N	\N	2048	57c4fd0d	8764deec9fbff4220d61df621b12fc36c3702601	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	amidar	amidarus.2c	\N	\N	4096	951e0792	3a68b829c9ffb465bd6582c9ea566e0e947c6c19	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	amidar	amidarus.2h	\N	\N	4096	051d1c7f	3cfa0f728a5c27da0a3fe2579ad226129ccde232	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	amidar	amidarus.2f	\N	\N	4096	a5121bf5	fe15b91724758ede43dd332327919f164772c592	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	amidar	amidarus.2e	\N	\N	4096	a1a3a136	330ec857fdf4c1b28e2560a5f63a2432f87f9b2f	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	amidar	amidarus.2j	\N	\N	4096	351f00d5	6659357f40f888b21be00826246200fd3a8a88ce	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	amidar	amidarus.5f	\N	\N	2048	2cfe5ede	0d86a78008ac8653c17fff5be5ebdf1f0a9d31eb	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	amidar	amidarus.5d	\N	\N	4096	9b5bdc0a	84d953618c8bf510d23b42232a856ac55f1baff5	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	amidar	amidarus.5c	\N	\N	4096	8ca7b750	4f4c2915503b85abe141d717fd254ee10c9da99e	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	amidar	amidar.clr	\N	\N	32	f940dcc3	1015e56f37c244a850a8f4bf0e36668f047fd46d	\N	\N	\N	\N	\N	\N	
game	HiVE_v1.04	arkanoid	\N	\N	\N	\N	\N	Arkanoid	1986	bootleg	\N	\N	\N	
game_rom	HiVE_v1.04	arkanoid	07.bpr	\N	\N	512	0af8b289	6bc589e8a609b4cf450aebedc8ce02d5d45c970f	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	arkanoid	08.bpr	\N	\N	512	abb002fb	c14f56b8ef103600862e7930709d293b0aa97a73	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	arkanoid	09.bpr	\N	\N	512	a7c6c277	adaa003dcd981576ea1cc5f697d709b2d6b2ea29	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	arkanoid	a75_03.rom	\N	\N	32768	038b74ba	ac053cc4908b4075f918748b89570e07a0ba5116	\N	\N	\N	\N	\N	\N	
game_rom	HiVE_v1.04	arkanoid	a75_04.rom	\N	\N	32768	71fae199	5d253c46ccf4cd2976a5fb8b8713f0f345443d06	\N	\N	\N	\N	\N	\N	
