game	SledgeHammer_v0.02	aircombj	\N	\N	\N	\N	\N	Air Combat (JP)	1992	Namco	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	mpr-u.ac1	\N	\N	524288	a4dec813	2ee8b3492d30db4c841f695151880925a5e205e0	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	mpr-l.ac1	\N	\N	524288	8577b6a2	32194e392fbd051754be88eb8c90688c65c65d85	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	spr-u.ac1	\N	\N	131072	5810e219	c312ffd8324670897871b12d521779570dc0f580	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	spr-l.ac1	\N	\N	131072	175a7d6c	9e31dde6646cd9b6dcdbdb3f2326177508559e56	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	snd0.ac1	\N	\N	131072	5c1fb84b	20e4d81289dbe58ffcfc947251a6ff1cc1e36436	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	sys2mcpu.bin	\N	\N	8192	a342a97e	2c420d34dba21e409bf78ddca710fc7de65a6642	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	sys2c65c.bin	\N	\N	32768	a5b2a4ff	068bdfcc71a5e83706e8b23330691973c1c214dc	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	obj0.ac1	\N	\N	524288	d2310c6a	9bb8fdfc2c232574777248f4959975f9a20e3105	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	obj4.ac1	\N	\N	524288	0c93b478	a92ffbcf04b64e0eee5bcf37008e247700641b25	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	obj1.ac1	\N	\N	524288	f5783a77	0be1815ceb4ce4fa7ab75ba588e090f20ee0cac9	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	obj5.ac1	\N	\N	524288	476aed15	0e53fdf02e8ffe7852a1fa8bd2f64d0e58f3dc09	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	obj2.ac1	\N	\N	524288	01343d5c	64171fed1d1f8682b3d70d3233ea017719f4cc63	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	obj6.ac1	\N	\N	524288	c67607b1	df64ea7920cf64271fe742d3d0a57f842ee61e8d	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	obj3.ac1	\N	\N	524288	7717f52e	be1df3f4d0fdcaa5d3c81a724e5eb9d14136c6f5	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	obj7.ac1	\N	\N	524288	cfa9fe5f	0da25663b89d653c87ed32d15f7c82f3035702ab	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	edata-u.ac1	\N	\N	524288	82320c71	2be98d46853febb46e1cc728af2735c0e00ce303	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	edata-l.ac1	\N	\N	524288	fd7947d3	2696eeae37de6d256e626cc3f3cea7b0f6eff60e	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	edata1-u.ac1	\N	\N	524288	a9547509	1bc663cec03b60ad968896bbc2546f02efda135e	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	edata1-l.ac1	\N	\N	524288	a87087dd	cd9b83a8f07886ab44e4ded68002b44338777e8c	\N	\N	\N	\N	\N	\N	
game_rom	SledgeHammer_v0.02	aircombj	poih.ac1	\N	\N	524288	573bbc3b	371be12b915db6872049f18980c1b55544cfc445	\N	\N	\N	\N	\N	\N	
