game	Capcom_Play_System_3_Emulator_v1.0a	jojoba	\N	\N	\N	\N	\N	JoJo's Bizarre Adventure: Heritage for the Future / JoJo no Kimyouna Bouken: Miraie no Isan	1999	Capcom	\N	\N	\N	
game_rom	Capcom_Play_System_3_Emulator_v1.0a	jojoba	29f400.u2	\N	\N	524288	4dab19f5	ba07190e7662937fc267f07285c51e99a45c061e	\N	\N	\N	\N	\N	\N	
game_rom	Capcom_Play_System_3_Emulator_v1.0a	jojoba	10	\N	\N	8388608	6e2490f6	75cbf1e39ad6362a21c937c827e492d927b7cf39	\N	\N	\N	\N	\N	\N	
game_rom	Capcom_Play_System_3_Emulator_v1.0a	jojoba	20	\N	\N	8388608	1293892b	b1beafac1a9c4b6d0640658af8a3eb359e76eb25	\N	\N	\N	\N	\N	\N	
game_rom	Capcom_Play_System_3_Emulator_v1.0a	jojoba	30	\N	\N	8388608	d25c5005	93a19a14783d604bb42feffbe23eb370d11281e8	\N	\N	\N	\N	\N	\N	
game_rom	Capcom_Play_System_3_Emulator_v1.0a	jojoba	31	\N	\N	8388608	51bb3dba	39e95a05882909820b3efa6a3b457b8574012638	\N	\N	\N	\N	\N	\N	
game_rom	Capcom_Play_System_3_Emulator_v1.0a	jojoba	40	\N	\N	8388608	94dc26d4	5ae2815142972f322886eea4885baf2b82563ab1	\N	\N	\N	\N	\N	\N	
game_rom	Capcom_Play_System_3_Emulator_v1.0a	jojoba	41	\N	\N	8388608	1c53ee62	e096bf3cb6fbc3d45955787b8f3213abcd76d120	\N	\N	\N	\N	\N	\N	
game_rom	Capcom_Play_System_3_Emulator_v1.0a	jojoba	50	\N	\N	8388608	36e416ed	58d0e95cc13f39bc171165468ce72f4f17b8d8d6	\N	\N	\N	\N	\N	\N	
game_rom	Capcom_Play_System_3_Emulator_v1.0a	jojoba	51	\N	\N	8388608	eedf19ca	a7660bf9ff87911afb4f83b64456245059986830	\N	\N	\N	\N	\N	\N	
game	Capcom_Play_System_3_Emulator_v1.0a	jojo	\N	\N	\N	\N	\N	JoJo's Venture / JoJo no Kimyouna Bouken	1998	Capcom	\N	\N	\N	
game_rom	Capcom_Play_System_3_Emulator_v1.0a	jojo	29f400.u2	\N	\N	524288	02778f60	a167f9ebe030592a0cdb0c6a3c75835c6a43be4c	\N	\N	\N	\N	\N	\N	
