game	Callus_v0.42	1941	\N	\N	\N	\N	\N	1941 - Counter Attack	1990	Capcom	\N	\N	\N	
game_rom	Callus_v0.42	1941	41e_30.rom	\N	\N	131072	9deb1e75	68d9f91bef6a5c9e1bcbf286629aed6b37b4acb9	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941	41e_31.rom	\N	\N	131072	df201112	d84f63bffeb9255cbabc02f23d7511f9b3c6a96c	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941	41e_35.rom	\N	\N	131072	d63942b3	b4bc7d06dcefbc075d316f2d31abbd4c7a99dbae	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941	41e_36.rom	\N	\N	131072	816a818f	3e491a30352b71ddd775142f3a80cdde480b669f	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941	41_09.rom	\N	\N	65536	0f9d8527	3a00dd5772f38081fde11d8d61ba467379e2a636	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941	41_18.rom	\N	\N	131072	d1f15aeb	88089383f2d54fc97026a67f067d448eee5bd0c2	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941	41_19.rom	\N	\N	131072	15aec3a6	8153c03aba005bab62bf0e8b3d15ec1c346326fd	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941	41_32.rom	\N	\N	524288	4e9648ca	d8e67e6e3a6dc79053e4f56cfd83431385ea7611	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941	41_gfx1.rom	\N	\N	524288	ff77985a	7e08df3a829bf9617470a46c79b713d4d9ebacae	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941	41_gfx3.rom	\N	\N	524288	983be58f	83a4decdd775f859240771269b8af3a5981b244c	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941	41_gfx5.rom	\N	\N	524288	01d1cb11	621e5377d1aaa9f7270d85bea1bdeef6721cdd05	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941	41_gfx7.rom	\N	\N	524288	aeaa3509	6124ef06d9dfdd879181856bd49853f1800c3b87	\N	\N	\N	\N	\N	\N	
game	Callus_v0.42	1941j	\N	\N	\N	\N	\N	1941 - Counter Attack (Japan)	1990	Capcom	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4101.bin	\N	\N	131072	d8946fc1	e18d2bd5517a9a74973f5a505e59e400db3843e2	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4102.bin	\N	\N	131072	802e8153	baf19220c53949dac0d0b75368d5f1ee6c32b619	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4105.bin	\N	\N	131072	d8ba28e0	dd1908166b32cf3bb3222f6d3febc21371463395	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4106.bin	\N	\N	131072	4e53650b	a5b19b1ce38f04296dee38d35015869607ecc260	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4109.bin	\N	\N	131072	be1b6bc2	0b11efb7adf6bb9c5fdef702171edd38c149e338	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4110.bin	\N	\N	131072	b7eb6a6d	444b49e81cd46e90a9e1dfcf465f19c38189b2d7	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4113.bin	\N	\N	131072	2e06d0ec	b7c886dce6bc5eefa34e39faec658dd9df34f82c	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4114.bin	\N	\N	131072	5a33f676	96794463ddfae7ce4a7d7e6b65ff1b8da7b3dd74	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4117.bin	\N	\N	131072	bbeff902	1bf421072387ab7d59b57ecd33cb5ae6fd8ecd06	\N	\N	\N	\N	\N	\N	
game_rom	Callus_v0.42	1941j	4118.bin	\N	\N	131072	a5e1c1f3	1961ad3c8965c51da8a19a7283333f3a19bb2030	\N	\N	\N	\N	\N	\N	
