game	ZiNc_v1.1	starglad	\N	\N	\N	cpzn1	\N	Star Gladiator (US 960627)	1996	Capcom	\N	\N	\N	
game_rom	ZiNc_v1.1	starglad	coh-1000c.353	coh-1000c.353	\N	524288	50033af6	486d92ff6c7f1e54f8e0ef41cd9116eca0e10e1a	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	starglad	ps1u-04.2h	\N	\N	524288	121fb234	697d18d37afd95f302b40a5a6a78d8c92a41ea73	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	starglad	ps1-05m.3h	\N	\N	4194304	8ad72c4f	c848c37eb5365000b4d4720b5c08d89ddd8e2c33	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	starglad	ps1-06m.4h	\N	\N	4194304	95d8ed61	e9f259d589dc38a8321a6fea1f5dac741cadc0ff	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	starglad	ps1-07m.5h	\N	\N	4194304	c06752db	0884b308e9cd9dde8660b422bc8fec9a362bcb52	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	starglad	ps1-08m.2k	\N	\N	4194304	381f9ded	b7878a90740f5b3c5881ac7d46e2b84b18727337	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	starglad	ps1-09m.3k	\N	\N	4194304	bd894812	9f0c3365e685a53ae793f4a256a6c177a843a424	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	starglad	ps1-10m.4k	\N	\N	4194304	ff80c18a	8d01717eed6ec1f508fe7c445da941fb84ef7d22	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	starglad	ps1-02a.2e	\N	\N	131072	b854df92	ea71a613b5b19ec7e9c6e342e7743d320582a6bb	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	starglad	ps1-03a.3e	\N	\N	131072	a2562fbb	3de02a4aa7ea620961ca2a5c331f38134033db79	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	starglad	ps1-01m.3b	\N	\N	4194304	0bfb17aa	cf4482785a2a33ad814c8b1461c5bc8e8e027895	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	sfex	\N	\N	\N	cpzn1	\N	Street Fighter EX (US 961219)	1996	Capcom/Arika	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex	coh-1000c.353	coh-1000c.353	\N	524288	50033af6	486d92ff6c7f1e54f8e0ef41cd9116eca0e10e1a	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex	sfeu-04b	\N	\N	524288	de02bd29	62a88a30f73db661f5b98fc7e2d34d51acb965cc	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex	sfe-05m	\N	\N	4194304	eab781fe	205476cb72c8dac915e140fb32243dfc5d209ba4	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex	sfe-06m	\N	\N	4194304	999de60c	092882698c411fc5c3bcb43105bf1886f94b8e40	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex	sfe-07m	\N	\N	4194304	76117b0a	027233199170fa6e5b32f28da2031638c6d3d14a	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex	sfe-08m	\N	\N	4194304	a36bbec5	fa22ea50d4d8bed2ded97a346f61b2f5f68769b9	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex	sfe-09m	\N	\N	4194304	62c424cc	ea19c49b486473b150dbf8541286e225655496db	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex	sfe-10m	\N	\N	4194304	83791a8b	534969797640834ca692c11d0ce7c3a060fc7e4b	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex	sfe-02	\N	\N	131072	1908475c	99f68cff2d92f5697eec0846201f6fb317d5dc08	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex	sfe-03	\N	\N	131072	95c1e2e0	383bbe9613798a3ac6944d18768280a840994e40	\N	cpu2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfex	sfe-01m	\N	\N	4194304	f5afff0d	7f9ac32ba0a3d9c6fef367e36a92d47c9ac1feb3	\N	sound1	\N	\N	\N	\N	
game	ZiNc_v1.1	sfexj	\N	\N	sfex	sfex	\N	Street Fighter EX (JAPAN 961130)	1996	Capcom/Arika	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexj	coh-1000c.353	coh-1000c.353	\N	524288	50033af6	486d92ff6c7f1e54f8e0ef41cd9116eca0e10e1a	\N	user1	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexj	sfej-04	\N	\N	524288	ea100607	27ef8c619804999d32d14fcc5ec783c057b4dc73	\N	user3	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexj	sfe-05m	sfe-05m	\N	4194304	eab781fe	205476cb72c8dac915e140fb32243dfc5d209ba4	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexj	sfe-06m	sfe-06m	\N	4194304	999de60c	092882698c411fc5c3bcb43105bf1886f94b8e40	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexj	sfe-07m	sfe-07m	\N	4194304	76117b0a	027233199170fa6e5b32f28da2031638c6d3d14a	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexj	sfe-08m	sfe-08m	\N	4194304	a36bbec5	fa22ea50d4d8bed2ded97a346f61b2f5f68769b9	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexj	sfe-09m	sfe-09m	\N	4194304	62c424cc	ea19c49b486473b150dbf8541286e225655496db	\N	user2	\N	\N	\N	\N	
game_rom	ZiNc_v1.1	sfexj	sfe-10m	sfe-10m	\N	4194304	83791a8b	534969797640834ca692c11d0ce7c3a060fc7e4b	\N	user2	\N	\N	\N	\N	
