game	Replay+_v1.00	bnj	\N	\N	\N	\N	\N	Bump 'n' Jump	1982	Data East USA (Bally Midway license)	\N	\N	\N	
game_rom	Replay+_v1.00	bnj	bnj12b.bin	\N	\N	8192	ba3e3801	56284076d938c33c1492a07281b936681eb09808	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	bnj	bnj12c.bin	\N	\N	8192	fb3a2cdd	4a964389cc8035b9264d4cb133eb6d3826e74b95	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	bnj	bnj12d.bin	\N	\N	8192	b88bc99e	08a4ddea4037f9e14d0d9f4262a1746b0a3a140c	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	bnj	bnj6c.bin	\N	\N	4096	8c02f662	1279d564e65fd3ccac25b1f9fbb40d910de2b544	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	bnj	bnj4e.bin	\N	\N	8192	b864d082	cacf71fa6c0f7121d077381a0ff6222f534295ab	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	bnj	bnj4f.bin	\N	\N	8192	6c31d77a	5e52554f594f569527af4768d244cc40a7b4460a	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	bnj	bnj4h.bin	\N	\N	8192	5824e6fb	e98f0eb476b8f033f5cc70a6e503afc4e651fd45	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	bnj	bnj10e.bin	\N	\N	4096	f4e9eb49	b356512d2ebd4e2005e76496b434e5ecebadb251	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	bnj	bnj10f.bin	\N	\N	4096	a9ffacb4	49d5f9c0b695f474197fbb761bacc065b6b5808a	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	brubber	\N	\N	\N	\N	\N	Burnin' Rubber	1982	Data East	\N	\N	\N	
game_rom	Replay+_v1.00	brubber	brubber.12c	\N	\N	8192	b5279c70	5fb1c50040dc4e9444aed440e2c3cf4c79b72311	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	brubber	brubber.12d	\N	\N	8192	b2ce51f5	5e38ea24bcafef1faba023def96532abd6f97d38	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	brubber	brubber.6c	\N	\N	4096	8c02f662	1279d564e65fd3ccac25b1f9fbb40d910de2b544	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	brubber	brubber.4h	\N	\N	8192	5824e6fb	e98f0eb476b8f033f5cc70a6e503afc4e651fd45	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	brubber	brubber.4f	\N	\N	8192	6c31d77a	5e52554f594f569527af4768d244cc40a7b4460a	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	brubber	brubber.4e	\N	\N	8192	b864d082	cacf71fa6c0f7121d077381a0ff6222f534295ab	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	brubber	brubber.10e	\N	\N	4096	f4e9eb49	b356512d2ebd4e2005e76496b434e5ecebadb251	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	brubber	brubber.10f	\N	\N	4096	a9ffacb4	49d5f9c0b695f474197fbb761bacc065b6b5808a	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	caractn	\N	\N	\N	\N	\N	Car Action	1983	bootleg	\N	\N	\N	
game_rom	Replay+_v1.00	caractn	caractn.a7	\N	\N	8192	b5279c70	5fb1c50040dc4e9444aed440e2c3cf4c79b72311	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	caractn	caractn.a6	\N	\N	8192	1d6957c4	bd30f00187e56eef9adcc167dd752a3bb616454c	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	caractn	caractn.a5	\N	\N	4096	8c02f662	1279d564e65fd3ccac25b1f9fbb40d910de2b544	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	caractn	caractn.a0	\N	\N	8192	bf3ea732	d98970b2dda8c3435506656909e5e3aa70d45652	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	caractn	caractn.a1	\N	\N	8192	9789f639	77a4d494698718c052fa1967242a0e4fa263b6ad	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	caractn	caractn.a2	\N	\N	8192	51dcc111	9753d682ba2f4fb4d3b14783ac35ad214bf788b5	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	caractn	caractn.a3	\N	\N	4096	f4e9eb49	b356512d2ebd4e2005e76496b434e5ecebadb251	\N	\N	\N	\N	\N	\N	
game_rom	Replay+_v1.00	caractn	caractn.a4	\N	\N	4096	a9ffacb4	49d5f9c0b695f474197fbb761bacc065b6b5808a	\N	\N	\N	\N	\N	\N	
game	Replay+_v1.00	btime	\N	\N	\N	\N	\N	Burger Time (DECO)	1982	Data East Corporation	\N	\N	\N	
game_rom	Replay+_v1.00	btime	aa04.9b	\N	\N	4096	368a25b5	ed3f3712423979dcb351941fa85dce6a0a7bb16b	\N	\N	\N	\N	\N	\N	
