game	xDragon_v0.30	baddudes	\N	\N	\N	\N	\N	Bad Dudes vs. Dragonninja (US)	1988	Data East USA	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.4	\N	\N	65536	4bf158a7	e034f64cec3e8596a2d86dd83462592178f19611	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.1	\N	\N	65536	74f5110c	9b8ff24e69505846a1406f5ab82b855b84a5cdf2	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.6	\N	\N	65536	3ff8da57	eea8125a3eac33d76d22e72b69633eaae138efe5	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.3	\N	\N	65536	f8f2bd94	622c66fea00cabb2cce16bf621b07d38a660708d	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.7	\N	\N	32768	9fb1ef4b	f4dd0773be93c2ad8b0faacd12939c531b5aa130	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.25	\N	\N	32768	bcf59a69	486727e19c12ea55b47e2ef773d0d0471cf50083	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.26	\N	\N	32768	9aff67b8	18c3972a9f17a48897463f48be0d723ea0cf5aba	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.18	\N	\N	65536	05cfc3e5	a0163921c77dc9706463a402c3dd45ec4341cd21	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.20	\N	\N	65536	e11e988f	0c59f0d8d1abe414c7e1ebd49d454179fed2cd00	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.22	\N	\N	65536	b893d880	99e228174677f2e3e96154f77bfa9bf0f1c0a6a5	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.24	\N	\N	65536	6f226dda	65ebb16a292c57d49c135fce7ed7537146226eb5	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.30	\N	\N	65536	982da0d1	d819a587905624d793988f2ea726783da527d9f2	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.28	\N	\N	65536	f01ebb3b	1686690cb0c87d9e687b2abb4896cf285ab8378f	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.15	\N	\N	65536	a38a7d30	5cb1fb97605829fc733c79a7e169fa52adc6863b	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.16	\N	\N	32768	17e42633	405f5296a741901677cca978a1b287d894eb1e54	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.11	\N	\N	65536	3a77326c	4de81752329cde6210a9c250a9f8ebe3dad9fe92	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.12	\N	\N	32768	fea2a134	525dd5f48993db1fe1e3c095442884178f75e8e0	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.13	\N	\N	65536	e5ae2751	4e4a3c68b11e9b0c8da70121b23296128063d4e9	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.14	\N	\N	32768	e83c760a	d08db381658b8b3288c5eaa9048a906126e0f712	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.9	\N	\N	65536	6901e628	1162c8cee20450780774cad54a9af40ebf0f0826	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.10	\N	\N	32768	eeee8a1a	2bf8378ff38f6a7c7cbd4cbd489de25cb1f0fe71	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	baddudes	baddudes.8	\N	\N	65536	3c87463e	f17c98507b562e91e9b27599614b3249fe68ff7a	\N	\N	\N	\N	\N	\N	
game	xDragon_v0.30	drgninja	\N	\N	\N	\N	\N	Dragonninja (Japan)	1988	Data East Corporation	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.04	\N	\N	65536	41b8b3f8	0ab143b9f7a5f857cfd2053c24fa5213ce7641e4	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.01	\N	\N	65536	e08e6885	641eaf4ef6c8bfbc39611f5f81765f7915ae9d9f	\N	\N	\N	\N	\N	\N	
game_rom	xDragon_v0.30	drgninja	drgninja.06	\N	\N	65536	2b81faf7	6d10c29f5ee06856843d83e77ba24c2b6e00a9cb	\N	\N	\N	\N	\N	\N	
