game	Final_Burn_v0.518	outrun	\N	\N	\N	\N	\N	Out Run	1986	Sega	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10380a	\N	\N	65536	434fadbc	83c861d331e69ef4f2452c313ae4b5ea9d8b7948	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10382a	\N	\N	65536	1ddcc04e	945d207d8d602d7fdb6d25f6b93c9c0b995e8d5a	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10381a	\N	\N	65536	be8c412b	bf3ff05bbf81bdd44567f3b9bb4919ed4a499624	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10383a	\N	\N	65536	dcc586e7	d6e1de6b562359574d94b88ce6101646c506e701	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10268	\N	\N	32768	95344b04	b3480714b11fc49b449660431f85d4ba92f799ba	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10232	\N	\N	32768	776ba1eb	e3477961d19e694c97643066534a1f720e0c4327	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10267	\N	\N	32768	a85bb823	a7e0143dee5a47e679fd5155e58e717813912692	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10231	\N	\N	32768	8908bcbf	8e1237b640a6f26bdcbfd5e201dadb2687c4febb	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10266	\N	\N	32768	9f6f1a74	09164e858ebeedcff4d389524ddf89e7c216dcae	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10230	\N	\N	32768	686f5e50	03697b892f911177968aa40de6c5f464eb0258e7	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10371	\N	\N	131072	0a1c98de	e683ab79bfc6f8c60974912f07ef8173b167f448	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10373	\N	\N	131072	339f8e64	0d79b584e9e6c838cb0a9d2e8a611913265a06d2	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10375	\N	\N	131072	62a472bd	e753df3ad378e6d4e22d5978626fc2370826bcf0	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10377	\N	\N	131072	c86daecb	78f61038f54ca56aab1f73d662fbaf07e396075f	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10372	\N	\N	131072	1640ad1f	3223d536c61f349be8de9ee32fc210f61fe822e2	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10374	\N	\N	131072	22744340	0997687641b0fc5c81343220166777dd74cc12a8	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10376	\N	\N	131072	8337ace7	6bb3739a730c8d026fe9a6e831fc7c9fc13eae4f	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10378	\N	\N	131072	544068fd	54fe03d2d80548ebba9c2578ece5d0f89593cb3e	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10327a	\N	\N	65536	e28a5baf	f715bde96c73ed47035acf5a41630fdeb41bb2f9	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10329a	\N	\N	65536	da131c81	57d5219bd0e2fd886217e37e8773fd76be9b40eb	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10328a	\N	\N	65536	d5ec5e5d	a4e3cfca4d803e72bc4fcf91ab00e21bf3f8959f	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10330a	\N	\N	65536	ba9ec82a	2136c9572e26b7ae6de402c0cd53174407cc6018	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10185	\N	\N	32768	22794426	a554d4b68e71861a0d0da4d031b3b811b246f082	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10189	\N	\N	32768	01366b54	f467a6b807694d5832a985f5381c170d24aaee4e	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10191	\N	\N	32768	20a284ab	7c9027416d4122791ba53782fe2230cf02b7d506	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10192	\N	\N	32768	770f1270	686bdf44d45c1d6002622f6658f037735382f3e0	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10190	\N	\N	32768	7cab70e2	a3c581d2b438630d0d4c39481dcfd85681c9f889	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10187	\N	\N	32768	a10abaa9	01c8a819587a66d2ee4d255656e36fa0904377b0	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10188	\N	\N	32768	bad30ad9	f70dd3a6362c314adef313b064102f7a250401c8	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	outrun	10193	\N	\N	32768	bcd10dde	417ce1d7242884640c5b14f4db8ee57cde7d085d	\N	\N	\N	\N	\N	\N	
game	Final_Burn_v0.518	aburner2	\N	\N	\N	\N	\N	After Burner II	1987	Sega	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr11118.136	\N	\N	131072	8f38540b	1fdfb157d1aca96cb635bd3d64f94545eb88c133	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr11107.58	\N	\N	131072	6d87bab7	ab34fe78f1f216037b3e3dca3e61f1b31c05cedf	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr11108.104	\N	\N	131072	202a3e1d	cf2018bbad366de4b222eae35942636ca68aa581	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr11109.20	\N	\N	131072	85a0fe07	5a3a8fda6cb4898cfece4ec865b81b9b60f9ad55	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr11110.29	\N	\N	131072	f3d6797c	17487b89ddbfbcc32a0b52268259f1c8d10fd0b2	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr11112.17	\N	\N	65536	d777fc6d	46ce1c3875437044c0a172960d560d6acd6eaa92	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr11113.152	\N	\N	65536	36058c8c	52befe6c6c53f10b6fd4971098abc8f8d3eef9d4	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr11114.153	\N	\N	65536	2e97f633	074125c106dd00785903b2e10cd7e28d5036eb60	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr11115.154	\N	\N	65536	e8e32921	30a96e6b514a475c778296228ba5b6fb96b211b0	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr11116.128	\N	\N	131072	49b4c1ba	5419f49f091e386eead4ccf5e03f12769e278179	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr11117.132	\N	\N	131072	821fbb71	be2366d7b4a3a2543ba5024f0e258f1bc43caec8	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr10922.40	\N	\N	65536	b49183d4	71d87bfbce858049ccde9597ab15575b3cdba892	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	epr11119.105	\N	\N	131072	d0343a8e	8c0c0addb6dfd0ea04c3900a9f7f7c731ca6e9ea	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr10930.11	\N	\N	131072	9209068f	01f3dda1c066d00080c55f2c86c506b6b2407f98	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr10931.12	\N	\N	131072	6493368b	328aff19ff1d1344e9115f519d3962390c4e5ba4	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr10932.125	\N	\N	131072	cc0821d6	22e84419a585209bbda1466d2180504c316a9b7f	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr10933.126	\N	\N	131072	c8efb2c3	ba31da93f929f2c457e60b2099d5a1ba6b5a9f48	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr10934.129	\N	\N	131072	4a51b1fa	2eed018a5a1e935bb72b6f440a794466a1397dc5	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr10935.130	\N	\N	131072	c1e23521	5e95f3b6ff9f4caca676eaa6c84f1200315218ea	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr10936.133	\N	\N	131072	ada70d64	ba6203b0fdb4c4998b7be5b446eb8354751d553a	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr10937.134	\N	\N	131072	f0199658	cd67504fef53f637a3b1c723c4a04148f88028d2	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr10938.102	\N	\N	131072	e7675baf	aa979319a44c0b18c462afb5ca9cdeed2292c76a	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr10939.103	\N	\N	131072	a0d49480	6c4234456bc09ae771beec284d7aa21ebe474f6f	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr11102.13	\N	\N	131072	6c07c78d	3868b1824f43e4f2b4fbcd9274bfb3000c889d12	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr11103.127	\N	\N	131072	bdd60da2	01673837c5ad84fa087728a05549ac01542ef4e9	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr11104.131	\N	\N	131072	06a35fce	c39ae02fc8246e883c4f4c320f668ce6ca9c845a	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr11105.135	\N	\N	131072	027b0689	c704c79faadb5e445fd3bd9281683b09831782d2	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner2	mpr11106.104	\N	\N	131072	9e1fec09	6cc47d86852b988bfcd64cb4ed7d832c683e3114	\N	\N	\N	\N	\N	\N	
game	Final_Burn_v0.518	aburner	\N	\N	aburner2	aburner2	\N	After Burner	1987	Sega	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10949.0	\N	\N	131072	d8437d92	480291358c3d197645d7bd149bdfe5d41071d52d	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10924.0	\N	\N	65536	50c15a6d	fc202cc583fc6804647abc884fdf332e72ea3100	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10925.0	\N	\N	65536	4ef048cc	3b386b3bfa600f114dbc19796bb6864a88ff4562	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10926.0	\N	\N	65536	ed8bd632	d5bbd5e257ebef8cfb3baf5fa530b189d9cddb57	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10927.0	\N	\N	131072	66d36757	c7f6d653fb6bfd629bb62057010d41f3ccfccc4d	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10928.0	\N	\N	131072	7c01d40b	d95b4702a9c813db8bc24c8cd7e0933cbe54a573	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10940.0	\N	\N	131072	4d132c4e	007af52167c369177b86fc0f8b007ebceba2a30c	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10941.0	\N	\N	131072	136ea264	606ac67db53a6002ed1bd71287aed2e3e720cdf4	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10942.0	\N	\N	131072	5ce10b8c	c6c189143762b0ef473d5d31d66226820c5cf080	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10943.0	\N	\N	131072	b98294dc	a4161af23f9a67b4ed81308c73e72e1797cce894	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10944.0	\N	\N	131072	17be8f67	371f0dd1914a98695cb86f921fe8e82b49e69a4a	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10945.0	\N	\N	131072	df4d4c4f	24075a6709869d9acf9082b6b4ad96bc6f8b1932	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10946.0	\N	\N	131072	d7d485f4	d843aefb4d99e0dff8d62ee6bd0c3aa6aa6c941b	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10947.0	\N	\N	131072	08838392	84f7ff3bff31c0738dead7bc00219ede834eb0e0	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10948.0	\N	\N	131072	64284761	9594c671900f7f49d8fb965bc17b4380ce2c68d5	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10923.0	\N	\N	65536	6888eb8f	8f8fffb214842a5d356e33f5a97099bc6407384f	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	epr10922.40	epr10922.40	\N	65536	b49183d4	71d87bfbce858049ccde9597ab15575b3cdba892	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	mpr10932.125	mpr10932.125	\N	131072	cc0821d6	22e84419a585209bbda1466d2180504c316a9b7f	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	mpr10933.126	mpr10933.126	\N	131072	c8efb2c3	ba31da93f929f2c457e60b2099d5a1ba6b5a9f48	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	mpr10934.129	mpr10934.129	\N	131072	4a51b1fa	2eed018a5a1e935bb72b6f440a794466a1397dc5	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	mpr10935.130	mpr10935.130	\N	131072	c1e23521	5e95f3b6ff9f4caca676eaa6c84f1200315218ea	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	mpr10936.133	mpr10936.133	\N	131072	ada70d64	ba6203b0fdb4c4998b7be5b446eb8354751d553a	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	mpr10937.134	mpr10937.134	\N	131072	f0199658	cd67504fef53f637a3b1c723c4a04148f88028d2	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	mpr10938.102	mpr10938.102	\N	131072	e7675baf	aa979319a44c0b18c462afb5ca9cdeed2292c76a	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	mpr10939.103	mpr10939.103	\N	131072	a0d49480	6c4234456bc09ae771beec284d7aa21ebe474f6f	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	mpr10930.11	mpr10930.11	\N	131072	9209068f	01f3dda1c066d00080c55f2c86c506b6b2407f98	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	mpr10931.12	mpr10931.12	\N	131072	6493368b	328aff19ff1d1344e9115f519d3962390c4e5ba4	\N	\N	\N	\N	\N	\N	
game_rom	Final_Burn_v0.518	aburner	mpr11102.13	mpr11102.13	\N	131072	6c07c78d	3868b1824f43e4f2b4fbcd9274bfb3000c889d12	\N	\N	\N	\N	\N	\N	
