game	M72_v0.33b	bchopper	\N	\N	\N	\N	\N	Battle Chopper	1987	Irem	\N	\N	\N	
game_rom	M72_v0.33b	bchopper	b-a0-b.rom	\N	\N	65536	e46ed7bf	75abb5f40629f7c40a610a44e068b6c4e3a5126e	\N	\N	\N	\N	\N	\N	
game_rom	M72_v0.33b	bchopper	b-a1-b.rom	\N	\N	65536	590605ff	fbb5c0cebd28b08d4ce39db4055d6343620e0f1c	\N	\N	\N	\N	\N	\N	
game_rom	M72_v0.33b	bchopper	b-a2-b.rom	\N	\N	65536	f8158226	bb3a8686cd89bb8265b6b9e03682cc0bf6533793	\N	\N	\N	\N	\N	\N	
game_rom	M72_v0.33b	bchopper	b-a3-b.rom	\N	\N	65536	0f07b9b7	63dbec17097f07eb39299372b736fbbc1b11b65e	\N	\N	\N	\N	\N	\N	
game_rom	M72_v0.33b	bchopper	b-b0-.rom	\N	\N	65536	b5b95776	4685b56071b916ce712c45f24da8068dd7e40ed1	\N	\N	\N	\N	\N	\N	
game_rom	M72_v0.33b	bchopper	b-b1-.rom	\N	\N	65536	74ca16ee	7984bc9a0b46e1b4a8ecac7528d57606305aad73	\N	\N	\N	\N	\N	\N	
game_rom	M72_v0.33b	bchopper	b-b2-.rom	\N	\N	65536	b82cca04	c12b95be311205181b01d15021bcf9f01ed3e0a3	\N	\N	\N	\N	\N	\N	
game_rom	M72_v0.33b	bchopper	b-b3-.rom	\N	\N	65536	a7afc920	92c75463ada39184e731b82ef2883ae6f1f67482	\N	\N	\N	\N	\N	\N	
game_rom	M72_v0.33b	bchopper	c-00-a.rom	\N	\N	65536	f6e6e660	e066e5ed37719cf2b6fd36e0117f11325bb06f9c	\N	\N	\N	\N	\N	\N	
game_rom	M72_v0.33b	bchopper	c-01-b.rom	\N	\N	65536	708cdd37	24f3fcd381422f0d75410c2af7a56744e3b4a699	\N	\N	\N	\N	\N	\N	
