game	SAGE_v1.16	1942	\N	\N	\N	\N	\N	1942 (set 2)	1984	Capcom	\N	\N	\N	
game_rom	SAGE_v1.16	1942	1-n3.bin	\N	\N	16384	612975f2	f3744335862dd4c53925cc32792badd4a378c837	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	1-n4.bin	\N	\N	16384	a60ac644	f37862db3cf5e6cc9ab3276f3bc45fd629fd70dd	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	1-n5.bin	\N	\N	16384	835f7b24	24b66827f08c43fbf5b9517d638acdfc38e1b1e7	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	1-n6.bin	\N	\N	8192	821c6481	06becb6bf8b4bde3a458098498eecad566a87711	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	1-n7.bin	\N	\N	16384	5df525e1	70cd2910e2945db76bd6ebfa0ff09a5efadc2d0b	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	1-c11.bin	\N	\N	16384	bd87f06b	821f85cf157f81117eeaba0c3cf0337eac357e58	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	1-f2.bin	\N	\N	8192	6ebca191	0dbddadde54a0ab66994c4a8726be05c6ca88a0e	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	2-a1.bin	\N	\N	8192	3884d9eb	5cbd9215fa5ba5a61208b383700adc4428521aed	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	2-a2.bin	\N	\N	8192	999cf6e0	5b8b685038ec98b781908b92eb7fb9506db68544	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	2-a3.bin	\N	\N	8192	8edb273a	85fdd4c690ed31e6396e3c16aa02140ee7ea2d61	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	2-a4.bin	\N	\N	8192	3a2726c3	187c92ef591febdcbd1d42ab850e0cbb62c00873	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	2-a5.bin	\N	\N	8192	1bd3d8bb	ef4dce605eb4dc8035985a415315ec61c21419c6	\N	\N	\N	\N	\N	\N	
game_rom	SAGE_v1.16	1942	2-a6.bin	\N	\N	8192	658f02c4	f087d69e49e38cf3107350cde18fcf85a8fa04f0	\N	\N	\N	\N	\N	\N	
