game	Replay_v0.04	1942	\N	\N	\N	\N	\N	1942 (set 2)	1984	Capcom	\N	\N	\N	
game_rom	Replay_v0.04	1942	1-n3.bin	\N	\N	16384	612975f2	f3744335862dd4c53925cc32792badd4a378c837	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	1-n4.bin	\N	\N	16384	a60ac644	f37862db3cf5e6cc9ab3276f3bc45fd629fd70dd	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	1-n5.bin	\N	\N	16384	835f7b24	24b66827f08c43fbf5b9517d638acdfc38e1b1e7	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	1-n6.bin	\N	\N	8192	821c6481	06becb6bf8b4bde3a458098498eecad566a87711	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	1-n7.bin	\N	\N	16384	5df525e1	70cd2910e2945db76bd6ebfa0ff09a5efadc2d0b	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	1-c11.bin	\N	\N	16384	bd87f06b	821f85cf157f81117eeaba0c3cf0337eac357e58	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	1-f2.bin	\N	\N	8192	6ebca191	0dbddadde54a0ab66994c4a8726be05c6ca88a0e	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	2-a1.bin	\N	\N	8192	3884d9eb	5cbd9215fa5ba5a61208b383700adc4428521aed	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	2-a2.bin	\N	\N	8192	999cf6e0	5b8b685038ec98b781908b92eb7fb9506db68544	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	2-a3.bin	\N	\N	8192	8edb273a	85fdd4c690ed31e6396e3c16aa02140ee7ea2d61	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	2-a4.bin	\N	\N	8192	3a2726c3	187c92ef591febdcbd1d42ab850e0cbb62c00873	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	2-a5.bin	\N	\N	8192	1bd3d8bb	ef4dce605eb4dc8035985a415315ec61c21419c6	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	2-a6.bin	\N	\N	8192	658f02c4	f087d69e49e38cf3107350cde18fcf85a8fa04f0	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	2-l1.bin	\N	\N	16384	2528bec6	29f7719f18faad6bd1ec6735cc24e69168361470	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	2-l2.bin	\N	\N	16384	f89287aa	136fff6d2a4f48a488fc7c620213761459c3ada0	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	2-n1.bin	\N	\N	16384	024418f8	145b8d5d6c8654cd090955a98f6dd8c8dbafe7c1	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	1942	2-n2.bin	\N	\N	16384	e2c7e489	d4b5d575c021f58f6966df189df94e08c5b3621c	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	3stooges	\N	\N	\N	\N	\N	Three Stooges	1984	Mylstar	\N	\N	\N	
game_rom	Replay_v0.04	3stooges	gv113ram.4	\N	\N	4096	533bff2a	58d0be8add4b02dc3e27cf6b17a05baf4304f3ce	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	3stooges	gv113rom.4	\N	\N	8192	8b6e52b8	6e17e11afce92a7fa1735a724f0c0faf9375ac89	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	3stooges	gv113rom.3	\N	\N	8192	b816d8c4	86e16888492390034ac04e3f6a9f56422575c778	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	3stooges	gv113rom.2	\N	\N	8192	b45b2a79	7d0b19bec462ab67f518361afdf4b6982829ed07	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	3stooges	gv113rom.1	\N	\N	8192	34ab051e	df416aaf34d6bbbdd79ae633842355a292ed935d	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	3stooges	gv113rom.0	\N	\N	8192	ab124329	de1bc721eea74426035eec10a389f77b435aa9b9	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	3stooges	gv113fg3	\N	\N	8192	28071212	33ce5cfae3491658f8b4cb977dc2da0a75dffee4	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	3stooges	gv113fg2	\N	\N	8192	9fa3dfde	693327c60691748bf16e486b2962ebe019009a69	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	3stooges	gv113fg1	\N	\N	8192	fb223854	b1eaad971edd2f3a2aed66c5f9d0f27d6ffd5466	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	3stooges	gv113fg0	\N	\N	8192	95762c53	e486a232e6b62ab21b9c3be521606dea2a451889	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	amigo	\N	\N	\N	\N	\N	Amigo	1982	bootleg	\N	\N	\N	
game_rom	Replay_v0.04	amigo	2732.a1	\N	\N	4096	930dc856	7022f1f26830baccdc8b8f0b10fb1d1ccb080f22	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amigo	2732.a2	\N	\N	4096	66282ff5	986778278eb339768d190460680e7aa698812488	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amigo	2732.a3	\N	\N	4096	e9d3dc76	627c6068c65985175388aec43ac2a4248b004c97	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amigo	2732.a4	\N	\N	4096	4a4086c9	6f309b67dc68e06e6eb1d3ee2ae75afe253a4ce3	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amigo	2716.a6	\N	\N	2048	2082ad0a	c6014d9575e92adf09b0961c2158a779ebe940c4	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amigo	2716.a5	\N	\N	2048	3029f94f	3b432b42e79f8b0a7d65e197f373a04e3c92ff20	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	amidar	\N	\N	\N	\N	\N	Amidar (Stern)	1982	Konami (Stern license)	\N	\N	\N	
game_rom	Replay_v0.04	amidar	amidarus.2c	\N	\N	4096	951e0792	3a68b829c9ffb465bd6582c9ea566e0e947c6c19	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amidar	amidarus.2e	\N	\N	4096	a1a3a136	330ec857fdf4c1b28e2560a5f63a2432f87f9b2f	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amidar	amidarus.2f	\N	\N	4096	a5121bf5	fe15b91724758ede43dd332327919f164772c592	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amidar	amidarus.2h	\N	\N	4096	051d1c7f	3cfa0f728a5c27da0a3fe2579ad226129ccde232	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amidar	amidarus.2j	\N	\N	4096	351f00d5	6659357f40f888b21be00826246200fd3a8a88ce	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amidar	amidarus.5f	\N	\N	4096	e3ada0a8	abcb7b3b5d603a3383591c9335969952b19a53b6	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amidar	amidarus.5h	\N	\N	4096	9f27cb8b	a4c4e2add0396ab5c0155bf19776c5e1554da92a	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	amidarjp	\N	\N	\N	\N	\N	Amidar	1981	Konami	\N	\N	\N	
game_rom	Replay_v0.04	amidarjp	amidar.2c	\N	\N	4096	c294bf27	399325bf1559e8cdbddf7cfbf0dc739f9ed72ef0	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amidarjp	amidar.2e	\N	\N	4096	e6e96826	e9c4f8c594640424b456505e676352a98b758c03	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amidarjp	amidar.2f	\N	\N	4096	3656be6f	9d652f66bedcf17a6453c0e0ead30bfd7ea0bd0a	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amidarjp	amidar.2h	\N	\N	4096	1be170bd	c047bc393b297c0d47668a5f6f4870e3fac937ef	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amidarjp	amidar.5f	\N	\N	2048	5e51e84d	dfe84db7e2b1a45a1d484fcf37291f536bc5324c	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	amidarjp	amidar.5h	\N	\N	2048	2f7f1c30	83c330eca20dfcc6a4099001943b9ed7a7c3db5b	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	anteater	\N	\N	\N	\N	\N	Anteater	1982	[Stern] (Tago license)	\N	\N	\N	
game_rom	Replay_v0.04	anteater	ra1-2c	\N	\N	4096	58bc9393	7122782a69ef0d2196ec16833f229b6286802668	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	anteater	ra1-2e	\N	\N	4096	574fc6f6	a1a213d215fe8502edf22383c3a6fb7c9b279d94	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	anteater	ra1-2f	\N	\N	4096	2f7c1fe5	4cea7e66a85766a9cf9846bb5bc1ca4e6ee1f4e2	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	anteater	ra1-2h	\N	\N	4096	ae8a5da3	1893d8293b25431d080b89f5b0874440d14e8d17	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	anteater	ra6-5f	\N	\N	2048	4c3f8a08	3152eef64903be1a82f09764821a3654f316197d	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	anteater	ra6-5h	\N	\N	2048	b30c7c9f	d4ae040d1fd7e5a5d08c2f6968735c551119c207	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	arabian	\N	\N	\N	\N	\N	Arabian (Atari)	1983	[Sun Electronics] (Atari license)	\N	\N	\N	
game_rom	Replay_v0.04	arabian	ic1.87	\N	\N	8192	51e9a6b1	a2e6beab5380eed56972f5625be21b01c7e2082a	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	arabian	ic2.88	\N	\N	8192	1cdcc1ab	46886d53cc8a1c1d540fd0e1ddf1811fb256c1f3	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	arabian	ic3.89	\N	\N	8192	b7b7faa0	719418b7b7c057acb6d3060cf7061ffacf00798c	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	arabian	ic4.90	\N	\N	8192	dbded961	ecc09fa95f6dd58c4ac0e095a89ffd3aae681da4	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	arabian	ic84.91	\N	\N	8192	c4637822	0c73d9a4db925421a535784780ad93bb0f091051	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	arabian	ic85.92	\N	\N	8192	f7c6866d	34f545c5f7c152cd59f7be0a72105f739852cd6a	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	arabian	ic86.93	\N	\N	8192	71acd48d	cd0bffed351b14c9aebbfc1d3d4d232a5b91a68f	\N	\N	\N	\N	\N	\N	
game_rom	Replay_v0.04	arabian	ic87.94	\N	\N	8192	82160b9a	03511f6ebcf22ba709a80a565e71acf5bdecbabb	\N	\N	\N	\N	\N	\N	
game	Replay_v0.04	atlantis	\N	\N	\N	\N	\N	Battle of Atlantis (set 1)	1981	Comsoft	\N	\N	\N	
