game	ClassicEmu_v0.01	amidar	\N	\N	\N	\N	\N	Amidar	1981	Konami	\N	\N	\N	
game_rom	ClassicEmu_v0.01	amidar	amidar.2c	\N	\N	4096	c294bf27	399325bf1559e8cdbddf7cfbf0dc739f9ed72ef0	\N	\N	\N	\N	\N	\N	
game_rom	ClassicEmu_v0.01	amidar	amidar.2e	\N	\N	4096	e6e96826	e9c4f8c594640424b456505e676352a98b758c03	\N	\N	\N	\N	\N	\N	
game_rom	ClassicEmu_v0.01	amidar	amidar.2f	\N	\N	4096	3656be6f	9d652f66bedcf17a6453c0e0ead30bfd7ea0bd0a	\N	\N	\N	\N	\N	\N	
game_rom	ClassicEmu_v0.01	amidar	amidar.2h	\N	\N	4096	1be170bd	c047bc393b297c0d47668a5f6f4870e3fac937ef	\N	\N	\N	\N	\N	\N	
game_rom	ClassicEmu_v0.01	amidar	amidar.5c	\N	\N	4096	c4b66ae4	9d09dbde4019f7be3abe0815b0e06d542c01c255	\N	\N	\N	\N	\N	\N	
game_rom	ClassicEmu_v0.01	amidar	amidar.5d	\N	\N	4096	806785af	c8c85e3a6a204feccd7859b4527bd649e96134b4	\N	\N	\N	\N	\N	\N	
game_rom	ClassicEmu_v0.01	amidar	amidar.5f	\N	\N	2048	5e51e84d	dfe84db7e2b1a45a1d484fcf37291f536bc5324c	\N	\N	\N	\N	\N	\N	
game_rom	ClassicEmu_v0.01	amidar	amidar.5h	\N	\N	2048	2f7f1c30	83c330eca20dfcc6a4099001943b9ed7a7c3db5b	\N	\N	\N	\N	\N	\N	
game	ClassicEmu_v0.01	amidaru	\N	\N	amidar	amidar	\N	Amidar (Stern)	1982	Konami (Stern license)	\N	\N	\N	
game_rom	ClassicEmu_v0.01	amidaru	amidarus.2c	\N	\N	4096	951e0792	3a68b829c9ffb465bd6582c9ea566e0e947c6c19	\N	\N	\N	\N	\N	\N	
