game	System_16_v0.82a	alexkidd	\N	\N	\N	\N	\N	Alex Kidd (Bootleg)	1986	Sega	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10431.95	\N	\N	32768	a7962c39	c816fc5d9f21b2ba32b9841e64b634bce7ea78c8	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10432.94	\N	\N	32768	db8cd24e	656d98844ad9ccaa68e3f501137dddd0a27d999d	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10433.93	\N	\N	32768	e163c8c2	ac54c5ecedca5b1a2c550de32687ca57c4d3a411	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10434.12	\N	\N	32768	77141cce	6c5e83527f7e11a5ff5cc4fa75d55618a55e1a58	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10437.10	\N	\N	32768	522f7618	9a6bc857dfef1dd1b7bffa034523c1c4cd8b3f4c	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10438.17	\N	\N	32768	738a6362	a3c5f10c263cb216d275875f6333484a1cca281b	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10439.23	\N	\N	32768	b391aca7	ca9d80b67e5365f709f90a5342b5e3aa7c7126e1	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10440.29	\N	\N	32768	23939508	68450a18fc7e35f5b0155632aa68cffd251be38c	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10441.11	\N	\N	32768	74e3a35c	26b980a0a3aee94ac38e0e0c7d305bb35a60d1c4	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10442.18	\N	\N	32768	86cb9c14	42bd0ed985de61ff183eed0192257966caa01594	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10443.24	\N	\N	32768	95d32635	788af2af1ae783128bcdc8cd44d17cd2f1542231	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10444.30	\N	\N	32768	82115823	e4103003cda949bebe57815115a5028f4fe8e7d7	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10445.26	\N	\N	65536	25ce5b6f	dfec64df7e8d145d30740808bc94bdbbe667c4e8	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10446.25	\N	\N	65536	cd61d23c	c235c4fef28556e9f2d07e815ad213c308e85598	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10447.43	\N	\N	65536	29e87f71	af980e55c02b3de1121c144fee23af74d24042ac	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	alexkidd	10448.42	\N	\N	65536	05baedb5	fc15989bf3d850170e4e018d74f18553f0268576	\N	\N	\N	\N	\N	\N	
game	System_16_v0.82a	aliensyn	\N	\N	\N	\N	\N	Alien Syndrome	1987	Sega	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	10702.b9	\N	\N	65536	393bc813	672782c8fb2a6e454b27e073acc26130cacf3e50	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	10703.b10	\N	\N	65536	6b6dd9f5	964409c6630caa13caf7d644d0c6fb071860b61b	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	10704.b11	\N	\N	65536	911e7ebc	f03d3d3a09d19f7b705f9cb29f73140a3073463f	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	10709.b1	\N	\N	65536	addf0a90	a92c9531f1817763773471ce63f566b9e88360a0	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	10710.b2	\N	\N	65536	992369eb	c6796acf6807e9ba4c3d241903653f91adf4764e	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	10711.b3	\N	\N	65536	29166ef6	99a7cfd7d811537c821412a320beadb5a9c09af3	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	10712.b4	\N	\N	65536	876ad019	39973ddb5a5746e0e094c759447bff1130c72c84	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	10713.b5	\N	\N	65536	ececde3a	9c12d4665179bf433c42f5ddc8a043ad592aa90e	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	10714.b6	\N	\N	65536	91bf42fb	4b9d3e97768323dee01e92378adafecb26bcc094	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	10715.b7	\N	\N	65536	a7c57384	46f8efa691d7bbb0a18119c0ff12cff7c0d129e1	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	10716.b8	\N	\N	65536	40ba1d48	e2d4d2689bb9b9bdc85e7f72a6665e5fd4c583aa	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	10723.a7	\N	\N	32768	99953526	4a980370923fd5d3dc9e25d42a032c9e78c7ff47	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	11080.a1	\N	\N	32768	fe7378d9	acfee79e5fe9fdf95926562c02599e96e96f76b5	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	11081.a2	\N	\N	32768	1308ee63	36a4c8cf3a310398e264c57c7c6f53c05dbc0108	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	11082.a3	\N	\N	32768	9cdc2a14	c06693f45675e31d591703c27bb3f6ec02fc1215	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	11083.a4	\N	\N	32768	cb2ad9b3	66284b4e1071b3cb4b36960a2dba8949325f9e86	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	11084.a5	\N	\N	32768	2e1ec7b1	666a9e402d7d02d74c0a2468853a3843b161c1a2	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	aliensyn	11085.a6	\N	\N	32768	cff78f39	78431ce6c03232150a8db15499da9371977b570b	\N	\N	\N	\N	\N	\N	
game_sample	System_16_v0.82a	aliensyn	asyn_41.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_42.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_43.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_44.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_45.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_46.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_47.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_48.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_49.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_4a.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_4b.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_4c.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_4d.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_4e.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_4f.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_50.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_51.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_52.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_53.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_54.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_55.wav	
game_sample	System_16_v0.82a	aliensyn	asyn_56.wav	
game	System_16_v0.82a	altbeast	\N	\N	\N	\N	\N	Altered Beast	1988	Sega	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11671.bin	\N	\N	32768	2b71343b	8a657f787de2b9d5161ed2c109642a148348af09	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11674.bin	\N	\N	131072	a57a66d5	5103583d48997abad12a0c5fee26431c486ced52	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11675.bin	\N	\N	131072	2ef2f144	38d22d609db2d9b6067b5d12f6499436de4605cb	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11676.bin	\N	\N	131072	0c04acac	87fe2a0dd9913f9550e9b4cbc7e7465b61640e07	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11677.bin	\N	\N	65536	f8b3684e	3de2685cae5fb3c954b8440fafce313072747469	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11678.bin	\N	\N	65536	b0390078	9035d9f45c67bdc802710018722943f5b63e8b5d	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11679.bin	\N	\N	65536	676be0cb	1e7d4c5f231992f111cc7885e97bc5a7267a5e89	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11680.bin	\N	\N	65536	339987f7	b5650f8bdbd44510e84686b20daf70bc4a564f28	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11681.bin	\N	\N	65536	ae3c2793	c4f46861ea63ffa3c038a1ef931479b94e5382df	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11682.bin	\N	\N	65536	2a87744a	421b3926de046ddeddad05f65fc6b5078af28dbd	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11683.bin	\N	\N	65536	802cac94	24e5aa74ce8b6c53c78cc33a41a473df3fbce639	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11684.bin	\N	\N	65536	4fe406aa	7f068b81f35be4cc4785824ed524d28f201ff0a5	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11718.bin	\N	\N	65536	882864c2	bd44bbdc13e5fd1b5c31c343da00a75b9dd90478	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11726.bin	\N	\N	65536	3cce5419	fccdbd6d05f5927272e7d6e5f997418d4fa2baf5	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11728.bin	\N	\N	65536	f3a43fd8	d42833ecd0c1920f1a6904d32c096f12d8622141	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11730.bin	\N	\N	65536	3af62b55	9f079af88aaf2447948c9ac01c6cbd1e79539704	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11732.bin	\N	\N	65536	2fb3e355	960e0a66b23f79833b011ea35a5a412dffb47083	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11734.bin	\N	\N	65536	76c704d2	35b393071e29b8d122d3f904b923689a7dddc808	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11739.bin	\N	\N	131072	e466eb65	c9bb57818eb81a43abdf2ad2a79a0bd45c25d208	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	altbeast	ab11740.bin	\N	\N	131072	ce227542	54adcc1246943360bb68498e971809a0d4f9fe0c	\N	\N	\N	\N	\N	\N	
game_sample	System_16_v0.82a	altbeast	altb_41.wav	
game_sample	System_16_v0.82a	altbeast	altb_42.wav	
game_sample	System_16_v0.82a	altbeast	altb_43.wav	
game_sample	System_16_v0.82a	altbeast	altb_44.wav	
game_sample	System_16_v0.82a	altbeast	altb_45.wav	
game_sample	System_16_v0.82a	altbeast	altb_46.wav	
game_sample	System_16_v0.82a	altbeast	altb_47.wav	
game_sample	System_16_v0.82a	altbeast	altb_48.wav	
game_sample	System_16_v0.82a	altbeast	altb_49.wav	
game_sample	System_16_v0.82a	altbeast	altb_4a.wav	
game_sample	System_16_v0.82a	altbeast	altb_4b.wav	
game_sample	System_16_v0.82a	altbeast	altb_4c.wav	
game_sample	System_16_v0.82a	altbeast	altb_4d.wav	
game_sample	System_16_v0.82a	altbeast	altb_4e.wav	
game_sample	System_16_v0.82a	altbeast	altb_4f.wav	
game_sample	System_16_v0.82a	altbeast	altb_50.wav	
game_sample	System_16_v0.82a	altbeast	altb_51.wav	
game_sample	System_16_v0.82a	altbeast	altb_52.wav	
game_sample	System_16_v0.82a	altbeast	altb_53.wav	
game_sample	System_16_v0.82a	altbeast	altb_54.wav	
game_sample	System_16_v0.82a	altbeast	altb_55.wav	
game_sample	System_16_v0.82a	altbeast	altb_56.wav	
game	System_16_v0.82a	astormbl	\N	\N	\N	\N	\N	Alien Storm (Bootleg)	1990	bootleg	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.a5	\N	\N	262144	efe9711e	496fd9e30941fde1658fab7292a669ef7964cecb	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.a6	\N	\N	262144	7682ed3e	b857352ad9c66488e91f60989472638c483e4ae8	\N	\N	\N	\N	\N	\N	
game_rom	System_16_v0.82a	astormbl	astorm.a8	\N	\N	262144	8c9a71c4	40b774765ac888792aad46b6351a24b7ef40d2dc	\N	\N	\N	\N	\N	\N	
