game	Rockulator++_v0.98a	1942	\N	\N	\N	\N	\N	1942 (set 2)	1984	Capcom	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	1-n3.bin	\N	\N	16384	612975f2	f3744335862dd4c53925cc32792badd4a378c837	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	1-n4.bin	\N	\N	16384	a60ac644	f37862db3cf5e6cc9ab3276f3bc45fd629fd70dd	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	1-n5.bin	\N	\N	16384	835f7b24	24b66827f08c43fbf5b9517d638acdfc38e1b1e7	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	1-n6.bin	\N	\N	8192	821c6481	06becb6bf8b4bde3a458098498eecad566a87711	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	1-n7.bin	\N	\N	16384	5df525e1	70cd2910e2945db76bd6ebfa0ff09a5efadc2d0b	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	1-c11.bin	\N	\N	16384	bd87f06b	821f85cf157f81117eeaba0c3cf0337eac357e58	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	1-f2.bin	\N	\N	8192	6ebca191	0dbddadde54a0ab66994c4a8726be05c6ca88a0e	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	2-a1.bin	\N	\N	8192	3884d9eb	5cbd9215fa5ba5a61208b383700adc4428521aed	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	2-a2.bin	\N	\N	8192	999cf6e0	5b8b685038ec98b781908b92eb7fb9506db68544	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	2-a3.bin	\N	\N	8192	8edb273a	85fdd4c690ed31e6396e3c16aa02140ee7ea2d61	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	2-a4.bin	\N	\N	8192	3a2726c3	187c92ef591febdcbd1d42ab850e0cbb62c00873	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	2-a5.bin	\N	\N	8192	1bd3d8bb	ef4dce605eb4dc8035985a415315ec61c21419c6	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	2-a6.bin	\N	\N	8192	658f02c4	f087d69e49e38cf3107350cde18fcf85a8fa04f0	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	2-l1.bin	\N	\N	16384	2528bec6	29f7719f18faad6bd1ec6735cc24e69168361470	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	2-l2.bin	\N	\N	16384	f89287aa	136fff6d2a4f48a488fc7c620213761459c3ada0	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	2-n1.bin	\N	\N	16384	024418f8	145b8d5d6c8654cd090955a98f6dd8c8dbafe7c1	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	1942	2-n2.bin	\N	\N	16384	e2c7e489	d4b5d575c021f58f6966df189df94e08c5b3621c	\N	\N	\N	\N	\N	\N	
game	Rockulator++_v0.98a	fantasy	\N	\N	\N	\N	\N	Fantasy (US)	1981	[SNK] (Rock-ola license)	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic12.cpu	\N	\N	4096	22cb2249	6c43e3fa9638b6d2e069199968923e470bd5d18b	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic07.cpu	\N	\N	4096	0e2880b6	666d6942864eb7a90178b3b6e2b0eb23aa3c967f	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic08.cpu	\N	\N	4096	4c331317	800850f4e8bcfbbade54eb9e47a53941f8798641	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic09.cpu	\N	\N	4096	6ac1dbfc	b9c7bf8d3b085db0b53646b5639c09f9ced2b1fe	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic10.cpu	\N	\N	4096	c796a406	1b7f5f307a81b481a3e7791128a01d4c1a20c4bf	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic14.cpu	\N	\N	4096	6f1f0698	05bd114dcd08c990d897518a8ea7965bc82279bf	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic15.cpu	\N	\N	4096	5534d57e	e564a3325766423b47de18d6adb61760cbbf88be	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic16.cpu	\N	\N	4096	6c2aeb6e	fd0b913a663bf2a5f45fc3d342d7575a9c7dae46	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic17.cpu	\N	\N	4096	f6aa5de1	ca53cf66cc6cdb21a60760102f35a5b0745ce09b	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic50.vid	\N	\N	4096	86a801c3	c040b5807c25823072f7e8ceab57b95d4bed89fe	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic51.vid	\N	\N	4096	9dfff71c	7a7c017170f2ea903a730a4e5ab69db379a4fc61	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic51.cpu	\N	\N	2048	48094ec5	7d6118133bc1eb8ebc5d8a95d10ef842daffef89	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic52.cpu	\N	\N	2048	1d0316e8	6a3ab289b5fefef8663514bd1d5817c70fe58882	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	fantasy	ic53.cpu	\N	\N	2048	49fd4ae8	96ff1267c0ffab1e8a0769fa869516e2546ab640	\N	\N	\N	\N	\N	\N	
game	Rockulator++_v0.98a	frogger	\N	\N	\N	\N	\N	Frogger (Sega set 2)	1981	[Konami] (Sega license)	\N	\N	\N	
game_rom	Rockulator++_v0.98a	frogger	frogger.ic5	\N	\N	4096	efab0c79	68c99b6cdcb9396bb473739a62ffc009b4bf57d5	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	frogger	frogger.ic6	\N	\N	4096	aeca9c13	cdf560adbd7f2813e86e378da7781cccf7928a44	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	frogger	frogger.ic7	\N	\N	4096	dd251066	4612e1fe1ab7182a277140b1a1976cc17e0746a5	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	frogger	frogger.ic8	\N	\N	4096	bf293a02	be94e9f5caa74c3de6fd95bd20928f4a9c514227	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	frogger	frogger.608	\N	\N	2048	e8ab0256	f090afcfacf5f13cdfa0dfda8e3feb868c6ce8bc	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	frogger	frogger.609	\N	\N	2048	7380a48f	75582a94b696062cbdb66a4c5cf0bc0bb94f81ee	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	frogger	frogger.610	\N	\N	2048	31d7eb27	2e1d34ae4da385fd7cac94707d25eeddf4604e1a	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	frogger	frogger.606	\N	\N	2048	f524ee30	dd768967add61467baa08d5929001f157d6cd911	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	frogger	frogger.607	\N	\N	2048	05f7d883	78831fd287da18928651a8adb7e578d291493eff	\N	\N	\N	\N	\N	\N	
game	Rockulator++_v0.98a	galaxian	\N	\N	\N	\N	\N	Galaxian (Namco)	1979	Namco	\N	\N	\N	
game_rom	Rockulator++_v0.98a	galaxian	7f	\N	\N	4096	b10533fd	ea8653e80000d607cd37a41f2de27ffe6e190f0f	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	galaxian	7j	\N	\N	4096	9163454d	683ce43c0e24fd5110b860e424e5de30d59e5223	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	galaxian	7l	\N	\N	4096	952c6135	e0989d5dce37ae421c34833d48b09e76d178680d	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	galaxian	1h	\N	\N	2048	39fb43a4	4755609bd974976f04855d51e08ec0d62ab4bc07	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	galaxian	1k	\N	\N	2048	7e3f56a2	a9795d8b7388f404f3b0e2c6ce15d713a4c5bafa	\N	\N	\N	\N	\N	\N	
game	Rockulator++_v0.98a	mcresta	\N	\N	\N	\N	\N	Moon Cresta (Nichibutsu)	1980	Nichibutsu	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcresta	mc1	\N	\N	2048	7d954a7a	a93ee403cfd7887538ad12d33f6dd6c71bea2a32	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcresta	mc2	\N	\N	2048	44bb7cfa	349c2e23a9fce73f95bb8168d369082fa129fe3d	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcresta	mc3	\N	\N	2048	9c412104	1b40054ebb1ace965a8522119bb23f09797bc5f6	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcresta	mc4	\N	\N	2048	7e9b1ab5	435f603c0c3e788a509dd144a7916a34e791ae44	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcresta	mc5	\N	\N	2048	16c759af	3b48050411f65f9d3fb41ff22901e22d82bf1cf6	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcresta	mc6	\N	\N	2048	69bcafdb	939c8c6ed1cd4660a3d99b8f17ed99cbd7e1352a	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcresta	mc7	\N	\N	2048	b50dbc46	4fa084fd1ba5f78e7703e684c57af15ca7a844e4	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcresta	mc8	\N	\N	2048	18ca312b	39219059003b949e38305553fea2d33071062c64	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcresta	mcb	\N	\N	2048	528da705	d726ee18b79774c982f88afb2a508eb5d5783193	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcresta	mcd	\N	\N	2048	5a4b17ea	8a879dc34fdecc8a121c4a87abb981212fb05945	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcresta	mca	\N	\N	2048	4e79ff6b	f72386a3766a7fcc7b4b8cedfa58b8d57f911f6f	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcresta	mcc	\N	\N	2048	e0edccbd	0839a4c9b6e863d12253ae8e1732e80e08702228	\N	\N	\N	\N	\N	\N	
game	Rockulator++_v0.98a	mcrestab	\N	\N	mcresta	mcresta	\N	Moon Cresta (Gremlin)	1980	Gremlin	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcrestab	epr194	\N	\N	2048	0e5582b1	946ad4aeb10c0b7b3f93fd24925cc9bcb49e443c	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcrestab	epr195	\N	\N	2048	12cb201b	ebb01ec646b9e015cbcb93f70dfdaf448afefc12	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcrestab	epr196	\N	\N	2048	18255614	b373e22d47c0f7facba13148ca9c462ec9a0d732	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcrestab	epr197	\N	\N	2048	05ac1466	cbf93a8ce0925fa1c073c74f1274b190d9faefaf	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcrestab	epr198	\N	\N	2048	c28a2e8f	9ff6bab1e1185597ba55cb0d6086091a1fce01a6	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcrestab	epr199	\N	\N	2048	5a4571de	2a4170dee105922fc69c99b79f6f328098e81918	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcrestab	epr200	\N	\N	2048	b7c85bf1	cc9f593658ea39c849d80c83ee0c2170cc29879e	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcrestab	epr201	\N	\N	2048	2caba07f	8fec4904e12b4cfb6068784007278be986a3eede	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcrestab	epr203	\N	\N	2048	be26b561	cc27de6888eaf4ee18c0d37d9bcb528dd282b838	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcrestab	epr172	\N	\N	2048	13932a15	b8885c555c6ad7021be55c6925a0a0872c1b6abd	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcrestab	epr202	\N	\N	2048	26c7e800	034192e5e2cbac4b66a9828f5ec2311c2c368781	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mcrestab	epr171	\N	\N	2048	24cfd145	08c6599db170dd6ee364c44f70a0f5c0f881b6ef	\N	\N	\N	\N	\N	\N	
game	Rockulator++_v0.98a	mtrap	\N	\N	\N	\N	\N	Mouse Trap (version 5)	1981	Exidy	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mtrap	mtl11a.bin	\N	\N	4096	bd6c3eb5	248956374222a09caa5b8c8fa842e9286d8e1c5d	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mtrap	mtl10a.bin	\N	\N	4096	75b0593e	48ce5382905f7c52929a95267d65fd0d3f0dcc92	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mtrap	mtl9a.bin	\N	\N	4096	28dd20ff	8ac44ec27ac25209c8b49da4c6b423917ed8907e	\N	\N	\N	\N	\N	\N	
game_rom	Rockulator++_v0.98a	mtrap	mtl8a.bin	\N	\N	4096	cc09f7a4	e806dc0e10b909b61e347f3e28eb024f3b3a9702	\N	\N	\N	\N	\N	\N	
