game	Impact_Full_List	ts2j	\N	\N	\N	\N	\N	Battle Arena Toshinden 2 (Japan)	1995	Capcom/Takara	\N	\N	\N	
game_rom	Impact_Full_List	ts2j	ts2-01	\N	\N	4194304	d7a505e0	f1b0cdea712101f695bd326eccd753eb79a07490	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	ts2j	ts2-02	\N	\N	131072	2f45c461	513b6b9b5a2f7c567c30c958e0e13834cd9bd266	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	ts2j	ts2j-04	\N	\N	524288	4aba8c5e	a56001bf50bfc1b03036e88ae1febd1aac8c63c0	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	ts2j	ts2-05	\N	\N	4194304	7f4228e2	3690a76d19d97e55bc7b05a8456328697cfd7a77	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	ts2j	ts2-06m	\N	\N	4194304	cd7e0a27	325b5f2e653cdea07cddc9d20d12b5ab50dca949	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	ts2j	ts2-08m	\N	\N	4194304	b1f7f115	3f416d2aac07aa73a99593b5a21b047da60cea6a	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	ts2j	ts2-10	\N	\N	2097152	ad90679a	19dd30764f892ee7f89c78ccbccdaf4d6b0e6e09	\N	\N	\N	\N	\N	\N	
game	Impact_Full_List	rvschool	\N	\N	\N	\N	\N	Rival Schools	1997	Capcom	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-01m	\N	\N	4194304	9a7c98f9	764c6c4f41047e1f36d2dceac4aa9b943a9d529a	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-02	\N	\N	131072	7809e2c3	0216a665f7978bc8db3f7fdab038e1c7aa120844	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-03	\N	\N	131072	860ff24d	eea72fa5eaf407a112a5b3daf60f7ac8ad191cc7	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-04a	\N	\N	524288	034b1011	6773246be242ee336503d21d7d44a3884832eb1e	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-05m	\N	\N	4194304	723372b8	2a7c95d1f9a3f58c469dfc28ead1fd192eaaebd1	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-06m	\N	\N	4194304	4248988e	4bdf7cac17d70ea85aa2002fc6b21a64d05e6e5a	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-07m	\N	\N	4194304	c84c5a16	5c0ca7454189c766f1ca7305504ff1867007c8e6	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-08m	\N	\N	4194304	791b57f3	4ea12a0f7a7110d7dcbc55b3f02aa9a92dea4b12	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-09m	\N	\N	4194304	6df42048	9e2b4a424de3918e5e54bc87fd9dcceff8d162be	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-10m	\N	\N	4194304	d7e22769	733f96dce2586fc0a8af3cec18153085750c9a4d	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-11m	\N	\N	4194304	0a033ac5	218b33cb51db99d3e9ee180da6a74460f4444fc6	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-12m	\N	\N	4194304	43bd2ddd	7f2976e394362cb648f620e430b3bf11b71485a6	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschool	jst-13m	\N	\N	4194304	6b443235	c764d8b742aa1c46bc8d37f36e864ef50a1ff4e4	\N	\N	\N	\N	\N	\N	
game	Impact_Full_List	rvschoolj	\N	\N	rvschool	rvschool	\N	Justice Gakuen	1997	Capcom	\N	\N	\N	
game_rom	Impact_Full_List	rvschoolj	jst-01m	jst-01m	\N	4194304	9a7c98f9	764c6c4f41047e1f36d2dceac4aa9b943a9d529a	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschoolj	jst-02	jst-02	\N	131072	7809e2c3	0216a665f7978bc8db3f7fdab038e1c7aa120844	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschoolj	jst-03	jst-03	\N	131072	860ff24d	eea72fa5eaf407a112a5b3daf60f7ac8ad191cc7	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschoolj	jst-04j	\N	\N	524288	28b8000a	9ebf74b453d775cadca9c2d7d8e2c7eb57bb9a38	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschoolj	jst-05m	jst-05m	\N	4194304	723372b8	2a7c95d1f9a3f58c469dfc28ead1fd192eaaebd1	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschoolj	jst-06m	jst-06m	\N	4194304	4248988e	4bdf7cac17d70ea85aa2002fc6b21a64d05e6e5a	\N	\N	\N	\N	\N	\N	
game_rom	Impact_Full_List	rvschoolj	jst-07m	jst-07m	\N	4194304	c84c5a16	5c0ca7454189c766f1ca7305504ff1867007c8e6	\N	\N	\N	\N	\N	\N	
