game	Callus95_v0.42_patch_2.4	1941	\N	\N	\N	\N	\N	1941 - Counter Attack (World)	1990	Capcom	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941	41e_30.rom	\N	\N	131072	9deb1e75	68d9f91bef6a5c9e1bcbf286629aed6b37b4acb9	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941	41e_35.rom	\N	\N	131072	d63942b3	b4bc7d06dcefbc075d316f2d31abbd4c7a99dbae	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941	41e_31.rom	\N	\N	131072	df201112	d84f63bffeb9255cbabc02f23d7511f9b3c6a96c	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941	41e_36.rom	\N	\N	131072	816a818f	3e491a30352b71ddd775142f3a80cdde480b669f	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941	41_32.rom	\N	\N	524288	4e9648ca	d8e67e6e3a6dc79053e4f56cfd83431385ea7611	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941	41_gfx1.rom	\N	\N	524288	ff77985a	7e08df3a829bf9617470a46c79b713d4d9ebacae	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941	41_gfx5.rom	\N	\N	524288	01d1cb11	621e5377d1aaa9f7270d85bea1bdeef6721cdd05	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941	41_gfx3.rom	\N	\N	524288	983be58f	83a4decdd775f859240771269b8af3a5981b244c	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941	41_gfx7.rom	\N	\N	524288	aeaa3509	6124ef06d9dfdd879181856bd49853f1800c3b87	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941	41_09.rom	\N	\N	65536	0f9d8527	3a00dd5772f38081fde11d8d61ba467379e2a636	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941	41_18.rom	\N	\N	131072	d1f15aeb	88089383f2d54fc97026a67f067d448eee5bd0c2	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941	41_19.rom	\N	\N	131072	15aec3a6	8153c03aba005bab62bf0e8b3d15ec1c346326fd	\N	\N	\N	\N	\N	\N	
game	Callus95_v0.42_patch_2.4	1941j	\N	\N	1941	1941	\N	1941 - Counter Attack (Japan)	1990	Capcom	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941j	4136.bin	\N	\N	131072	7fbd42ab	4e52a599e3099bf3cccabb89152c69f216fde79e	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941j	4142.bin	\N	\N	131072	c7781f89	7e99c433de0c903791ae153a3cc8632042b0a90d	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941j	4137.bin	\N	\N	131072	c6464b0b	abef422d891d32334a858d49599f1ef7cf0db45d	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941j	4143.bin	\N	\N	131072	440fc0b5	e725535533c25a2c80a45a2200bbfd0dcda5ed97	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941j	41_32.rom	41_32.rom	\N	524288	4e9648ca	d8e67e6e3a6dc79053e4f56cfd83431385ea7611	\N	\N	\N	\N	\N	\N	
game_rom	Callus95_v0.42_patch_2.4	1941j	41_gfx1.rom	41_gfx1.rom	\N	524288	ff77985a	7e08df3a829bf9617470a46c79b713d4d9ebacae	\N	\N	\N	\N	\N	\N	
