game	RAGE_v0.9	1943	\N	\N	\N	\N	\N	1943 - The Battle of Midway (US)	1987	Capcom	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.01	\N	\N	32768	c686cc5c	5efb2d9df737564d599f71b71a6438f7624b27c3	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.02	\N	\N	65536	d8880a41	2f9b6a3922efa05eed66c63284bace5f337304ac	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.03	\N	\N	65536	3f0ee26c	8da74fe91a6be3f23fc625f2a433f1f79c424994	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.05	\N	\N	32768	ee2bd2d7	4d2d019a9f8452fbbb247e893280568a2e86073e	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.04	\N	\N	32768	46cb9d3d	96fd0e714b91fe13a2ca0d185ada9e4b4baa0c0b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.15	\N	\N	32768	6b1a0443	32337c840ccd6815fd5844c194365c58d708f6dc	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.16	\N	\N	32768	23c908c2	42b83ff5781be9181802a21ff1b23c17ab1bc5a2	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.17	\N	\N	32768	46bcdd07	38feda668be25d1adc04aa36afc73b07c1545f89	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.18	\N	\N	32768	e6ae7ba0	959c306dc28b9be2adc54b3d46312d26764c7b8b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.19	\N	\N	32768	868ababc	1c7be905f53c63bad25fbbd9b3cf82d2c7749bc3	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.20	\N	\N	32768	0917e5d4	62dd277bc1fa54cfe168ae2380bc147bd17f4205	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.21	\N	\N	32768	9bfb0d89	f1bae7ec46edcf46c7af84c054e89b322f8c8972	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.22	\N	\N	32768	04f3c274	932780c04abe285e1ec67b726b145175f73eafe0	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.24	\N	\N	32768	11134036	88da112ab9fc7e0d8f0e901f273715b950ae588c	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.25	\N	\N	32768	092cf9c1	19fe3c714b1d52cbb21dea25cdee5af841f525db	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.06	\N	\N	32768	97acc8af	c9fa07cb61f6905408b355edabfe453fb652ff0d	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.07	\N	\N	32768	d78f7197	6367c7e80e80d4a0d33d7840b5c843c63c80123e	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.08	\N	\N	32768	1a626608	755c27a07728fd686168e9d9e4dee3d8f274892a	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.09	\N	\N	32768	92408400	3ab299bad1ba115efead53ebd92254abe7a092ba	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.10	\N	\N	32768	8438a44a	873629b00cf3f6d8976a7fdafe63cd16e47b7491	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.11	\N	\N	32768	6c69351d	c213d5c3e76a5749bc32539604716dcef6dcb694	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.12	\N	\N	32768	5e7efdb7	fef271a38dc1a9e45a0c6e27e28e713c77c8f8c9	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.13	\N	\N	32768	1143829a	2b3a65e354a205c05a87f783e9938b64bc62396f	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.14	\N	\N	32768	4d3c6401	ce4f6dbf8fa030ad45cbb5afd58df27fed2d4618	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	1943	1943.23	\N	\N	32768	a52aecbd	45b0283d84d394c16c35802463ca95d70d1062d4	\N	\N	\N	\N	\N	\N	
game	RAGE_v0.9	bmaster	\N	\N	\N	\N	\N	Blade Master (World)	1991	Irem	\N	\N	\N	
game_rom	RAGE_v0.9	bmaster	bm_d-h0.rom	\N	\N	262144	49b257c7	cb4917ef6c5f959094f95b8535ea12e6b9b0bcc2	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	bmaster	bm_d-l0.rom	\N	\N	262144	a873523e	9aee134c299e12064842e16db296f4259eccdf5b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	bmaster	bm_d-h1.rom	\N	\N	65536	082b7158	ca2cfcb3ecd1f130d3fb893f08d53521e7d443d4	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	bmaster	bm_d-l1.rom	\N	\N	65536	6ff0c04e	7293a50445053101d22bc596d13e1a7ed67a65c6	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	bmaster	bm_c0.rom	\N	\N	262144	2cc966b8	4d55954813efe975b7e644448effc61b22896e0b	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	bmaster	bm_c1.rom	\N	\N	262144	46df773e	6f075492c06768f7d2315906ec1349fe09def22f	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	bmaster	bm_c2.rom	\N	\N	262144	05b867bd	d44667f3f4908bacb6e10becc431b0f213c20407	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	bmaster	bm_c3.rom	\N	\N	262144	0a2227a4	30499e99f3731993607e04c77637f6bbe641c05c	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	bmaster	bm_000.rom	\N	\N	524288	339fc9f3	36be0f3b5add2ecf3f602933f5456091daaeb1f6	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	bmaster	bm_010.rom	\N	\N	524288	6a14377d	699e5b1984810ee9e504f9ddaec604671c0cb0b7	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	bmaster	bm_020.rom	\N	\N	524288	31532198	7a285e003a7c359f5b1afe4da3b44069f716f7b5	\N	\N	\N	\N	\N	\N	
game_rom	RAGE_v0.9	bmaster	bm_030.rom	\N	\N	524288	d1a041d3	84a8cf5911426ed785cb678395f52da0a9199546	\N	\N	\N	\N	\N	\N	
