game	AAE_Alpha_Build_87	alienst	\N	\N	\N	\N	\N	Aliens (Tempest Prototype)	2001	Atari	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	alienst	aliens_d1.bin	\N	\N	2048	337e21f6	7adadeaa975e22f0b20e8f1fb6ad68b5c3934133	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	alienst	aliens_e1.bin	\N	\N	2048	337e21f6	7adadeaa975e22f0b20e8f1fb6ad68b5c3934133	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	alienst	aliens_f1.bin	\N	\N	2048	4d2aabb0	31106a1fc22d2a19866f07b8d6c6f4bf76007909	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	alienst	aliens_h1.bin	\N	\N	2048	a503f54a	91ebf9f69a183a04a5bf55fcdd9e191523bb66bb	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	alienst	aliens_j1.bin	\N	\N	2048	5487d531	c95f037151b824345af03f27a6c3c7eb8a899b2c	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	alienst	aliens_k1.bin	\N	\N	2048	0ac96e87	37461e84e6f46516c25dbf4ddb2ffd65877445c0	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	alienst	aliens_l1.bin	\N	\N	2048	cd246ac2	de2e6fe2e72c092c3874e797fc302a71dbf57710	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	alienst	aliens_n1.bin	\N	\N	2048	bd98c5f3	268487d9cf46b4b7b49eab7420d078bf676e636c	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	alienst	aliens_n3.bin	\N	\N	2048	5c8fd38b	bb0d6bd062eba53b5d64b3f444d5ce0a34728bf5	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	alienst	aliens_p1.bin	\N	\N	2048	7c10adbd	38579128a90bff4a7a4ae46d6aaa42118b8bc218	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	alienst	aliens_r1.bin	\N	\N	2048	555c3070	032f03af23c7ccac8a2bf50c3c646e141921ffee	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	alienst	aliens_r3.bin	\N	\N	2048	6cabcd08	e3950de50f3dfbc4d4d2f4fe26625d8ef94c0819	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	armora	\N	\N	\N	\N	\N	Armor Attack	1980	Cinematronics	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	armora	ar414le.t6	\N	\N	4096	d7e71f84	0b29278a6a698f07eae597bc0a8650e91eaabffa	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	armora	ar414lo.p6	\N	\N	4096	df1c2370	b74834d1a591a741892ec41269a831d3590ff766	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	armora	ar414ue.u6	\N	\N	4096	b0276118	88f33cb2f46a89819c85f810c7cff812e918391e	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	armora	ar414uo.r6	\N	\N	4096	229d779f	0cbdd83eb224146944049346f30d9c72d3ad5f52	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	astdelu1	\N	\N	\N	\N	\N	Asteroids Deluxe (rev 1)	1980	Atari	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelu1	036430.01	\N	\N	2048	8f5dabc6	5d7543e19acab99ddb63c0ffd60f54d7a0f267f5	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelu1	036431.01	\N	\N	2048	157a8516	9041d8c2369d004f198681e02b59a923fa8f70c9	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelu1	036432.01	\N	\N	2048	fdea913c	ded0138a20d80317d67add5bb2a64e6274e0e409	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelu1	036433.01	\N	\N	2048	ef09bac7	6a4b37dbfe4e6badc4e81036b1430da2e9cb8ca4	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelu1	036799.01	\N	\N	2048	7d511572	1956a12bccb5d3a84ce0c1cc10c6ad7f64e30b40	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelu1	036800.01	\N	\N	2048	3b597407	344fea2e5d84acce365d76daed61e96b9b6b37cc	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	astdelu2	\N	\N	\N	\N	\N	Asteroids Deluxe (rev 2)	1980	Atari	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelu2	036430.01	\N	\N	2048	8f5dabc6	5d7543e19acab99ddb63c0ffd60f54d7a0f267f5	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelu2	036431.01	\N	\N	2048	157a8516	9041d8c2369d004f198681e02b59a923fa8f70c9	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelu2	036432.01	\N	\N	2048	fdea913c	ded0138a20d80317d67add5bb2a64e6274e0e409	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelu2	036433.02	\N	\N	2048	d8db74e3	52b64e867df98d14742eb1817b59931bb7f941d9	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelu2	036799.01	\N	\N	2048	7d511572	1956a12bccb5d3a84ce0c1cc10c6ad7f64e30b40	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelu2	036800.01	\N	\N	2048	3b597407	344fea2e5d84acce365d76daed61e96b9b6b37cc	\N	\N	\N	\N	\N	\N	
game	AAE_Alpha_Build_87	astdelux	\N	\N	\N	\N	\N	Asteroids Deluxe (rev 3)	1980	Atari	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelux	036430.02	\N	\N	2048	a4d7a525	abe262193ec8e1981be36928e9a89a8ac95cd0ad	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelux	036431.02	\N	\N	2048	d4004aae	aa2099b8fc62a79879efeea70ea1e9ed77e3e6f0	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelux	036432.02	\N	\N	2048	6d720c41	198218cd2f43f8b83e4463b1f3a8aa49da5015e4	\N	\N	\N	\N	\N	\N	
game_rom	AAE_Alpha_Build_87	astdelux	036433.03	\N	\N	2048	0dcc0be6	bf10ffb0c4870e777d6b509cbede35db8bb6b0b8	\N	\N	\N	\N	\N	\N	
