game	Shark_v3.1f	flyingshark	\N	\N	\N	\N	\N	Flying Shark	1987	[Toaplan] Taito Corporation	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_01.512	\N	\N	65536	2234b424	bd6242b9dcdb0f582565df588106cd1ce2aad53b	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_02.512	\N	\N	65536	30d4c9a8	96ce4f41207c5487e801a8444030ec4dc7b58b23	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_03.512	\N	\N	65536	64f3d88f	d0155cfb0a8885d58e34141f9696b9aa208440ca	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_04.512	\N	\N	65536	3b23a9fc	2ac34445618e17371b5eed7eb6f43da4dbb99e28	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_05-1.rom	\N	\N	16384	a8b05bd0	37317838ea57cb98cf9599cedf8e72bcae913d29	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_06-1.rom	\N	\N	16384	5e53ae47	55bde4133deebb59a87d9b96c6d0fd7b4bbc0e02	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_07-1.rom	\N	\N	16384	e669f80e	05c1a4ff9adaa6c8035f38a76c5ee333fafba2bf	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_08.rom	\N	\N	32768	ef0cf49c	6fd5727462cd6c5dab4c5d780bd7504e48583894	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_09.rom	\N	\N	32768	230f1582	0fd4156a46ed64cb6e5c59b8836382dd86c229cf	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_10.rom	\N	\N	32768	4bd099ff	9326075f83549b0a9656f69bd4436fb1be2ac805	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_11.rom	\N	\N	32768	f5799422	3f79dd849db787695a587f0db19a6782153b5955	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_12.rom	\N	\N	32768	733b9997	75e874a1d148fcc8fa09bb724ce8346565ace4e5	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_13.rom	\N	\N	32768	62532cd3	df483db7604c0135130f92b08bad3fbffb4f5c47	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_14.rom	\N	\N	32768	f711ba7d	49644a264c09fc2d743e4f801b8b82e980f2def9	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_15.rom	\N	\N	32768	8b70ef32	e1f988d650dce17e3bfbea12e5fddbb671df18d4	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_16.rom	\N	\N	32768	cdd1a153	de9827a959039cf753ecac6756fb1925c37466d8	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_17-1.rom	\N	\N	65536	fd6ef7a8	ddbc05ce694ab4d929f5f621d95800b612bc5f66	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	flyingshark	b02_18-1.rom	\N	\N	65536	04739e02	8a14284adb0f0f33adf9affdec081c90de85d594	\N	\N	\N	\N	\N	\N	
game	Shark_v3.1f	skyshark	\N	\N	\N	\N	\N	Sky Shark	1987	[Toaplan] Taito America Corporation (Romstar license)	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	1	\N	\N	65536	2234b424	bd6242b9dcdb0f582565df588106cd1ce2aad53b	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	2	\N	\N	65536	30d4c9a8	96ce4f41207c5487e801a8444030ec4dc7b58b23	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	3	\N	\N	65536	64f3d88f	d0155cfb0a8885d58e34141f9696b9aa208440ca	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	4	\N	\N	65536	3b23a9fc	2ac34445618e17371b5eed7eb6f43da4dbb99e28	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	5-2	\N	\N	16384	fb7cad55	91815a717511cc97477f08f0fed568247c7fd143	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	6-2	\N	\N	16384	9a29a862	5742f1f5a9c8d644d2a48496466039d18f192929	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	7-2	\N	\N	16384	af48c4e6	07e8bb6cb92f812990112063f87073df9a346ff4	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	8	\N	\N	32768	ef0cf49c	6fd5727462cd6c5dab4c5d780bd7504e48583894	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	9	\N	\N	32768	230f1582	0fd4156a46ed64cb6e5c59b8836382dd86c229cf	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	10	\N	\N	32768	4bd099ff	9326075f83549b0a9656f69bd4436fb1be2ac805	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	11	\N	\N	32768	f5799422	3f79dd849db787695a587f0db19a6782153b5955	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	12	\N	\N	32768	733b9997	75e874a1d148fcc8fa09bb724ce8346565ace4e5	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	13	\N	\N	32768	62532cd3	df483db7604c0135130f92b08bad3fbffb4f5c47	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	14	\N	\N	32768	f711ba7d	49644a264c09fc2d743e4f801b8b82e980f2def9	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	15	\N	\N	32768	8b70ef32	e1f988d650dce17e3bfbea12e5fddbb671df18d4	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	16	\N	\N	32768	cdd1a153	de9827a959039cf753ecac6756fb1925c37466d8	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	17-2	\N	\N	65536	066d67be	a66be35b956da2c2ddf97cae66d79c0efd228621	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	skyshark	18-2	\N	\N	65536	888e90f3	3a40d7e7653cc929af8186e48f272989fb332e14	\N	\N	\N	\N	\N	\N	
game	Shark_v3.1f	hishouzame	\N	\N	\N	\N	\N	Hishou Zame	1987	[Toaplan] Taito Corporation	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-01.rom	\N	\N	65536	2234b424	bd6242b9dcdb0f582565df588106cd1ce2aad53b	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-02.rom	\N	\N	65536	30d4c9a8	96ce4f41207c5487e801a8444030ec4dc7b58b23	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-03.rom	\N	\N	65536	64f3d88f	d0155cfb0a8885d58e34141f9696b9aa208440ca	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-04.rom	\N	\N	65536	3b23a9fc	2ac34445618e17371b5eed7eb6f43da4dbb99e28	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-05.rom	\N	\N	16384	85a7bff6	38cd89aa0800e3796f7ecac657d14119543057c2	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-06.rom	\N	\N	16384	ad5f1371	feae9d7bb75bfab5353be4c5931d78a530bd9bcd	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-07.rom	\N	\N	16384	c13a775e	b60d26126ec6ebc24a7ca87dd0234e4d9d3e78fc	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-08.rom	\N	\N	32768	ef0cf49c	6fd5727462cd6c5dab4c5d780bd7504e48583894	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-09.rom	\N	\N	32768	230f1582	0fd4156a46ed64cb6e5c59b8836382dd86c229cf	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-10.rom	\N	\N	32768	4bd099ff	9326075f83549b0a9656f69bd4436fb1be2ac805	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-11.rom	\N	\N	32768	f5799422	3f79dd849db787695a587f0db19a6782153b5955	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-12.rom	\N	\N	32768	733b9997	75e874a1d148fcc8fa09bb724ce8346565ace4e5	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-13.rom	\N	\N	32768	62532cd3	df483db7604c0135130f92b08bad3fbffb4f5c47	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-14.rom	\N	\N	32768	f711ba7d	49644a264c09fc2d743e4f801b8b82e980f2def9	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-15.rom	\N	\N	32768	8b70ef32	e1f988d650dce17e3bfbea12e5fddbb671df18d4	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-16.rom	\N	\N	32768	cdd1a153	de9827a959039cf753ecac6756fb1925c37466d8	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-17.rom	\N	\N	65536	cdac7228	6b0d67e4b0661a858653d2eabb8936af9148167e	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	hishouzame	b02-18.rom	\N	\N	65536	4444bb94	5ff955a5190d1b356187de105cfb8ea181fc1282	\N	\N	\N	\N	\N	\N	
game	Shark_v3.1f	samesamesame	\N	\N	\N	\N	\N	Same! Same! Same!	1989	Toaplan	\N	\N	\N	
game_rom	Shark_v3.1f	samesamesame	o17_01.bin	\N	\N	131072	ea12e491	02190722b7c5383471e0af9596be7039a5367240	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	samesamesame	o17_02.bin	\N	\N	131072	32a13a9f	1446acdfd21cd41f3d97aaf30f498c0c5d890605	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	samesamesame	o17_03.bin	\N	\N	131072	68723dc9	4f1b7aa2469c955e03737b611a7d2524f1e4f61e	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	samesamesame	o17_04.bin	\N	\N	131072	fe0ecb13	634a49262b9c092c25f11b14c6757fe94ea9eddc	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	samesamesame	o17_05.bin	\N	\N	131072	565315f8	6b1c5ef52359483228b329c89c2e1174e3fbf017	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	samesamesame	o17_06.bin	\N	\N	131072	95262d4c	16f3aabecb1c87ce7eadf4f0ff61b29a4c017614	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	samesamesame	o17_07.bin	\N	\N	131072	4c4b735c	812c3bf46bd7764b2bb812bd2b9eb0331ed257ae	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	samesamesame	o17_08.bin	\N	\N	131072	95c6586c	ff87901f79d80f73ad09664b0c0d892898570616	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	samesamesame	o17_09.bin	\N	\N	32768	3f69e437	f2a40fd42cb5ecb2e514b72e7550aa479a9f9ad6	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	samesamesame	o17_10.bin	\N	\N	32768	4e723e0a	e06394d50addeda1045c02c646964afbc6005a82	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	samesamesame	o17_11.bin	\N	\N	131072	be07d101	1eda14ba24532b565d6ad57490b73ff312f98b53	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	samesamesame	o17_12.bin	\N	\N	131072	ef698811	4c729704eba0bf469599c79009327e4fa5dc540b	\N	\N	\N	\N	\N	\N	
game	Shark_v3.1f	fireshark	\N	\N	\N	\N	\N	Fire Shark	1990	Toaplan	\N	\N	\N	
game_rom	Shark_v3.1f	fireshark	o17_01.bin	\N	\N	131072	ea12e491	02190722b7c5383471e0af9596be7039a5367240	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	fireshark	o17_02.bin	\N	\N	131072	32a13a9f	1446acdfd21cd41f3d97aaf30f498c0c5d890605	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	fireshark	o17_03.bin	\N	\N	131072	68723dc9	4f1b7aa2469c955e03737b611a7d2524f1e4f61e	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	fireshark	o17_04.bin	\N	\N	131072	fe0ecb13	634a49262b9c092c25f11b14c6757fe94ea9eddc	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	fireshark	o17_05.bin	\N	\N	131072	565315f8	6b1c5ef52359483228b329c89c2e1174e3fbf017	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	fireshark	o17_06.bin	\N	\N	131072	95262d4c	16f3aabecb1c87ce7eadf4f0ff61b29a4c017614	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	fireshark	o17_07.bin	\N	\N	131072	4c4b735c	812c3bf46bd7764b2bb812bd2b9eb0331ed257ae	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	fireshark	o17_08.bin	\N	\N	131072	95c6586c	ff87901f79d80f73ad09664b0c0d892898570616	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	fireshark	9.bin	\N	\N	32768	f0c70e6f	037690448786d61aa116b24b638430c577ea78e2	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	fireshark	10.bin	\N	\N	32768	9d253d77	0414d1f475abb9ccfd7daa11c2f400a14f25db09	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	fireshark	11.bin	\N	\N	131072	6beac378	041ba98a89a4bac32575858db8a061bdf7804594	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	fireshark	12.bin	\N	\N	131072	6adb6eb5	9b6e63aa50d271c2bb0b4cf822fc6f3684f10230	\N	\N	\N	\N	\N	\N	
game	Shark_v3.1f	twincobra	\N	\N	\N	\N	\N	Twin Cobra Europe	1987	[Toaplan] Taito Corporation	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc16	\N	\N	65536	07f64d13	864ce0f9369c40c3ae792fc4ab2444a168214749	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc15	\N	\N	32768	3a646618	fc1ed8f3c491f5cf16a17e5ce08c5d8f3ce03683	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc14	\N	\N	65536	41be6978	4784804b738a332c7f24a43bcbb7a1e607365735	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc13	\N	\N	32768	d7d1e317	57b8433b1677a390a7c7e00a1464bb8ed9cbfc73	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc12	\N	\N	32768	e37b3c44	5fed10b29c14e27aee0cd92ecde5c5cb422273b1	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc04	\N	\N	16384	a599d845	732001f2d378d890f148e6b616c287d71fae832a	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc03	\N	\N	16384	e9e2d4b1	e0a19dd46a9ba85d95bba7fbf81d8dc36dbfeabd	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc11	\N	\N	16384	0a254133	17e9cc5e36fb4696012d0f9229fa172034cd843a	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc10	\N	\N	32768	44f5accd	2f9bdebe71c8be195332356df68992fd38d86994	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc09	\N	\N	32768	170c01db	f4c5a1600f6cbb48abbace66c6f7514f79138e8b	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc08	\N	\N	32768	97f20fdc	7cb3cd0637b0db889a3d552fd7c1a916eee5ca27	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc07	\N	\N	32768	b5d48389	a00c5b9c231d3d580fa20c7ad3f8b6fd990e6594	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc06	\N	\N	65536	13daeac8	1cb103f434e2ecf193fa936ca7ea9194064c5b39	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc05	\N	\N	65536	8cc79357	31064df2b796ca85ad3caccf626b684dff1104a1	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc02	\N	\N	65536	d9e2e55d	0409e6df836d1d5198b64b21b42192631aa6d096	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc01	\N	\N	65536	15b3991d	f5e7ed7a7721ed7e6dfd440634160390b7a294e4	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc17	\N	\N	65536	4264bff8	3271b8b23f51346d1928ae01f8b547fed49181e6	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc18	\N	\N	65536	806fb374	3eebefadcbdf713bf2a65b438092746b07edd3f0	\N	\N	\N	\N	\N	\N	
game_rom	Shark_v3.1f	twincobra	tc19	\N	\N	65536	9cb8675e	559c21d505c60401f7368d4ab2b686b15075c5c5	\N	\N	\N	\N	\N	\N	
