game	Modeler_v0.9.3a	ga2	\N	\N	\N	\N	\N	Golden Axe 2 - The Revenge of Death Adder	1992	Sega	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	epr14945	\N	\N	65536	4781d4cb	bd1b774b3cd0c3e0290c55e426f66d6820d21d0f	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	epr14958.b	\N	\N	131072	0be324a3	5e5f457548906453eaa8d326c353b47353eab73d	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	epr14961.b	\N	\N	131072	d9cd8885	dc9d1f01770bd23ba5959e300badbc5093a149bc	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	epr15147.b	\N	\N	262144	1bb676ea	125ffd13204f48be23e20b281c42c2307888c40b	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	epr15148.b	\N	\N	262144	c477a9fd	a9d60f801c12fd067e5ad1801a92c84edd13bd08	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14942	\N	\N	1048576	a89b0e90	e14c62418eb7f9a2deb2a6dcf635bedc1c73c253	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14943	\N	\N	1048576	24d40333	38faf8f3eac317a163e93bd2247fe98189b13d2d	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14944	\N	\N	1048576	fd4d4b86	e14b9cd6004bf9ecd902e37b433b828241361b46	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14947	\N	\N	2097152	b53e62f4	5aa0f198e6eb070b77b0d180d30c0228a9bc691e	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14948	\N	\N	2097152	75050d4a	51d6bc9935abcf30af438e69c2cf4e09f57a803f	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14949	\N	\N	2097152	152c716c	448d16ea036b66e886119c00af543dfa5e53fd84	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14950	\N	\N	2097152	15fd0026	e918984bd60ad63172fe273b31cc9019100228c8	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14951	\N	\N	2097152	fdb1a534	3126b595bf69bf9952fedf8f9c6743eb10489dc6	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14952	\N	\N	2097152	96f96613	4c9808866032dab0401de322c28242e8a8775457	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14953	\N	\N	2097152	33bd1c15	4e16562e3357d4db54b20543073e8f1fd6f74b1f	\N	\N	\N	\N	\N	\N	
game_rom	Modeler_v0.9.3a	ga2	mpr14954	\N	\N	2097152	39b2ac9e	74f4c81d85ab9b4c5e8ae4b4d2c6dff766c482ca	\N	\N	\N	\N	\N	\N	
