game	Nebula_v2.25b	sf2turyu	\N	\N	sf2ce	sf2ce	\N	Street Fighter II' - Champion Edition (Turyu)	1992	hack	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	u222-f83.040	\N	\N	1048576	47468198	d68d6342da9b53163f36f44517f6dadf35e2a279	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	u196-99d.040	\N	\N	1048576	47d34191	6718fdc8a0dafebca7c35553cc270d16ce3f5d3e	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	u221-59e.010	\N	\N	262144	5507bac9	7797ca13cb02db469dcba00a07b1517c3586423e	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	u195-472.010	\N	\N	262144	7755a20a	60ed4009c9c767a375a754c06c124ef81ba45f5a	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_01.bin	s92_01.bin	\N	524288	03b0d852	f370f25c96ad2b94f8c53d6b7139100285a25bef	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_02.bin	s92_02.bin	\N	524288	840289ec	2fb42a242f60ba7e74009b5a90eb26e035ba1e82	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_03.bin	s92_03.bin	\N	524288	cdb5f027	4c7d944fef200fdfcaf57758b901b5511188ed2e	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_04.bin	s92_04.bin	\N	524288	e2799472	27d3796429338d82a8de246a0ea06dd487a87768	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_05.bin	s92_05.bin	\N	524288	ba8a2761	4b696d66c51611e43522bed752654314e76d33b6	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_06.bin	s92_06.bin	\N	524288	e584bfb5	ebdf1f5e2638eed3a65dda82b1ed9151a355f4c9	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_07.bin	s92_07.bin	\N	524288	21e3f87d	4a4961bb68c3a1ce15f9d393d9c03ecb2466cc29	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_08.bin	s92_08.bin	\N	524288	befc47df	520390420da3a0271ba90b0a933e65143265e5cf	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_10.bin	s92_10.bin	\N	524288	960687d5	2868c31121b1c7564e9767b9a19cdbf655c7ed1d	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_11.bin	s92_11.bin	\N	524288	978ecd18	648a59706b93c84b4206a968ecbdc3e834c476f6	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_12.bin	s92_12.bin	\N	524288	d6ec9a0a	ed6143f8737013b6ef1684e37c05e037e7a80dae	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_13.bin	s92_13.bin	\N	524288	ed2c67f6	0083c0ffaf6fe7659ff0cf822be4346cd6e61329	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_09.bin	s92_09.bin	\N	65536	08f6b60e	8258fcaca4ac419312531eec67079b97f471179c	\N	\N	\N	\N	\N	\N	
game_rom	Nebula_v2.25b	sf2turyu	s92_18.bin	s92_18.bin	\N	131072	7f162009	346bf42992b4c36c593e21901e22c87ae4a7d86d	\N	\N	\N	\N	\N	\N	
