game	Viva_Nonno_v22.0.3	rr1	\N	\N	\N	\N	\N	Ridge Racer (Japan-A)	1993	Namco	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1prg-ll.bin	\N	\N	524288	4bb7fc86	8291375b8ec4d37e0d9e3bf38da2d5907b0f31bd	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1prg-lm.bin	\N	\N	524288	68e13830	ddc447c7afbb5c4238969d7e78bfe9cf8fac6061	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1prg-um.bin	\N	\N	524288	705ef78a	881903413e66d6fd83d46eb18c4e1230531832ae	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1prg-uu.bin	\N	\N	524288	c1371f96	a78e0bf6c147c034487a85efa0a8470f4e8f4bf0	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1ccrh.bin	\N	\N	524288	dd332fd5	a7d9c1d6b5a8e3a937b525c1363880e404dcd147	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1ccrl.bin	\N	\N	2097152	6092d181	52c0e3ac20aa23059a87d1a985d24ae641577310	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1cg0.bin	\N	\N	2097152	b557a795	f345486ffbe797246ad80a55d3c4a332ed6e2888	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1cg1.bin	\N	\N	2097152	0fa212d9	a1311de0a504e2d399044fa8ac32ec6c56ec965f	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1cg2.bin	\N	\N	2097152	18e2d2bd	69c2ea62eeb255f27d3c69373f6716b0a34683cc	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1cg3.bin	\N	\N	2097152	9564488b	6b27d1aea75d6be747c62e165cfa49ecc5d9e767	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1data.bin	\N	\N	524288	18f5f748	e0d149a66de36156edd9b55f604c9a9801aaefa8	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1pot-l0.bin	\N	\N	524288	3ac193e3	ff213766f15e34dc1b25187b57d94e17930090a3	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1pot-l1.bin	\N	\N	524288	ac3ffba5	4eb4dda5faeff237e0d35725b56d309948fba900	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1pot-m0.bin	\N	\N	524288	42a3fa08	15db0ae7ccf7f5a77b9dd9a9d82a488b67f8aaff	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1pot-m1.bin	\N	\N	524288	1bc1ea7b	52c21eef4989c45acc5fa4deda2d0b63214731c8	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1pot-u0.bin	\N	\N	524288	5e367f72	5887f011379dce865fef238b402678a3d2033de9	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1pot-u1.bin	\N	\N	524288	31d92475	51d3c0baa223e1bc16ea2950f2e085597528f870	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1wave-0.bin	\N	\N	1048576	a8e85bde	b56677e9f6c98f7b600043f5dcfef3a482ca7455	\N	\N	\N	\N	\N	\N	
game_rom	Viva_Nonno_v22.0.3	rr1	rr1wave-1.bin	\N	\N	1048576	35f47c8e	7c3f9e942f532af8008fbead2a96fee6084bcde6	\N	\N	\N	\N	\N	\N	
