game	Virtua	vf2a	\N	\N	\N	\N	\N	Virtua Fighter 2	1994	Sega	\N	\N	\N	
game_rom	Virtua	vf2a	17568.epr	\N	\N	131072	cf5d53d1	4ed907bbfc1a47e51c9cc11f55645752574adaef	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	17569.epr	\N	\N	131072	0fb32808	95efb3eeaf95fb5f79ddae4ef20e2211b07f8d30	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	17562.epr	\N	\N	131072	b893bcef	2f862a7099aa757ee1f2ad8245eb4f8f4fdfb7bc	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	17563.epr	\N	\N	131072	3b55f5a8	b1ca3d4d3568c1652dcd8e546ffff23a4a21a699	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17560	\N	\N	2097152	d1389864	88e9a8b6b0f58c96957015179e7ff10f837040e6	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17561	\N	\N	2097152	b98d0101	e154877380b9250d8119dd4c14ba306c7b337dcd	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17558	\N	\N	2097152	4b15f5a6	9a34724958fef9b49eae39c6ea136e0cf532154b	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17559	\N	\N	2097152	d3264de6	2f094ff0b95bf1cd5c283414634ea9597204d374	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17566	\N	\N	2097152	fb41ef98	ad4d1ba5e5b39b2d87105ae80750284867aa4ed3	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17567	\N	\N	2097152	c3396922	7e0700ded530e4eb58e9a68cdb92791284c91431	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17564	\N	\N	2097152	d8062489	57666b6937f79bb65c43ed02b04a454882d01e61	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17565	\N	\N	2097152	0517c6e9	d9ba93998286713758385033119416714674c8d8	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17552	\N	\N	2097152	e91e7427	0ac1111f2ecb4f924b5119eaaac8fa7bc87ab9d1	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17553	\N	\N	2097152	5da1c5d3	c627b25a1f61a9fe9182e2199f70f6e485503c7b	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17546	\N	\N	2097152	042a194b	c6d8524dc0a879394f1234b7bb04836081bb3830	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17547	\N	\N	2097152	be940431	5c1196a6454a4fead79a930979f2e69639ec2bb9	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17554	\N	\N	2097152	27896d82	c0624e58de2e427465daaa10dbb02ea2a1fd0f1b	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17548	\N	\N	2097152	c95facc2	09d19abe5d75a335df7510df8abb2d4425159cdf	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17555	\N	\N	2097152	4df2810b	720c4628d7783f0323b5723b441e13741556241e	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17549	\N	\N	2097152	e0bce0e6	0570604dc2007288795a3125ffd480bc4b3b0802	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17556	\N	\N	2097152	41a47616	55b909d2bc2079d0dfed5036c78c9e09bce09843	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17550	\N	\N	2097152	c36ff3f5	f14fdf275905a90a0d4cc534d90b0302f26676d8	\N	\N	\N	\N	\N	\N	
game_rom	Virtua	vf2a	mpr17574	\N	\N	524288	4d4c3a55	b6c0c3f0473bd7fc3ef4f5146110dfcc899a5af9	\N	\N	\N	\N	\N	\N	
