game	M-ulator_v0.14	galaga	\N	\N	\N	\N	\N	Galaga (Midway)	1981	[Namco] (Midway license)	\N	\N	\N	
game_rom	M-ulator_v0.14	galaga	3200a.bin	\N	\N	4096	3ef0b053	0c04a362b737998c0952a753fb3fd8c8a17e9b46	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaga	3300b.bin	\N	\N	4096	1b280831	f7ea12e61929717ebe43a4198a97f109845a2c62	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaga	3400c.bin	\N	\N	4096	16233d33	a7eb799be5e23058754a92b15e6527bfbb47a354	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaga	3500d.bin	\N	\N	4096	0aaf5c23	3f4b0bb960bf002261e9c1278c88f594c6aa8ab6	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaga	3600e.bin	\N	\N	4096	bc556e76	0d3d68243c4571d985b4d8f7e0ea9f6fcffa2116	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaga	3700g.bin	\N	\N	4096	b07f0aa4	7528644a8480d0be2d0d37069515ed319e94778f	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaga	2600j_4l.bin	\N	\N	4096	58b2f47c	62f1279a784ab2f8218c4137c7accda00e6a3490	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaga	2800l_4d.bin	\N	\N	4096	ad447c80	e697c180178cabd1d32483c5d8889a40633f7857	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaga	2700k.bin	\N	\N	4096	dd6f1afc	c340ed8c25e0979629a9a1730edc762bd72d0cff	\N	\N	\N	\N	\N	\N	
game	M-ulator_v0.14	galaganm	\N	\N	\N	\N	\N	Galaga (Namco)	1981	Namco	\N	\N	\N	
game_rom	M-ulator_v0.14	galaganm	04m_g01.bin	\N	\N	4096	a3a0f743	6907773db7c002ecde5e41853603d53387c5c7cd	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaganm	04k_g02.bin	\N	\N	4096	43bb0d5c	666975aed5ce84f09794c54b550d64d95ab311f0	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaganm	04j_g03.bin	\N	\N	4096	753ce503	481f443aea3ed3504ec2f3a6bfcf3cd47e2f8f81	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaganm	04h_g04.bin	\N	\N	4096	83874442	366cb0dbd31b787e64f88d182108b670d03b393e	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaganm	04e_g05.bin	\N	\N	4096	3102fccd	d29b68d6aab3217fa2106b3507b9273ff3f927bf	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaganm	04d_g06.bin	\N	\N	4096	8995088d	d6cb439de0718826d1a0363c9d77de8740b18ecf	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaganm	07m_g08.bin	\N	\N	4096	58b2f47c	62f1279a784ab2f8218c4137c7accda00e6a3490	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaganm	07e_g10.bin	\N	\N	4096	ad447c80	e697c180178cabd1d32483c5d8889a40633f7857	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galaganm	07h_g09.bin	\N	\N	4096	dd6f1afc	c340ed8c25e0979629a9a1730edc762bd72d0cff	\N	\N	\N	\N	\N	\N	
game	M-ulator_v0.14	galagabl	\N	\N	\N	\N	\N	Galaga (bootleg)	1981	bootleg	\N	\N	\N	
game_rom	M-ulator_v0.14	galagabl	galagabl.1_1	\N	\N	4096	ab036c9f	ca7f5da42d4e76fd89bb0b35198a23c01462fbfe	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galagabl	galagabl.1_2	\N	\N	4096	d9232240	ab202aa259c3d332ef13dfb8fc8580ce2a5a253d	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galagabl	galagabl.1_3	\N	\N	4096	753ce503	481f443aea3ed3504ec2f3a6bfcf3cd47e2f8f81	\N	\N	\N	\N	\N	\N	
game_rom	M-ulator_v0.14	galagabl	galagabl.1_4	\N	\N	4096	499fcc76	ddb8b121903646c320939c7d13f4aa4ebb130378	\N	\N	\N	\N	\N	\N	
