game	ACE_v1.9	3wonders	\N	\N	\N	\N	\N	Three Wonders (World)	1991	Capcom	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	rte.30a	\N	\N	131072	ef5b8b33	2313168e5f10505ceece5fdaada0d30df3ca146c	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	rte.35a	\N	\N	131072	7d705529	b456629b5755b701cca8a438d24957367a260ec5	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	rte.31a	\N	\N	131072	32835e5e	9ec530561030a75a1283ff2aacc21e55613b682b	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	rte.36a	\N	\N	131072	7637975f	56935032eebd3e1c5059f6842b97001dae0aa55f	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.28	\N	\N	131072	054137c8	e4c406e0a32198323a5931093fbaa6836510b8ad	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.33	\N	\N	131072	7264cb1b	b367acb9f6579569321ecaa98a14e29dd775b9db	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	rte.29a	\N	\N	131072	cddaa919	0c98e95ad5033d2c5ade7651243e7ccdb4e35463	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	rte.34a	\N	\N	131072	ed52e7e5	352433ae484967d26376141e3a8a0f968b98fde6	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.05	\N	\N	524288	86aef804	723927ef3bf992d12395c52db051ece7bf57d5e5	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.07	\N	\N	524288	4f057110	b7d35c883a74cf4bfb242d9f15a0e40ed1ec111f	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.01	\N	\N	524288	902489d0	748ba416a8b9343059a3e7d8b93f02162feb1d0b	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.03	\N	\N	524288	e35ce720	6c1a87a1f819bdc20408b5a7823cf35a79d34110	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.06	\N	\N	524288	13cb0e7c	e429d594d9a7ff4cc6306e2796a9d6ad0fa25569	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.08	\N	\N	524288	1f055014	d64f5be9bb2ef761ca9b2e797dbc3554cf996a79	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.02	\N	\N	524288	e9a034f4	deb4cb5886705380b57d4fe9b9bf3c032e1d6227	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.04	\N	\N	524288	df0eea8b	5afa05654cccb0504bd44569d42fd68f08fd172f	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.09	\N	\N	65536	abfca165	428069d3bdc45775854cd0e8abe447f134fe5492	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.18	\N	\N	131072	26b211ab	0ea03fdd9edff41eacfc52aa9e0421c10968356b	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	3wonders	3wonders.19	\N	\N	131072	dbe64ad0	09f2ad522fe75d7bcca094b8c6696c3733b539d5	\N	\N	\N	\N	\N	\N	
game	ACE_v1.9	armwar	\N	\N	\N	\N	\N	Armored Warriors (Euro 941011)	1994	Capcom	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwge.03b	\N	\N	524288	e822e3e9	dcd153bb70f6c2baffa2f3687def30d85fca44ba	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwge.04b	\N	\N	524288	4f89de39	1e54ed70a6ed9330ec83fb189f76e9417c6dfc13	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwge.05a	\N	\N	524288	83df24e5	39801452769569c3271b26c6be8d3ce5e72b0629	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.06	\N	\N	524288	87a60ce8	e2085c7c8c6792d055dbbb023c7f4e4aa38ae924	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.07	\N	\N	524288	f7b148df	f369669713cf647222094c570a2eacd48a8637cf	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.08	\N	\N	524288	cc62823e	edaf9bebdfc65ae5414090abd6844176eec39a00	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.09	\N	\N	524288	ddc85ca6	e794c679531632e2142c6a5e3b858494389ce65e	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.10	\N	\N	524288	07c4fb28	58a1ff3d105be7df833dd4f32973766649efcbcf	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwgex.03b	\N	\N	524288	741fc2b0	9bcaf48a753ca9c5a6a06485782c3d185aba3cef	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwgex.04b	\N	\N	524288	5bb96a5d	3ac1bc6dec365cccdabb3edb365ff1ac52255aa9	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.13	\N	\N	4194304	ae8fe08e	b6f09663dcda69b5d7ac13e4afaf1efd692fb61e	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.15	\N	\N	4194304	db560f58	0c3716b32eb24544ff5d16b5dcadce195cd10d00	\N	\N	\N	\N	\N	\N	
game_rom	ACE_v1.9	armwar	pwg.17	\N	\N	4194304	bc475b94	a157664450895a146a532581dd6f4b63dff21c86	\N	\N	\N	\N	\N	\N	
