game	Sega_System_24_Emulator_20030208	hotrod4p	\N	\N	\N	\N	\N	Hot Rod 4P	1988	Sega	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	hotrod4p	epr11338.bin	\N	\N	131072	7d4a7ff3	3d3af04d990d232ba0a8fe155de59bc632a0a461	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	hotrod4p	epr11339.bin	\N	\N	131072	75130e73	e079739f4a3da3807aac570442c5afef1a7d7b0e	\N	\N	\N	\N	\N	\N	
game	Sega_System_24_Emulator_20030208	mmj	\N	\N	\N	\N	\N	Tokoro San no MahMahjan	1992	Sega	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	mmj	epr14812.bin	\N	\N	131072	5a3cb4a7	c0f21282140e8e6e927664f5f2b90525ae0207e9	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	mmj	epr14813.bin	\N	\N	131072	ea38cf4b	118ab2e0ae20a4db5e619945dfbb3f200de3979c	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	mmj	mpr14819.bin	\N	\N	524288	e84c4827	54741295e1bdca7d0c78eb795a68b92212d43b2e	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	mmj	mpr14820.bin	\N	\N	524288	8d2a03d3	b3339bcd101bcfe042e2a1cfdc8baef0a86624df	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	mmj	mpr14821.bin	\N	\N	524288	bd8dc543	fd50b14fa73307a62dc0b522cfedb8b3332c407e	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	mmj	mpr14822.bin	\N	\N	524288	7c3dcc51	a199c2c71cda44a2c8755074c1007d83c8d45d2d	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	mmj	mpr14823.bin	\N	\N	524288	4c8d4550	be8717d4080ce932fc8272ebe54e2b0a60b20edd	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	mmj	mpr14824.bin	\N	\N	524288	38311933	237d9a8ffe14ba9ec371bb571d7c9e74a93fe1f3	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	mmj	mpr14825.bin	\N	\N	524288	191080a1	407c1c5fa4c76732e8a444860094542e90a1e8e8	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	mmj	mpr14826.bin	\N	\N	524288	c31b8805	b446388c83af2e14300b0c4248470d3a8c504f2c	\N	\N	\N	\N	\N	\N	
game	Sega_System_24_Emulator_20030208	qgh	\N	\N	\N	\N	\N	Quiz Ghost Hunter	1994	Sega	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	qgh	16899b	\N	\N	131072	397b3ba9	1773212cd87dcff840f3953ec368be7e2394faf0	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	qgh	16900b	\N	\N	131072	20d7b7d1	345b228c27e5f2fef9a2b8b5f619c59450a070f8	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	qgh	16901a	\N	\N	524288	ab4bcb33	8acd73096eb485c6dc83da6adfcc47d5d0f5b7f3	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	qgh	16902a	\N	\N	524288	d35b7706	341bca0af6b6d3f326328a88cdc69c7897b83a0d	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	qgh	16903	\N	\N	524288	c19f9e46	f1275674a8b44957428d79402f240ca21a34f48d	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	qgh	16904	\N	\N	524288	10987c88	66f893690565aed613427421958ebe225a20ad0f	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	qgh	16905	\N	\N	524288	3922bbe3	4378ca900f96138b5e33265ddac56af7b45afbc8	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	qgh	16906	\N	\N	524288	99c6773e	568570b607d2cbbedb39ceae5bbc479478fae4ca	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	qgh	16907	\N	\N	524288	734b0a82	d3fb31c55e79b99040beb7c49faaf2e17b95aa87	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	qgh	16908	\N	\N	524288	407ec20f	c8a909d8e9ba024a37a5af6b7920fe7023f80d49	\N	\N	\N	\N	\N	\N	
game	Sega_System_24_Emulator_20030208	quizunk	\N	\N	\N	\N	\N	Quiz Unknown	199?	Sega	\N	\N	\N	
game_rom	Sega_System_24_Emulator_20030208	quizunk	14482	\N	\N	524288	7a13dd97	bfe9950d2cd41f3f866520923c1ed7b8da1990ec	\N	\N	\N	\N	\N	\N	
