game	Tickle_Rebound_Edition	amidars	\N	\N	\N	\N	\N	Amidar (Scramble hardware)	1982	Konami	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	am2d	\N	\N	2048	24b79547	eca735c6a35561a9a6ba8a20dca1e1c78ed073fc	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	am2e	\N	\N	2048	4c64161e	5b2e49ff915295617671b13f15b566046a5dbc15	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	am2f	\N	\N	2048	b3987a72	1d72e9ae3005029628c6f9beb6ca65afcb1f7893	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	am2h	\N	\N	2048	29873461	7d0ee9a82f02163b4cc6a7097e88ae34e96ebf58	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	am2j	\N	\N	2048	0fdd54d8	c32fdc8e292d91159e6c80c7033abea6404a4f2c	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	am2l	\N	\N	2048	5382f7ed	425ec2c2caf404fc8ab13ee38d6567413022e1a1	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	am2m	\N	\N	2048	1d7109e9	e0d24475547bbe5a94b45be6abefb84ad84d2534	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	am2p	\N	\N	2048	c9163ac6	46d757180426b71c827d14a35824a248f2c787b6	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	amidarus.5c	\N	\N	4096	8ca7b750	4f4c2915503b85abe141d717fd254ee10c9da99e	\N	cpu2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	amidarus.5d	\N	\N	4096	9b5bdc0a	84d953618c8bf510d23b42232a856ac55f1baff5	\N	cpu2	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	2716.a6	\N	\N	2048	2082ad0a	c6014d9575e92adf09b0961c2158a779ebe940c4	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	2716.a5	\N	\N	2048	3029f94f	3b432b42e79f8b0a7d65e197f373a04e3c92ff20	\N	gfx1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	amidars	amidar.clr	\N	\N	32	f940dcc3	1015e56f37c244a850a8f4bf0e36668f047fd46d	\N	proms	\N	\N	\N	\N	
game	Tickle_Rebound_Edition	atlantis	\N	\N	\N	\N	\N	Battle of Atlantis (set 1)	1981	Comsoft	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	atlantis	2c	\N	\N	2048	0e485b9a	976f1d6f4552fbee134359a776b5688588824cbb	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	atlantis	2e	\N	\N	2048	c1640513	a0dfb34f401330b16e9e4d66ec4b49d120499606	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	atlantis	2f	\N	\N	2048	eec265ee	29b6cf6b93220414eb58cddeba591dc8813c4935	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	atlantis	2h	\N	\N	2048	a5d2e442	e535d1a501ebd861ad62da70b87215fb7c23de1d	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	atlantis	2j	\N	\N	2048	45f7cf34	d1e0e0be6dec377b684625bdfdc5a3a8af847492	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	atlantis	2l	\N	\N	2048	f335b96b	17daa6d9bc916081f3c6cbdfe5b4960177dc7c9b	\N	cpu1	\N	\N	\N	\N	
game_rom	Tickle_Rebound_Edition	atlantis	5c	\N	\N	2048	bcd297f0	8ed78487d76fd0a917ab7b258937a46e2cd9800c	\N	cpu2	\N	\N	\N	\N	
