game	DSP_v0.9	pacman	\N	\N	\N	\N	\N	Pac-Man (Midway)	1980	[Namco] (Midway license)	\N	\N	\N	
game_rom	DSP_v0.9	pacman	pacman.6e	\N	\N	4096	c1e6ab10	e87e059c5be45753f7e9f33dff851f16d6751181	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	pacman	pacman.6f	\N	\N	4096	1a6fb2d4	674d3a7f00d8be5e38b1fdc208ebef5a92d38329	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	pacman	pacman.6h	\N	\N	4096	bcdd1beb	8e47e8c2c4d6117d174cdac150392042d3e0a881	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	pacman	pacman.6j	\N	\N	4096	817d94e3	d4a70d56bb01d27d094d73db8667ffb00ca69cb9	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	pacman	pacman.5e	\N	\N	4096	0c944964	06ef227747a440831c9a3a613b76693d52a2f0a9	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	pacman	pacman.5f	\N	\N	4096	958fedf9	4a937ac02216ea8c96477d4a15522070507fb599	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	pacman	82s123.7f	\N	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	pacman	82s126.4a	\N	\N	256	3eb3a8e4	19097b5f60d1030f8b82d9f1d3a241f93e5c75d6	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	pacman	82s126.1m	\N	\N	256	a9cc86bf	bbcec0570aeceb582ff8238a4bc8546a23430081	\N	\N	\N	\N	\N	\N	
game	DSP_v0.9	frogger	\N	\N	\N	\N	\N	Frogger	1981	Konami	\N	\N	\N	
game_rom	DSP_v0.9	frogger	frogger.26	\N	\N	4096	597696d6	e7e021776cad00f095a1ebbef407b7c0a8f5d835	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	frogger	frogger.27	\N	\N	4096	b6e6fcc3	5e8692f2b0c7f4b3642b3ee6670e1c3b20029cdc	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	frogger	frsm3.7	\N	\N	4096	aca22ae0	5a99060ea2506a3ac7d61ca5876ce5cb3e493565	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	frogger	frogger.608	\N	\N	2048	e8ab0256	f090afcfacf5f13cdfa0dfda8e3feb868c6ce8bc	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	frogger	frogger.609	\N	\N	2048	7380a48f	75582a94b696062cbdb66a4c5cf0bc0bb94f81ee	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	frogger	frogger.610	\N	\N	2048	31d7eb27	2e1d34ae4da385fd7cac94707d25eeddf4604e1a	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	frogger	frogger.607	\N	\N	2048	05f7d883	78831fd287da18928651a8adb7e578d291493eff	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	frogger	frogger.606	\N	\N	2048	f524ee30	dd768967add61467baa08d5929001f157d6cd911	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	frogger	pr-91.6l	\N	\N	32	413703bf	66648b2b28d3dcbda5bdb2605d1977428939dd3c	\N	\N	\N	\N	\N	\N	
game	DSP_v0.9	terracre	\N	\N	\N	\N	\N	Terra Cresta (YM2203)	1985	Nichibutsu	\N	\N	\N	
game_rom	DSP_v0.9	terracre	1a_4b.rom	\N	\N	16384	76f17479	e6be7f78fe7dc9d66feb3ada6ad08d461c66640d	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	1a_4d.rom	\N	\N	16384	8119f06e	314e2d8e75f66862cf6567ac05f417a3a66f1254	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	1a_6b.rom	\N	\N	16384	ba4b5822	0de3ce04e14aa5757936babdec9cd1341d4a06d6	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	1a_6d.rom	\N	\N	16384	ca4852f6	12e968efb890ff4f982c2e04e090ac4339a97fc0	\N	\N	\N	\N	\N	\N	
game_rom	DSP_v0.9	terracre	1a_7b.rom	\N	\N	16384	d0771bba	ebbc24562d677488a536cb515d761f07cd50425c	\N	\N	\N	\N	\N	\N	
