game	Retrocade_v1.2_b2	1942	\N	\N	\N	\N	\N	1942	1984	Capcom	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	03k_sb-8.bin	\N	\N	256	f6fad943	b0a24ea7805272e8ebf72a99b08907bc00d5f82f	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	06d_sb-4.bin	\N	\N	256	4858968d	20b5dbcaa1a4081b3139e7e2332d8fe3c9e55ed6	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	08e_sb-5.bin	\N	\N	256	93ab8153	a792f24e5c0c3c4a6b436102e7a98199f878ece1	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	09e_sb-6.bin	\N	\N	256	8ab44f7d	f74680a6a987d74b3acb32e6396f20e127874149	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	10e_sb-7.bin	\N	\N	256	f4ade9a4	62ad31d31d183cce213b03168daa035083b2f28e	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	f01_sb-0.bin	\N	\N	256	6047d91b	1ce025f9524c1033e48c5294ee7d360f8bfebe8d	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	1-c11.bin	\N	\N	16384	bd87f06b	821f85cf157f81117eeaba0c3cf0337eac357e58	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	1-f2.bin	\N	\N	8192	6ebca191	0dbddadde54a0ab66994c4a8726be05c6ca88a0e	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	1-n3.bin	\N	\N	16384	612975f2	f3744335862dd4c53925cc32792badd4a378c837	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	1-n4.bin	\N	\N	16384	a60ac644	f37862db3cf5e6cc9ab3276f3bc45fd629fd70dd	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	1-n5.bin	\N	\N	16384	835f7b24	24b66827f08c43fbf5b9517d638acdfc38e1b1e7	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	1-n6.bin	\N	\N	8192	821c6481	06becb6bf8b4bde3a458098498eecad566a87711	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	1-n7.bin	\N	\N	16384	5df525e1	70cd2910e2945db76bd6ebfa0ff09a5efadc2d0b	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	2-a1.bin	\N	\N	8192	3884d9eb	5cbd9215fa5ba5a61208b383700adc4428521aed	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	2-a2.bin	\N	\N	8192	999cf6e0	5b8b685038ec98b781908b92eb7fb9506db68544	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	2-a3.bin	\N	\N	8192	8edb273a	85fdd4c690ed31e6396e3c16aa02140ee7ea2d61	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	2-a4.bin	\N	\N	8192	3a2726c3	187c92ef591febdcbd1d42ab850e0cbb62c00873	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	2-a5.bin	\N	\N	8192	1bd3d8bb	ef4dce605eb4dc8035985a415315ec61c21419c6	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	2-a6.bin	\N	\N	8192	658f02c4	f087d69e49e38cf3107350cde18fcf85a8fa04f0	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	2-l1.bin	\N	\N	16384	2528bec6	29f7719f18faad6bd1ec6735cc24e69168361470	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	2-l2.bin	\N	\N	16384	f89287aa	136fff6d2a4f48a488fc7c620213761459c3ada0	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	2-n1.bin	\N	\N	16384	024418f8	145b8d5d6c8654cd090955a98f6dd8c8dbafe7c1	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	1942	2-n2.bin	\N	\N	16384	e2c7e489	d4b5d575c021f58f6966df189df94e08c5b3621c	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	amidars	\N	\N	\N	\N	\N	Amidar (Scramble HW)	1982	Konami	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	amidars	am2d	\N	\N	2048	24b79547	eca735c6a35561a9a6ba8a20dca1e1c78ed073fc	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	amidars	am2e	\N	\N	2048	4c64161e	5b2e49ff915295617671b13f15b566046a5dbc15	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	amidars	am2f	\N	\N	2048	b3987a72	1d72e9ae3005029628c6f9beb6ca65afcb1f7893	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	amidars	am2h	\N	\N	2048	29873461	7d0ee9a82f02163b4cc6a7097e88ae34e96ebf58	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	amidars	am2j	\N	\N	2048	0fdd54d8	c32fdc8e292d91159e6c80c7033abea6404a4f2c	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	amidars	am2l	\N	\N	2048	5382f7ed	425ec2c2caf404fc8ab13ee38d6567413022e1a1	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	amidars	am2m	\N	\N	2048	1d7109e9	e0d24475547bbe5a94b45be6abefb84ad84d2534	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	amidars	am2p	\N	\N	2048	c9163ac6	46d757180426b71c827d14a35824a248f2c787b6	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	amidars	am5c	\N	\N	4096	8ca7b750	4f4c2915503b85abe141d717fd254ee10c9da99e	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	amidars	am5d	\N	\N	4096	9b5bdc0a	84d953618c8bf510d23b42232a856ac55f1baff5	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	amidars	am5f	\N	\N	2048	2082ad0a	c6014d9575e92adf09b0961c2158a779ebe940c4	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	amidars	am5h	\N	\N	2048	3029f94f	3b432b42e79f8b0a7d65e197f373a04e3c92ff20	\N	\N	\N	\N	\N	\N	
game	Retrocade_v1.2_b2	arch-riv	\N	\N	\N	\N	\N	Arch Rivals	1989	Bally Midway	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	10j-rev1	\N	\N	131072	eb3d0344	9db7c7bca45f56550c9a9623f96565901968d0c3	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	11d-rev1	\N	\N	65536	7eb3d7c6	8544d04929cdb36fa7f0dcb67e0b7fd8c7b0fc2b	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	12d-rev1	\N	\N	65536	31e68050	e25871beb08a8706af70d277fa7305a1f4d7d3e2	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	2b-rev2	\N	\N	65536	fa977050	67c66995da755401162f7e668b97eb42ac769ec0	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	2c-rev2	\N	\N	65536	cc2893f7	44931299cb98e27ac2f11b3922da76895fbfe0a7	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	3b-rev2	\N	\N	65536	e0c07a8d	ace5b480d4c2cd3d78dff0e284cf13a8d28c40b7	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	3c-rev2	\N	\N	65536	60d4b760	9c24c72f62310475b0dade85299cb661904f8f41	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	7j-rev1	\N	\N	131072	148ce28c	d7dc59d9ae8dc61ecc58a6172fd40aa3926b1f6f	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	8j-rev1	\N	\N	131072	58187ac2	0bd58598720c41b3c393d47b3b1d6b30696b3a6f	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	9j-rev1	\N	\N	131072	0dd1204e	bdc9b74e7ae8f071d2eb3ce957eec484f02ef876	\N	\N	\N	\N	\N	\N	
game_rom	Retrocade_v1.2_b2	arch-riv	u19.snd	\N	\N	32768	c4b3dc23	87e6eaec82d749ad28e0fa3d0efecd8a4aaf5cd7	\N	\N	\N	\N	\N	\N	
