game	NeoRAGEx_v0.6b	2020bb	\N	\N	\N	neogeo	\N	2020 Super Baseball (set 1)	1991	SNK / Pallas	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	ng-sfix.rom	ng-sfix.rom	\N	131072	354029fc	4ae4bf23b4c2acff875775d4cbff5583893ce2a1	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	neo-geo.rom	neo-geo.rom	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001a.038	\N	\N	524288	efb016a2	6bac3f89124e9af5c04e7e5b110e467a4ed85771	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001a.378	\N	\N	131072	7015b8fc	8c09bc3e6c62e0f7c9557c1e10c901be325bae7f	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001a.4f8	\N	\N	131072	4cf466ec	6a003b53c7a4af9d7529e2c10f27ffc4e58dcda5	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001a.538	\N	\N	524288	746bf48a	93006169cb4e26bf72372c5354e60f814f39df3a	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001a.53c	\N	\N	524288	57bdcec0	6a0cfc50386dff079be93a9ee96722ea1b3df9fc	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001b.538	\N	\N	524288	0b054a38	4a917b0dcbe4b270eadc4b99532d6912b3d3117f	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001a.638	\N	\N	524288	5c123d9c	98ce390641ad11823db5de779e01bf06c2eabb8a	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001a.63c	\N	\N	524288	2f4bb615	5cfda589291579edbabfc84894e1b9a8875588f2	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001a.1f8	\N	\N	524288	33e7886e	78bd48fea1e2b1595661c8b957fe489c11e50b92	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001b.638	\N	\N	524288	b2a86447	d7048c283853cbe52ef6733aed1f9a3bf22d70ec	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001a.1fc	\N	\N	524288	e7ca3882	40fb282ad0560d5933badd03da927d395d2a70b5	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001b.1f8	\N	\N	524288	3cf9a433	3065079247f1f4a44452a9bb84c9a969fbd3773b	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	2020bb	n046001b.1fc	\N	\N	524288	88b10192	ef486cc57a9cba6c4382b9fd8839e3beb57e916d	\N	\N	\N	\N	\N	\N	
game	NeoRAGEx_v0.6b	3countb	\N	\N	\N	neogeo	\N	3 Count Bout / Fire Suplex	1993	SNK	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	ng-sfix.rom	ng-sfix.rom	\N	131072	354029fc	4ae4bf23b4c2acff875775d4cbff5583893ce2a1	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	neo-geo.rom	neo-geo.rom	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001a.038	\N	\N	524288	10dbe66a	b3a50100f0d41f2cc9ad92687aaba52340b6d67d	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001a.03c	\N	\N	524288	6d5bfb61	8ba73917d8c29a5400fcc3b58e0cbbd100dd3182	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001a.1f8	\N	\N	524288	2abe6ab0	9d717d52889c9af76fc6790a0e97c54eabd3b931	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001a.1fc	\N	\N	524288	d3fa2743	9f065d708cad0b98e7b7b4c4e96a2a4f8da76e7e	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001a.378	\N	\N	131072	c362d484	a3c029292572842feabe9aa8c3372628fb63978d	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001a.4f8	\N	\N	131072	3377cda3	5712cd0717585914120ebf307391e1e3171f5396	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001a.538	\N	\N	524288	be0d2fe0	6c59673b5b7c362596374f45b0fc739e5608d4d2	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001a.53c	\N	\N	524288	fdb4df65	ac59c3aaa5f794a21942015a41c3daa6a94d564c	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001a.638	\N	\N	524288	f56dafa5	2b9b1a1ed0a00b1bf3c7e490ac0995836c263dba	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001a.63c	\N	\N	524288	f2f68b2a	3cd321ee4699be888a4c380a3202a2c4932cc240	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001b.1f8	\N	\N	524288	f591b0a1	68bcac77543eca84232f1628a32828cc9c4081bb	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001b.1fc	\N	\N	524288	01f3999e	4f9ec67e52aabe6a0d2e2210824349e25dd9269d	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001b.538	\N	\N	524288	714c2c01	2a5e612807a6000824cc0ae848774c5e5bdcb572	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001b.53c	\N	\N	524288	c57ce8b0	241d98fdf2cfb33321387c396b98011744b472c4	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001b.638	\N	\N	524288	b15a7f25	c5488becc87fe5be5a402f5358cd4c6c7e7e0474	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001b.63c	\N	\N	524288	25f00cd3	55f51d80efab87ea1ea2bdcb92b97eeab3097b93	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001c.1f8	\N	\N	524288	f76aa00e	6dbde96b083c34ee77ce512edaa2284061172df5	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001c.1fc	\N	\N	524288	851ce851	58d2c904224c50cd9c2b5c5710bb8539b94af604	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001c.538	\N	\N	524288	2e7e59df	a0a5afd8259eff487d80a43405b6368bfb8a7862	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001c.53c	\N	\N	524288	a93185ce	8b979391f3dba5ee4869bbe8417cbe04f781a3bd	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001c.638	\N	\N	524288	341438e4	233703b8ecd61ba173bf6636677f4f8e8972e8f4	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001c.63c	\N	\N	524288	fb8adce8	e7a269db6b1f03cab4535b41caaae27e7d98dd4b	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001d.1f8	\N	\N	524288	9e2c8366	89ababf09a578750fed508475bcfb562bc9116a6	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001d.1fc	\N	\N	524288	b1a0ccb0	ccadb887818477906071edf85408bfe5d74e919a	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001d.538	\N	\N	524288	410938c5	230e4c466a38fee7432be7352b99b9331c227532	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001d.53c	\N	\N	524288	50d66909	4458e59e7fdddd8c2383d4f0edd025a08eaa1222	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001d.638	\N	\N	524288	74d995c5	fd269844104c598cda96cc8823c0acdbddeaa9ba	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	3countb	n106001d.63c	\N	\N	524288	521b6df1	aa8a072f1abe4a0bb62a917dd2662dfdbaef0faa	\N	\N	\N	\N	\N	\N	
game	NeoRAGEx_v0.6b	alpham2	\N	\N	\N	neogeo	\N	Alpha Mission II / ASO II - Last Guardian	1991	SNK	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	ng-sfix.rom	ng-sfix.rom	\N	131072	354029fc	4ae4bf23b4c2acff875775d4cbff5583893ce2a1	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	neo-geo.rom	neo-geo.rom	\N	131072	9036d879	4f5ed7105b7128794654ce82b51723e16e389543	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001a.038	\N	\N	524288	4400b34c	99cd25c0383e8ffba2d83f2d9c5c6452fe69c362	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001a.03c	\N	\N	524288	b0366875	591a02a5cef01e190eaed922894920571f4f6bdb	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001a.178	\N	\N	524288	7ec0e76d	5f84f0a236b5cb7dd02b588806bc7f6e35eb515d	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001a.17c	\N	\N	524288	7a796ead	0a5b2683acc680edef3d3aa44681e0d648dce53f	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001a.278	\N	\N	524288	45f5e914	d89d9917a0aaf1c662d5633a52a29bd670577830	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001a.27c	\N	\N	524288	07524063	559c3f1b33cfb112dd8d70726be07cac1cafd72f	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001a.378	\N	\N	131072	85ec9acf	39a11974438ad36a2cc84307151b31474c3c5518	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001a.478	\N	\N	65536	0449acf5	1275ba5dad1c5123f727dd4193b8ee2cb910760d	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001a.538	\N	\N	524288	c516b09e	910b6197fef78138da2c5b18507d12d841a518e5	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001a.53c	\N	\N	524288	d9a0ff6c	f2577736d516471a6757a8134916fbf7316a9809	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001a.638	\N	\N	524288	6b674581	3cbf29302c2677abe79ae10ef95097c6d62ca88c	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001a.63c	\N	\N	524288	4ff21008	496a27d902342dbb3685ad8354981e76dc839f47	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001b.178	\N	\N	524288	70bc86a5	00ef9faf9b094bca2fd654b26eb03e6e40bd6f80	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001b.17c	\N	\N	524288	29963a92	fb2ff29e48cfee33c0f8c12f849b35bd5be27ec9	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001b.278	\N	\N	524288	c3178623	687e63943a22cfff9778cb41ef6c9b9ac6f43334	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001b.27c	\N	\N	524288	65bca6b7	8c96d98e86799f1a47b5a66d439e01d7935c213c	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001b.538	\N	\N	524288	3a7fe4fd	ad4d93ed7d472579b6ba5fd4809a96762f0c0c2e	\N	\N	\N	\N	\N	\N	
game_rom	NeoRAGEx_v0.6b	alpham2	n082001b.638	\N	\N	524288	d0e8eef3	560594bf1ec6ca32b38d0fe73b4cb5b5ecb56d56	\N	\N	\N	\N	\N	\N	
