game	Cinelator_95_Beta	speedfrk	\N	\N	\N	\N	\N	Speed Freak	1979	Vectorbeam	\N	\N	\N	
game_rom	Cinelator_95_Beta	speedfrk	0470-21	\N	\N	1024	3228d5cf	d511ec9d863635b35b2b935fae22d4926043377e	\N	\N	\N	\N	\N	\N	
game_rom	Cinelator_95_Beta	speedfrk	0470-22	\N	\N	1024	3ca350f4	3bf0ed178544581418f09b9df6b3006b8341bb1b	\N	\N	\N	\N	\N	\N	
game_rom	Cinelator_95_Beta	speedfrk	0470-23	\N	\N	1024	d79bf1fd	5bfbcfb736ac03a58f17cb2a73c95e26f861bca5	\N	\N	\N	\N	\N	\N	
game_rom	Cinelator_95_Beta	speedfrk	0470-24	\N	\N	1024	ff27a073	bb21bb24f617d318c12565a9abc393d3084c527d	\N	\N	\N	\N	\N	\N	
game_rom	Cinelator_95_Beta	speedfrk	0470-25	\N	\N	1024	5090ea03	8f869bdbe823b9576788bcc91a2ccfffdaa6aa95	\N	\N	\N	\N	\N	\N	
game_rom	Cinelator_95_Beta	speedfrk	0470-26	\N	\N	1024	d00bb842	7cf0dd3bc3aff8559f6f0b91529b42677bdcf128	\N	\N	\N	\N	\N	\N	
game_rom	Cinelator_95_Beta	speedfrk	0470-27	\N	\N	1024	8bce0552	ac56ad02331d65b3ea25e42f2267348e9ea35c07	\N	\N	\N	\N	\N	\N	
game_rom	Cinelator_95_Beta	speedfrk	0470-28	\N	\N	1024	ca8afcbe	e7f8b8f9219b1801c48c4877a72fa273d35b8998	\N	\N	\N	\N	\N	\N	
game	Cinelator_95_Beta	spacewar	\N	\N	\N	\N	\N	Space Wars	1978	Cinematronics	\N	\N	\N	
game_rom	Cinelator_95_Beta	spacewar	sw.e	\N	\N	2048	edf0fd53	a543d8b95bc77ec061c6b10161a6f3e07401e251	\N	\N	\N	\N	\N	\N	
game_rom	Cinelator_95_Beta	spacewar	sw.o	\N	\N	2048	4f21328b	8889f1a9353d6bb1e1078829c1ba77557853739b	\N	\N	\N	\N	\N	\N	
game	Cinelator_95_Beta	wotw	\N	\N	\N	\N	\N	War of the Worlds	1981	Cinematronics	\N	\N	\N	
