game	YAAME_v0.3	amidar	\N	\N	\N	\N	\N	Amidar	1981	Konami	\N	\N	\N	
game_rom	YAAME_v0.3	amidar	amidar.2c	\N	\N	4096	c294bf27	399325bf1559e8cdbddf7cfbf0dc739f9ed72ef0	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	amidar	amidar.2e	\N	\N	4096	e6e96826	e9c4f8c594640424b456505e676352a98b758c03	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	amidar	amidar.2f	\N	\N	4096	3656be6f	9d652f66bedcf17a6453c0e0ead30bfd7ea0bd0a	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	amidar	amidar.2h	\N	\N	4096	1be170bd	c047bc393b297c0d47668a5f6f4870e3fac937ef	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	amidar	amidar.5c	\N	\N	4096	c4b66ae4	9d09dbde4019f7be3abe0815b0e06d542c01c255	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	amidar	amidar.5d	\N	\N	4096	806785af	c8c85e3a6a204feccd7859b4527bd649e96134b4	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	amidar	amidar.5f	\N	\N	2048	5e51e84d	dfe84db7e2b1a45a1d484fcf37291f536bc5324c	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	amidar	amidar.5h	\N	\N	2048	2f7f1c30	83c330eca20dfcc6a4099001943b9ed7a7c3db5b	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	anteater	\N	\N	\N	\N	\N	Anteater	1982	[Stern] (Tago license)	\N	\N	\N	
game_rom	YAAME_v0.3	anteater	ra1-2c	\N	\N	4096	58bc9393	7122782a69ef0d2196ec16833f229b6286802668	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	anteater	ra1-2e	\N	\N	4096	574fc6f6	a1a213d215fe8502edf22383c3a6fb7c9b279d94	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	anteater	ra1-2f	\N	\N	4096	2f7c1fe5	4cea7e66a85766a9cf9846bb5bc1ca4e6ee1f4e2	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	anteater	ra1-2h	\N	\N	4096	ae8a5da3	1893d8293b25431d080b89f5b0874440d14e8d17	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	anteater	ra4-5c	\N	\N	2048	87300b4f	b81b685ac1d353ff1cd40b876a7478b87b85e7a9	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	anteater	ra4-5d	\N	\N	2048	af4e5ffe	62717a233cf9f58267af4a9e1c80479b373ab317	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	anteater	ra6-5f2	\N	\N	2048	1e2824b1	9527937db618505181f4d5a22bc532977a767232	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	anteater	ra6-5h2	\N	\N	2048	784319b3	0c3612a428d0906b07b35782cc0f84fda13aab73	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	blockout	\N	\N	\N	\N	\N	Block Out (set 1)	1989	Technos + California Dreams	\N	\N	\N	
game_rom	YAAME_v0.3	blockout	bo29a0-2.bin	\N	\N	131072	b0103427	53cac2adc04783abbde21e9f3c0e655f22f68f69	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	blockout	bo29a1-2.bin	\N	\N	131072	5984d5a2	4b350856d0313d40eaa3d8a8d9e310f74bc20398	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	bombjack	\N	\N	\N	\N	\N	Bomb Jack (set 1)	1984	Tehkan	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	09_j01b.bin	\N	\N	8192	c668dc30	51dd6a2688b42e9f28f0882bd76f75be7ec3222a	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	10_l01b.bin	\N	\N	8192	52a1e5fb	e1cdc4b4efbc6c7a1e4fa65019486617f2acba1b	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	11_m01b.bin	\N	\N	8192	b68a062a	43bae56494ac0202aaa8f1ed5c1ed1bff775b2b8	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	12_n01b.bin	\N	\N	8192	1d3ecee5	8b3c49e21ea4952cae7042890d1be2115f7d6fda	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	13.1r	\N	\N	8192	70e0244d	67654155e42821ea78a655f869fb81c8d6387f63	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	01_h03t.bin	\N	\N	8192	8407917d	318face9f7a7ab6c7eeac773995040425e780aaf	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	03_e08t.bin	\N	\N	4096	9f0470d5	94ef52ef47b4399a03528fe3efeac9c1d6983446	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	04_h08t.bin	\N	\N	4096	81ec12e6	e29ba193f21aa898499187603b25d2e226a07c7b	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	05_k08t.bin	\N	\N	4096	e87ec8b1	a66808ef2d62fca2854396898b86bac9be5f17a3	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	06_l08t.bin	\N	\N	8192	51eebd89	515128a3971fcb97b60c5b6bdd2b03026aec1921	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	07_n08t.bin	\N	\N	8192	9dd98e9d	6db6006a6e20ff7c243d88293ca53681c4703ea5	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	08_r08t.bin	\N	\N	8192	3155ee7d	e7897dca4c145f10b7d975b8ef0e4d8aa9354c25	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	16_m07b.bin	\N	\N	8192	94694097	de71bcd67f97d05527f2504fc8430be333fb9ec2	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	15_l07b.bin	\N	\N	8192	013f58f2	20c64593ab9fcb04cefbce0cd5d17ce3ff26441b	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	14_j07b.bin	\N	\N	8192	101c858d	ed1746c15cdb04fae888601d940183d5c7702282	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	bombjack	02_p04t.bin	\N	\N	4096	398d4a02	ac18a8219f99ba9178b96c9564de3978e39c59fd	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	carnival	\N	\N	\N	\N	\N	Carnival (upright)	1980	Sega	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	651u33.cpu	\N	\N	1024	9f2736e6	c3fb9197b5e83dc7d5335de2268e0acb30cf8328	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	652u32.cpu	\N	\N	1024	a1f58beb	e027beca7bf3ef5ef67e2195f909332fd194b5dc	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	653u31.cpu	\N	\N	1024	67b17922	46cdfd0371dec61a5440c2111660729c0f0ecdb8	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	654u30.cpu	\N	\N	1024	befb09a5	da44b6a869b5eb0705e01fee4478696f6bef9de8	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	655u29.cpu	\N	\N	1024	623fcdad	35890964f5cf799c141002916641089ccec0fcc9	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	656u28.cpu	\N	\N	1024	53040332	ff7a06d93cb890abf0616770774668396d128ba3	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	657u27.cpu	\N	\N	1024	f2537467	262b859098f4f7e5e9bf2f83bda833044824226e	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	658u26.cpu	\N	\N	1024	fcc3854e	7adbd6ca6f636dec75fa6eccdf3381686e074bc6	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	659u8.cpu	\N	\N	1024	28be8d69	2d9ac9a53f00fe2282e4317585e6bddadb676c0f	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	660u7.cpu	\N	\N	1024	3873ccdb	56be81fdee8947758ba966915c0739e5560a7f94	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	661u6.cpu	\N	\N	1024	d9a96dff	0366acf3418901bfeeda59d4cd51fe8ceaad4577	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	662u5.cpu	\N	\N	1024	d893ca72	564176ab7f3757d51db8eef9fbc4228fa2ce328f	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	663u4.cpu	\N	\N	1024	df8c63c5	e8d0632b5cb5bd7f698485531f3edeb13efdc685	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	664u3.cpu	\N	\N	1024	689a73e8	b4134e8d892df7ba3352e4d3f581923decae6e54	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	665u2.cpu	\N	\N	1024	28e7b2b6	57eb5dd0f11da8ff8001e76036264246d6bc27d2	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	carnival	666u1.cpu	\N	\N	1024	4eec7fae	cdc858165136c55b01511805c9d4dc6bc598fe1f	\N	\N	\N	\N	\N	\N	
game	YAAME_v0.3	dorunrun	\N	\N	\N	\N	\N	Do! Run Run (set 1)	1984	Universal	\N	\N	\N	
game_rom	YAAME_v0.3	dorunrun	2764.p1	\N	\N	8192	95c86f8e	9fe44911e0aa8d4c7299472a31c401e064d63d17	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dorunrun	2764.l1	\N	\N	8192	e9a65ba7	fbee57d68352fd4062aac55cd1070f001714d0a3	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dorunrun	2764.k1	\N	\N	8192	b1195d3d	095ad2ee1f53be3203830263cb0c9efbe4710c56	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dorunrun	2764.n1	\N	\N	8192	6a8160d1	12101c351bf800319172c459b5e7c69cb5603806	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dorunrun	27128.p7	\N	\N	16384	8b06d461	2434478810c6301197997be76505f5fc6beba5d3	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dorunrun	27128.a3	\N	\N	16384	4be96dcf	f9b45e6297cbbc4d1ee2df7ac377c5daf5181b0f	\N	\N	\N	\N	\N	\N	
game_rom	YAAME_v0.3	dorunrun	2764.m4	\N	\N	8192	4bb231a0	350423a1e602e23b229095021942d4b14a4736a7	\N	\N	\N	\N	\N	\N	
