game	Rock-ulator_v0.86	fantasy	\N	\N	\N	\N	\N	Fantasy (US)	1981	[SNK] (Rock-ola license)	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic12.cpu	\N	\N	4096	22cb2249	6c43e3fa9638b6d2e069199968923e470bd5d18b	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic07.cpu	\N	\N	4096	0e2880b6	666d6942864eb7a90178b3b6e2b0eb23aa3c967f	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic08.cpu	\N	\N	4096	4c331317	800850f4e8bcfbbade54eb9e47a53941f8798641	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic09.cpu	\N	\N	4096	6ac1dbfc	b9c7bf8d3b085db0b53646b5639c09f9ced2b1fe	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic10.cpu	\N	\N	4096	c796a406	1b7f5f307a81b481a3e7791128a01d4c1a20c4bf	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic14.cpu	\N	\N	4096	6f1f0698	05bd114dcd08c990d897518a8ea7965bc82279bf	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic15.cpu	\N	\N	4096	5534d57e	e564a3325766423b47de18d6adb61760cbbf88be	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic16.cpu	\N	\N	4096	6c2aeb6e	fd0b913a663bf2a5f45fc3d342d7575a9c7dae46	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic17.cpu	\N	\N	4096	f6aa5de1	ca53cf66cc6cdb21a60760102f35a5b0745ce09b	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic50.vid	\N	\N	4096	86a801c3	c040b5807c25823072f7e8ceab57b95d4bed89fe	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic51.vid	\N	\N	4096	9dfff71c	7a7c017170f2ea903a730a4e5ab69db379a4fc61	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic51.cpu	\N	\N	2048	48094ec5	7d6118133bc1eb8ebc5d8a95d10ef842daffef89	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic52.cpu	\N	\N	2048	1d0316e8	6a3ab289b5fefef8663514bd1d5817c70fe58882	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	fantasy	ic53.cpu	\N	\N	2048	49fd4ae8	96ff1267c0ffab1e8a0769fa869516e2546ab640	\N	\N	\N	\N	\N	\N	
game	Rock-ulator_v0.86	nibbler	\N	\N	\N	\N	\N	Nibbler (set 2)	1982	Rock-ola	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic12	\N	\N	4096	6dfa1be5	bb265702a2f74cb7d5ba27081f9fb2fe01dd95a5	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic07	\N	\N	4096	808e1a03	a747a16ee0c8cb803b72ac84e80f791b2bf1813a	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic08	\N	\N	4096	1571d4a2	42cbaa262c2265d904fd5844c0d3c63d3beb67a8	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic09	\N	\N	4096	a599df10	68ee8b5199ec24409fcbb40c887a1eec44c68dcf	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic10	\N	\N	4096	a6b5abe5	a0f228dac801a54dfa1947d6b2f6b4e3d005e0b2	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic14	\N	\N	4096	9f537185	619df63f4df38014dc229f614043f867e6a5aa51	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic15	\N	\N	4096	7205fb8d	bc341bc11a383aa8b8dd7b2be851907a3ec56f8b	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic16	\N	\N	4096	4bb39815	1755c28d7d300524ab839aedcc744254544e9c19	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic17	\N	\N	4096	ed680f19	b44203585f32ebe2a3bf0597eac7c0faa7e81a92	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic50	\N	\N	4096	01d4d0c2	5a8026210a872351ce4e39e27f6479d3ca0689e2	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic51	\N	\N	4096	feff7faf	50005502578a4ea9b9c8f36998670b787d2d0b20	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic52	\N	\N	2048	87d67dee	bd292eab3671cb953279f3136a450deac3818367	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	nibbler	ic53	\N	\N	2048	33189917	01a1b1693db0172609780daeb60430fa0c8bcec2	\N	\N	\N	\N	\N	\N	
game	Rock-ulator_v0.86	vanguard	\N	\N	\N	\N	\N	Vanguard (SNK)	1981	SNK	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk4_ic07.bin	\N	\N	4096	6a29e354	ff953962ebc14a28cfc96f8e269cb1e1c188ed8a	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk4_ic08.bin	\N	\N	4096	302bba54	1944f229481328a0635fafda65054106f42a532a	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk4_ic09.bin	\N	\N	4096	424755f6	b4762b40c7ed70d4b90319a1a30983a41a096afb	\N	\N	\N	\N	\N	\N	
game_rom	Rock-ulator_v0.86	vanguard	sk4_ic10.bin	\N	\N	4096	54603274	31571a560dbe300417b3ed5b114fa1d9ef742da9	\N	\N	\N	\N	\N	\N	
