game	Sega_System_C2_Emulator_v0.2b	bloxeedc	\N	\N	\N	\N	\N	Bloxeed (US/Europe, C2 Version)	1990	Sega	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	bloxeedc	12907.bin	\N	\N	131072	e5fcbac6	a1adec5ef5574bff96a3d66619a24a6715097bb9	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	bloxeedc	12908.bin	\N	\N	131072	fc77cb91	248a462e3858ffdc171af7d806e57deecb5dae50	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	bloxeedc	12992.bin	\N	\N	131072	19b0084c	b3ba0f3d8d39a19aa66edb24885ea21192e22704	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	bloxeedc	12993.bin	\N	\N	131072	487bc8fc	3fb205bf56f35443e993e08b39c1a08c13ca5e3b	\N	\N	\N	\N	\N	\N	
game	Sega_System_C2_Emulator_v0.2b	borench	\N	\N	\N	\N	\N	Borench	1990	Sega	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	borench	ic31.bin	\N	\N	262144	b46445fc	24e85ef5abbc5376a854b13ed90f08f0c30d7f25	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	borench	ic32.bin	\N	\N	262144	2c54457d	adf3ea5393d2633ec6215e64f0cd89ad4567e765	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	borench	ic4.bin	\N	\N	131072	62b85e56	822ab733c87938bb70a9e32cc5dd36bbf6f21d11	\N	\N	\N	\N	\N	\N	
game	Sega_System_C2_Emulator_v0.2b	columns	\N	\N	\N	\N	\N	Columns (Japan)	1990	Sega	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	columns	epr13111.31	\N	\N	131072	aa5ccd6d	480e29e3112282d1790f1fb68075453325ba4336	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	columns	epr13112.32	\N	\N	131072	bae6e53e	2c2fd621eecd55591f22d076323972a7d0314615	\N	\N	\N	\N	\N	\N	
game	Sega_System_C2_Emulator_v0.2b	columns2	\N	\N	\N	\N	\N	Columns II - The Voyage Through Time (Japan)	19??	Sega	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	columns2	epr13360.rom	\N	\N	131072	a59b1d4f	e9ee315677782e1c61ae8f11260101cc03176188	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	columns2	epr13361.rom	\N	\N	131072	b54b5f12	4d7fbae7d9bcadd433ebc25aef255dc43df611bc	\N	\N	\N	\N	\N	\N	
game	Sega_System_C2_Emulator_v0.2b	ichident	\N	\N	\N	\N	\N	Ichident-R (Puzzle & Action 2) (Japan)	19??	Sega	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	ichident	epr16884	\N	\N	524288	fd9dcdd6	b8053a2e68072e7664ffc3c53f983f3ba72a892b	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	ichident	epr16885	\N	\N	524288	1ce4e837	16600600e12e3f35e3da89524f7f51f019b5ad17	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	ichident	epr16886	\N	\N	524288	38208e28	07fc634bdf2d3e25274c9c374b3506dec765114c	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	ichident	epr16887	\N	\N	524288	bc3bbf25	e760ad400bc183b38e9787d88c8ac084fbe2ae21	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	ichident	epr16888	\N	\N	524288	85d73722	7ebe81b4d6c89f87f60200a3a8cddb07d581adef	\N	\N	\N	\N	\N	\N	
game	Sega_System_C2_Emulator_v0.2b	potopoto	\N	\N	\N	\N	\N	PotoPoto (Japan)	19??	Sega	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	potopoto	epr16660	\N	\N	262144	8251c61c	03eef3aa0bdde2c1d93128648f54fd69278d85dd	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	potopoto	epr16661	\N	\N	262144	5a7d14f4	a615b5f481256366db7b1c6302a8dcb69708102b	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	potopoto	epr16662	\N	\N	262144	bbd305d6	1a4f4869fefac188c69bc67df0b625e43a0c3f1f	\N	\N	\N	\N	\N	\N	
game	Sega_System_C2_Emulator_v0.2b	puyopuy2	\N	\N	\N	\N	\N	Puyo Puyo 2 (Expert?) (Japan)	1994	Sega	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	puyopuy2	pp2.32	\N	\N	524288	1cad1149	77fb0482fa35e615c0bed65f4d7f4dd89b241f23	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	puyopuy2	pp2.31	\N	\N	524288	beecf96d	c2bdad4b6184c11f81f2a5db409cb4ea186205a7	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	puyopuy2	pp2.4	\N	\N	524288	020ff6ef	6095b8277b47a6fd7a9721f15a70ae5bf6be9b1a	\N	\N	\N	\N	\N	\N	
game	Sega_System_C2_Emulator_v0.2b	puyopuyo	\N	\N	\N	\N	\N	Puyo Puyo (Program Revision ?, Japan)	19??	Sega	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	puyopuyo	epr15034	\N	\N	131072	5688213b	f3f234e482871ca903a782e51008f3bfed04ee63	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	puyopuyo	epr15035	\N	\N	131072	bc62e400	12bb6031574838a28889f6edb31dbb689265287c	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	puyopuyo	epr15036	\N	\N	131072	5310ca1b	dcfe2bf7476b640dfb790e8716e75b483d535e48	\N	\N	\N	\N	\N	\N	
game_rom	Sega_System_C2_Emulator_v0.2b	puyopuyo	epr15037	\N	\N	131072	be2f7974	77027ced7a62f94e9fc6e8a0a4ac0c62f7ea813b	\N	\N	\N	\N	\N	\N	
