game	nonmame	sfzch	\N	\N	\N	\N	\N	CPS Changer (Street Fighter ZERO)	1995	Capcom	\N	\N	\N	
game_rom	nonmame	sfzch	sfzch23	\N	\N	524288	1140743f	\N	\N	cpu1	\N	\N	\N	0	
game_rom	nonmame	sfzch	sfza22	\N	\N	524288	8d9b2480	\N	\N	cpu1	\N	\N	\N	80000	
game_rom	nonmame	sfzch	sfzch21	\N	\N	524288	5435225d	\N	\N	cpu1	\N	\N	\N	100000	
game_rom	nonmame	sfzch	sfza20	\N	\N	524288	806e8f38	\N	\N	cpu1	\N	\N	\N	180000	
game_rom	nonmame	sfzch	sfz03	\N	\N	524288	9584ac85	\N	\N	gfx1	\N	yes	\N	0	
game_rom	nonmame	sfzch	sfz07	\N	\N	524288	bb2c734d	\N	\N	gfx1	\N	yes	\N	80000	
game_rom	nonmame	sfzch	sfz12	\N	\N	524288	f122693a	\N	\N	gfx1	\N	yes	\N	100000	
game_rom	nonmame	sfzch	sfz16	\N	\N	524288	19a5abd6	\N	\N	gfx1	\N	yes	\N	180000	
game_rom	nonmame	sfzch	sfz01	\N	\N	524288	0dd53e62	\N	\N	gfx1	\N	yes	\N	200000	
game_rom	nonmame	sfzch	sfz05	\N	\N	524288	2b47b645	\N	\N	gfx1	\N	yes	\N	280000	
game_rom	nonmame	sfzch	sfz10	\N	\N	524288	2a7d675e	\N	\N	gfx1	\N	yes	\N	300000	
game_rom	nonmame	sfzch	sfz14	\N	\N	524288	09038c81	\N	\N	gfx1	\N	yes	\N	380000	
game_rom	nonmame	sfzch	sfz04	\N	\N	524288	b983624c	\N	\N	gfx1	\N	yes	\N	400000	
game_rom	nonmame	sfzch	sfz08	\N	\N	524288	454f7868	\N	\N	gfx1	\N	yes	\N	480000	
game_rom	nonmame	sfzch	sfz13	\N	\N	524288	7cf942c8	\N	\N	gfx1	\N	yes	\N	500000	
game_rom	nonmame	sfzch	sfz17	\N	\N	524288	248b3b73	\N	\N	gfx1	\N	yes	\N	580000	
game_rom	nonmame	sfzch	sfz02	\N	\N	524288	94c31e3f	\N	\N	gfx1	\N	yes	\N	600000	
game_rom	nonmame	sfzch	sfz06	\N	\N	524288	74fd9fb1	\N	\N	gfx1	\N	yes	\N	680000	
game_rom	nonmame	sfzch	sfz11	\N	\N	524288	e35546c8	\N	\N	gfx1	\N	yes	\N	700000	
game_rom	nonmame	sfzch	sfz15	\N	\N	524288	1aa17391	\N	\N	gfx1	\N	yes	\N	780000	
game_rom	nonmame	sfzch	sfz09	\N	\N	65536	c772628b	\N	\N	cpu2	\N	\N	\N	0	
game_rom	nonmame	sfzch	sfz18	\N	\N	131072	61022b2d	\N	\N	sound1	\N	\N	\N	0	
game_rom	nonmame	sfzch	sfz19	\N	\N	131072	3b5886d5	\N	\N	sound1	\N	\N	\N	20000	
game	nonmame	sfach	\N	\N	sfzch	sfzch	\N	Street Fighter Alpha (Publicity CPS Changer 950727)	1995	Capcom	\N	\N	\N	
game_rom	nonmame	sfach	sfach23	\N	\N	524288	02a1a853	d92b9e774844fdcc9d9946b3e892b021e672d876	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfza22	sfza22	\N	524288	8d9b2480	405305c1572908d00eab735f28676fbbadb4fac6	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfzch21	sfzch21	\N	524288	5435225d	6b1156fd82d0710e244ede39faaae0847c598376	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfza20	sfza20	\N	524288	806e8f38	b6d6912aa8f2f590335d7ff9a8214648e7131ebb	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz01	sfz01	\N	524288	0dd53e62	5f3bcf5ca0fd564d115fe5075a4163d3ee3226df	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz02	sfz02	\N	524288	94c31e3f	2187b3d4977514f2ae486eb33ed76c86121d5745	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz03	sfz03	\N	524288	9584ac85	bbd62d66b0f6909630e801ce5d6331d43f44d741	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz04	sfz04	\N	524288	b983624c	841106bb9453e3dfb7869c4b0e9149cc610d515a	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz05	sfz05	\N	524288	2b47b645	bc6426eff5df9417f32666586744626fa544f7b5	\N	\N	\N	\N	\N	\N	
game_rom	nonmame	sfach	sfz06	sfz06	\N	524288	74fd9fb1	7945472591f3c06970e96611a0363ed8f3d52c36	\N	\N	\N	\N	\N	\N	
