game	Vectorama_v1.0.2	llander	\N	\N	\N	\N	\N	Lunar Lander (rev 2)	1979	Atari	\N	\N	\N	
game_rom	Vectorama_v1.0.2	llander	034572.02	\N	\N	2048	b8763eea	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	llander	034571.02	\N	\N	2048	77da4b2f	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	llander	034570.01	\N	\N	2048	2724e591	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	llander	034569.02	\N	\N	2048	72837a4e	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	llander	034599.01	\N	\N	2048	355a9371	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	llander	034598.01	\N	\N	2048	9c4ffa68	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	llander	034597.01	\N	\N	2048	\N	\N	\N	\N	nodump	\N	\N	\N	
game	Vectorama_v1.0.2	asteroid	\N	\N	\N	\N	\N	Asteroids (rev 2)	1979	Atari	\N	\N	\N	
game_rom	Vectorama_v1.0.2	asteroid	035145.02	\N	\N	2048	0cc75459	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	asteroid	035144.02	\N	\N	2048	096ed35c	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	asteroid	035143.02	\N	\N	2048	312caa02	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	asteroid	035127.02	\N	\N	2048	8b71fd9e	\N	\N	\N	\N	\N	\N	\N	
game	Vectorama_v1.0.2	bzone	\N	\N	\N	\N	\N	Battle Zone (set 1)	1980	Atari	\N	\N	\N	
game_rom	Vectorama_v1.0.2	bzone	036414.01	\N	\N	2048	efbc3fa0	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	bzone	036413.01	\N	\N	2048	5d9d9111	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	bzone	036412.01	\N	\N	2048	ab55cbd2	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	bzone	036411.01	\N	\N	2048	ad281297	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	bzone	036410.01	\N	\N	2048	0b7bfaa4	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	bzone	036409.01	\N	\N	2048	1e14e919	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	bzone	036422.01	\N	\N	2048	7414177b	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	bzone	036421.01	\N	\N	2048	8ea8f939	\N	\N	\N	\N	\N	\N	\N	
game	Vectorama_v1.0.2	astdelux	\N	\N	\N	\N	\N	Asteroids Deluxe (rev 2)	1980	Atari	\N	\N	\N	
game_rom	Vectorama_v1.0.2	astdelux	036430.02	\N	\N	2048	a4d7a525	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	astdelux	036431.02	\N	\N	2048	d4004aae	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	astdelux	036432.02	\N	\N	2048	6d720c41	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	astdelux	036433.03	\N	\N	2048	0dcc0be6	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	astdelux	036800.02	\N	\N	2048	bb8cabe1	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	astdelux	036799.01	\N	\N	2048	7d511572	\N	\N	\N	\N	\N	\N	\N	
game	Vectorama_v1.0.2	redbaron	\N	\N	\N	\N	\N	Red Baron	1980	Atari	\N	\N	\N	
game_rom	Vectorama_v1.0.2	redbaron	037587.01	\N	\N	4096	60f23983	\N	\N	\N	\N	\N	\N	\N	
game_rom	Vectorama_v1.0.2	redbaron	037000.01e	\N	\N	2048	69bed808	\N	\N	\N	\N	\N	\N	\N	
