game	OldSpark_v0.3	eyes	\N	\N	\N	\N	\N	Eyes (Digitrex Techstar)	1982	Digitrex Techstar (Rock-ola license)	\N	\N	\N	
game_rom	OldSpark_v0.3	eyes	d7	\N	\N	4096	3b09ac89	a8f1c918da74495bb73172f39364dada38ae4713	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	eyes	e7	\N	\N	4096	97096855	10d3b164bbbe5eee86e881a1434f0c114ee8adff	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	eyes	f7	\N	\N	4096	731e294e	96c0308c146dbd85e244c4530af9ae8df78c86de	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	eyes	h7	\N	\N	4096	22f7a719	eb000b606ecedd52bebbb232e661fb1ef205f8b0	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	eyes	d5	\N	\N	4096	d6af0030	652b779533e3f00e81cc102b78d367d503b06f33	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	eyes	e5	\N	\N	4096	a42b5201	2e5cede3b6039c7bd5230de27d02aaa3f35a7b64	\N	gfx2	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	eyes	82s123.7f	\N	\N	32	2fc650bd	8d0268dee78e47c712202b0ec4f1f51109b1f2a5	\N	proms	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	eyes	82s129.4a	\N	\N	256	d8d78829	19820d1651423210083a087fb70ebea73ad34951	\N	proms	\N	\N	\N	\N	
game	OldSpark_v0.3	galaxian	\N	\N	\N	\N	\N	Galaxian (Namco set 1)	1979	Namco	\N	\N	\N	
game_rom	OldSpark_v0.3	galaxian	galmidw.u	\N	\N	2048	745e2d61	e65f74e35b1bfaccd407e168ea55678ae9b68edf	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	galaxian	galmidw.v	\N	\N	2048	9c999a40	02fdcd95d8511e64c0d2b007b874112d53e41045	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	galaxian	galmidw.w	\N	\N	2048	b5894925	0046b9ed697a34d088de1aead8bd7cbe526a2396	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	galaxian	galmidw.y	\N	\N	2048	6b3ca10b	18d8714e5ef52f63ba8888ecc5a25b17b3bf17d1	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	galaxian	7l	\N	\N	2048	1b933207	8b44b0f74420871454e27894d0f004859f9e59a9	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	galaxian	1h.bin	\N	\N	2048	39fb43a4	4755609bd974976f04855d51e08ec0d62ab4bc07	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	galaxian	1k.bin	\N	\N	2048	7e3f56a2	a9795d8b7388f404f3b0e2c6ce15d713a4c5bafa	\N	gfx1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	galaxian	6l.bpr	\N	\N	32	c3ac9467	f382ad5a34d282056c78a5ec00c30ec43772bae2	\N	proms	\N	\N	\N	\N	
game	OldSpark_v0.3	jumpbug	\N	\N	\N	\N	\N	Jump Bug	1981	Rock-ola	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jb1	\N	\N	4096	415aa1b7	4f9edd7e9720acf085dd8910849c2f2fac5cb547	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jb2	\N	\N	4096	b1c27510	66fbe0b94b6c101cb50d7a3ff78160110415dff9	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jb3	\N	\N	4096	97c24be2	1beb9fbc3a52610b416af8b5fee156d8b6b3125a	\N	cpu1	\N	\N	\N	\N	
game_rom	OldSpark_v0.3	jumpbug	jb4	\N	\N	4096	66751d12	26c68cfb59596ae164ee9ae4a24ddf8dc7a923a7	\N	cpu1	\N	\N	\N	\N	
