game	CottAGE_v0.12	1942	\N	\N	\N	\N	\N	1942 (set 1)	1984	Capcom	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	01d_sb-2.bin	\N	\N	256	8bb8b3df	49de2819c4c92057fedcb20425282515d85829aa	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	01m_sb-9.bin	\N	\N	256	4921635c	aee37d6cdc36acf0f11ff5f93e7b16e4b12f6c39	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	02d_sb-3.bin	\N	\N	256	3b0c99af	38f30ac1e48632634e409f328ee3051b987de7ad	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	03k_sb-8.bin	\N	\N	256	f6fad943	b0a24ea7805272e8ebf72a99b08907bc00d5f82f	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	06d_sb-4.bin	\N	\N	256	4858968d	20b5dbcaa1a4081b3139e7e2332d8fe3c9e55ed6	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	08e_sb-5.bin	\N	\N	256	93ab8153	a792f24e5c0c3c4a6b436102e7a98199f878ece1	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	09e_sb-6.bin	\N	\N	256	8ab44f7d	f74680a6a987d74b3acb32e6396f20e127874149	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	1-f2.bin	\N	\N	8192	6ebca191	0dbddadde54a0ab66994c4a8726be05c6ca88a0e	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	1-n3a.bin	\N	\N	16384	40201bab	4886c07a4602223c21419118e10aadce9c99fa5a	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	1-n4.bin	\N	\N	16384	a60ac644	f37862db3cf5e6cc9ab3276f3bc45fd629fd70dd	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	1-n5.bin	\N	\N	16384	835f7b24	24b66827f08c43fbf5b9517d638acdfc38e1b1e7	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	1-n6.bin	\N	\N	8192	821c6481	06becb6bf8b4bde3a458098498eecad566a87711	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	1-n7.bin	\N	\N	16384	5df525e1	70cd2910e2945db76bd6ebfa0ff09a5efadc2d0b	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	10e_sb-7.bin	\N	\N	256	f4ade9a4	62ad31d31d183cce213b03168daa035083b2f28e	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	2-a1.bin	\N	\N	8192	3884d9eb	5cbd9215fa5ba5a61208b383700adc4428521aed	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	2-a2.bin	\N	\N	8192	999cf6e0	5b8b685038ec98b781908b92eb7fb9506db68544	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	2-a3.bin	\N	\N	8192	8edb273a	85fdd4c690ed31e6396e3c16aa02140ee7ea2d61	\N	\N	\N	\N	\N	\N	
game_rom	CottAGE_v0.12	1942	2-a4.bin	\N	\N	8192	3a2726c3	187c92ef591febdcbd1d42ab850e0cbb62c00873	\N	\N	\N	\N	\N	\N	
