game	Qix_Emulator_v0.1	qix	\N	\N	\N	\N	\N	Qix (set 1)	1981	Taito America Corporation	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u12	\N	\N	2048	aad35508	5fa72e00b4373de21e27a86b49a44a9769f769f4	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u13	\N	\N	2048	46c13504	19c084c38b75f14bf5094b317afeecaca6870f7a	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u14	\N	\N	2048	5115e896	8359a1700fff7a38e8ea4f92a4f18bc628cf1cb1	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u15	\N	\N	2048	ccd52a1b	86d134cd769ef12820638b96a4ffedd8b15dffd2	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u16	\N	\N	2048	cd1c36ee	b379b1fe3109947a12c9683cd0c2400c2ee845b3	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u17	\N	\N	2048	1acb682d	a2c60964e8d838d09662f8a670c6da41ba850df9	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u18	\N	\N	2048	de77728b	8e183bb27858aad9a996e4a2e5a95f0145d1f5b4	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u19	\N	\N	2048	c0994776	9452a98c78a038679c4e58f4a9983adb28ea5e78	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u4	\N	\N	2048	5b906a09	84a2e817d6718e0276fcea702811a91bc054a670	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u5	\N	\N	2048	254a3587	66045c71cc1d04d4e03c728e578f570fbf7c650d	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u6	\N	\N	2048	ace30389	50c6275d13cfbca7750d5a3e725faedba7574e04	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u7	\N	\N	2048	8ebcfa7c	21ccf5e74424ab5470473d1059ee6a43d144f685	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u8	\N	\N	2048	b8a3c8f9	32ba771913ef44b1133ecfaedaae7f96dcc84343	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u9	\N	\N	2048	26cbcd55	2e55e222f850548cd1d461ab5337e98dd817b567	\N	\N	\N	\N	\N	\N	
game_rom	Qix_Emulator_v0.1	qix	u10	\N	\N	2048	568be942	8b6a01d983d355a64372fa76af810ab53e09d5df	\N	\N	\N	\N	\N	\N	
