game	Grytra_v1.0	gryzor	\N	\N	\N	\N	\N	Contra (Japan bootleg)	1987	bootleg	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-9.rom	\N	\N	65536	875c61de	e8dc42fef810a9f5471d96cb5297eb29296ba472	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-10.rom	\N	\N	65536	e6db9685	4d5ccfe95b082fe9830e7a316f88fd6f02464900	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-11.rom	\N	\N	65536	bd9ba92c	e7f65ed20cd7754cc476e8fab7e56105cedcdb98	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-12.rom	\N	\N	65536	d0be7ec2	5aa829b8ffbe3f5f92ba672b1c24bfb7836ba1a3	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-13.rom	\N	\N	65536	2b513d12	152ebd849751cc2e95513134ce773a6b2eeb320e	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-14.rom	\N	\N	65536	765afdc7	b7f6871cb154ee7e42e683bce08b73b00e61b0bc	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-15.rom	\N	\N	65536	daa2324b	8a5fb8b79957291dc952e19e6973c64bb7230816	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-16.rom	\N	\N	65536	e27cc835	cb980b1fed110c7e4ef21fa11f44e5aea100881b	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-17.rom	\N	\N	65536	ce4330b9	0a2bd31baa0bc5e3745ee5ddac995557a551d58c	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-18.rom	\N	\N	65536	1571ce42	04082ed78b5e7f20b99d6edfb6c363574abd6158	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-2.rom	\N	\N	65536	bdb9196d	fad170e8fda94c9c9d7b82433daa30b80af12efc	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-3.rom	\N	\N	65536	5d5f7438	489fe56ca57ef4f6a7792fba07a9656009f3f285	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-4.rom	\N	\N	65536	2cc7e52c	7598a63346bf06dd34fd643fdff53fc3de6768a6	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-5.rom	\N	\N	65536	e01a5b9c	58c99cf99f209c584da757320a2f107244056d4c	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-6.rom	\N	\N	65536	aeea6744	220b42f707db99967bdcbd9ac66fcc83675a72aa	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-7.rom	\N	\N	65536	57f467d2	e30be315980f421143d1357174af678362836285	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-8.rom	\N	\N	65536	642765d6	d1563a392b8d8409f0f2159c2e82cd34b9ca2900	\N	\N	\N	\N	\N	\N	
game_rom	Grytra_v1.0	gryzor	g-1.rom	\N	\N	32768	d1549255	d700c7de36746ba247e3a5d0410b7aa036aa4073	\N	\N	\N	\N	\N	\N	
