game	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	\N	\N	\N	\N	\N	Vulgus (Japan?)	1984	Capcom	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	1-4n.bin	\N	\N	8192	fe5a5ca5	bb1b5ba5ce54f5e329d23fb8ad1357f65f10d6bf	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	1-5n.bin	\N	\N	8192	847e437f	1d45ca0b92e7aa3099b8a61c27629d9bec3f25b8	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	1-6n.bin	\N	\N	8192	4666c436	a2c921f30f91fead59c4d85d4a5ea8acbcfbf424	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	1-7n.bin	\N	\N	8192	ff2097f9	49789c26a2adde043e5dba9d45a89509a211f05c	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	1-8n.bin	\N	\N	8192	6ca5ca41	6f28d143e984d3d6af3114702ec27d6e878cc35f	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	1-11c.bin	\N	\N	8192	3bd2acf4	b58fb1ea7e30018102ee420d52a1597615412eb1	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	1-3d.bin	\N	\N	8192	8bc5d7a5	c572b4a26f12013f5f6463b79ba9cbee4c474bbe	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	2-2a.bin	\N	\N	8192	e10aaca1	f9f0d05475ae4c554552a71bc2f60e02b1442eb1	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	2-3a.bin	\N	\N	8192	8da520da	c4c633a909526308de4ad83e8ca449fa71eb3cb5	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	2-4a.bin	\N	\N	8192	206a13f1	645666895127aededfa7872b20b7725948a9c462	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	2-5a.bin	\N	\N	8192	b6d81984	c935176f8a9bce0f74ff466e10c23ff6557f85ec	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	2-6a.bin	\N	\N	8192	5a26b38f	987a4844c4568a088932f43a3aff847e6d6b4860	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	2-7a.bin	\N	\N	8192	1e1ca773	dbced07d4a886ed9ad3302aaa37bc02c599ee132	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	2-2n.bin	\N	\N	8192	6db1b10d	85bf67ce4d60b260767ba5fe9b9777f857937fe3	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	2-3n.bin	\N	\N	8192	5d8c34ec	7b7df89398bf83ace1a8c216ca8526beae90972d	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	2-4n.bin	\N	\N	8192	0071a2e3	3f7bb4658d2126576a0f8f46f2c947eec1cd231a	\N	\N	\N	\N	\N	\N	
game_rom	VULGUS_Arcade_Machine_Emulator_v0.2	vulgus	2-5n.bin	\N	\N	8192	4023a1ec	8b69b9cd6db37db94a00da8712413055a631186a	\N	\N	\N	\N	\N	\N	
