game	JAS-Gaplus_v1.4_beta	gaplus	\N	\N	\N	\N	\N	Gaplus (set 1)	1984	Namco	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-3f.bin	\N	\N	256	2d9fbdd8	e6a23cd5ce3d3e76de3b70c8ab5a3c45b1147af4	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-6s.bin	\N	\N	256	2faa3e09	781ffe9088476798409cb922350eff881590cf35	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-6p.bin	\N	\N	512	6f99c2da	955dcef363870ee8e91edc73b9ea3ce489738aad	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-6n.bin	\N	\N	512	c7d31657	a93a5bc448dc127e1389d10a9cb06acadfe940cf	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-1p.bin	\N	\N	256	a5091352	dcd6dfbfbd5281ba0c7b7c189d6fde23617ed3e3	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-1n.bin	\N	\N	256	8bc8022a	c76f9d9b066e268621d41a703c5280261234709a	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-2n.bin	\N	\N	256	8dabc20b	64d7b333f529d3ba66aeefd380fd1cbf9ddf460d	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-1.64	\N	\N	8192	ed8aa206	4e0a31d84cb7aca497485dbe0240009d58275765	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-10.64	\N	\N	8192	6cd8ce11	fc346e98737c9fc20810e32d4c150ae4b4051979	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-11.64	\N	\N	8192	57740ff9	16873e0ac5f975768d596d7d32af7571f4817f2b	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-12.64	\N	\N	8192	7316a1f1	368e4541a5151e906a189712bc05192c2ceec8ae	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-2.64	\N	\N	8192	69fdfdb7	aec611336b8767897ad493d581d70b1f0e75aeba	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-3.64	\N	\N	8192	a74b0266	a534c6b4af569ed545bf52769c7d5ceb5f2c4935	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-4.64	\N	\N	8192	484f11e0	659756ae183dac3817440c8975f203c7dbe08c6b	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-5.64	\N	\N	8192	f3d19987	a0107fa4659597ac42c875ab1c0deb845534268b	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-6.64	\N	\N	8192	14cd61ea	05605abebcf2791e60b2d810dafcdd8582a87d9b	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-7.64	\N	\N	8192	0621f7df	b86020f819fefb134cb57e203f7c90b1b29581c8	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-8.64	\N	\N	8192	bff601a6	e1a04354d8d0bc0d51d7341a46bd23cbd2158ee9	\N	\N	\N	\N	\N	\N	
game_rom	JAS-Gaplus_v1.4_beta	gaplus	gp2-9.64	\N	\N	8192	e6a9ae67	99c1e67c3b216aa1b63f199e21c73cdedde80e1b	\N	\N	\N	\N	\N	\N	
