game	Thunder_Beta_4	rthunder	\N	\N	\N	\N	\N	Rolling Thunder (new version)	1986	Namco	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt3-1b.rom	\N	\N	32768	7d252a1b	cb92709e94eb273b3ce44c55cd252170ad1017f4	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-17.rom	\N	\N	65536	766af455	8c71772795e783d6c4b88af9a311d55e363c298a	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-18.rom	\N	\N	65536	3f9f2f5d	541b8f80800cb55e4b81ac48771d00fe10c90743	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt3-19.rom	\N	\N	65536	c16675e9	e31c28cb95ffa85392c74e1d81bfa89acbaefeb9	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt3-20.rom	\N	\N	65536	c470681b	87f8d8509c3e8207f34c6001aaf4d0afdad82d0d	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt3-2b.rom	\N	\N	32768	a7ea46ee	52e8757aacb4e01f8432125729e2323c48ebc4f5	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt3-3.rom	\N	\N	32768	a13f601c	8987174e364d20eeab706c3e0d4e0d3c2b96723c	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-7.rom	\N	\N	65536	a85efa39	1ed63b421a93960668cb4558c1ca1b3c86b1f6be	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-8.rom	\N	\N	32768	f7a95820	82fe0adf6c5b3abef19031646e1eca1585dcc481	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-5.rom	\N	\N	32768	d0fc470b	70f7f1e29527044eae405f58af08bad3097990bd	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-6.rom	\N	\N	16384	6b57edb2	4a8f1e024e5be4d76f2c99d506ae7da86af3d1f5	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-9.rom	\N	\N	65536	8e070561	483b4de79f2429236f45c32ec56b97a9a90574a3	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-10.rom	\N	\N	65536	cb8fb607	ba9400fb19d29a285897cc3a2d4d739ce845f897	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-11.rom	\N	\N	65536	2bdf5ed9	a771e922ad868ca1e008d08a8ff5fdf28aa315fc	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-12.rom	\N	\N	65536	e6c6c7dc	ead143c2730a77911839a25734550188533c7b96	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-13.rom	\N	\N	65536	489686d7	a04b57424acbf2584f736b55740d613a1aae2b8b	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-14.rom	\N	\N	65536	689e56a8	b4d6de4eec47856a62f396f55d531fbf345cf12a	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-15.rom	\N	\N	65536	1d8bf2ca	949ae8b00b94bfa5bc2d07888aafbaaaea559b06	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-16.rom	\N	\N	65536	1bbcf37b	8d27c49b36d5e23dd446c150ada3853eec75e4c1	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-1.bin	\N	\N	512	8ef3bb9d	4636d6b8ba7611b11d4863fab02475dc4a619eaf	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-2.bin	\N	\N	512	6510a8f2	935f140bfa7e6f8cebafa7f1b0de99dd319273d4	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-3.bin	\N	\N	2048	95c7d944	ca5fea028674882a61507ac7c89ada96f5b2674d	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-4.bin	\N	\N	2048	1391fec9	8ca94e22110b20d2ecdf03610bcc89ff4245920f	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt3-4.rom	\N	\N	32768	00cf293f	bc441d21bb4c54a01d2393fbe99201714cd4439d	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt1-21.rom	\N	\N	65536	454968f3	e0a679353491190b6d4f0355324456a1bd7c8a7a	\N	\N	\N	\N	\N	\N	
game_rom	Thunder_Beta_4	rthunder	rt2-22.rom	\N	\N	65536	fe963e72	4c9ce4e4c8e756a743c541f670a6741b520125e3	\N	\N	\N	\N	\N	\N	
