game	Xain_D_Sleena_v1.0	xain	\N	\N	\N	\N	\N	Xain'd Sleena (bootleg)	1986	bootleg	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	1.rom	\N	\N	32768	79f515a7	e61f18e3639dd9afe16c7bcb90fa7be31905e2c6	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	10.rom	\N	\N	32768	a1a860e2	fb2b152bfafc44608039774436ddf3b17eed979c	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	11.rom	\N	\N	32768	948b9757	3ea840cc47ae6a66f3e5f6a2f3e88475dcfe1840	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	12.rom	\N	\N	32768	83c00dd8	8e9b19281039b63072270c7a63d9fb30cda570fd	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	13.rom	\N	\N	32768	8f0aa1a7	be3fdb6204b77dba28b14c5b880d65d7c1d6a161	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	14.rom	\N	\N	32768	45681910	60c3eb4bc08bf11bf09bcd27549c6427fafbb1fb	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	15.rom	\N	\N	32768	a8eeabc8	e5dc31df0b223b65144af3602be5bcb2ff9eebbd	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	16.rom	\N	\N	32768	e59a2f27	4643cea85f8613c36b416f46f9d1753fa9839237	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	18.rom	\N	\N	32768	3f3b62a0	ab7e8f0ff707771401e679b6151ad0ea85cfc792	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	19.rom	\N	\N	32768	76641ee3	8fba0fa6639e7bdfb3f7be5e945a55b64411d242	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	2.rom	\N	\N	32768	d22bf859	9edb159bef2eba2c5d93c03c15fbcb87eea52236	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	20.rom	\N	\N	32768	37671f36	1494eec4ecde9ae1f1101aa13eb301b3f3d06602	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	21.rom	\N	\N	32768	11eb4247	5d2f1fa07b8fb1c6bebfdb02c39282d29813791b	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	22.rom	\N	\N	32768	422b536e	d5985c0bd1c840cb6f0da6b177a2caaff6db5a04	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	23.rom	\N	\N	32768	828c1b0c	cb9b64073b0ade3885f61545191db4c445e3066b	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	24.rom	\N	\N	32768	d37939e0	301d9f6720857c64a4e070444a07a38138ddd4ef	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	25.rom	\N	\N	32768	252976ae	534c9148d33e453f3541543a8c0eb4afc59c7de8	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	26.rom	\N	\N	32768	e6f1e8d5	2ee0227361d1f1358f5b5964dab7e691243cd9ae	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	27.rom	\N	\N	32768	785381ed	95bf4eb29830c589a9793a4138e645e5b77f0c06	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	28.rom	\N	\N	32768	59754e3d	d1781dbc83965fc84492f7282d6813507ba1e81b	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	3.rom	\N	\N	32768	a5318cb8	35fb28c5598e39f22552bb036ae356b78422f080	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	4.rom	\N	\N	32768	84884a2e	5087010a72226e91a084a61b5089c110dba7e933	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	5.rom	\N	\N	32768	59d87a9a	f23cb9a9d6c6249a8a1f8e2acbc235086b008c7b	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	6.rom	\N	\N	32768	5c6c453c	68c0028d15da8f5e53f09e3d154d18cd9f219601	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	7.rom	\N	\N	32768	8d637639	301a7893de8f1bb526f5075e2af8203b8af4b0d3	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	8.rom	\N	\N	32768	71eec4e6	3417c52a39a6fc43c51ad707168180f54153177a	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	9.rom	\N	\N	32768	7fc9704f	b6f353fb7fec58f68b9e28be2aa29146ac64ffd4	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	xain	17.rom	\N	\N	32768	4d977f33	30b446ddb2f32354334ea780c435f2407d128808	\N	\N	\N	\N	\N	\N	
game	Xain_D_Sleena_v1.0	solar	\N	\N	\N	\N	\N	Solar Warrior	1986	[Technos] Taito (Memetron license)	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	p7-0.bin	\N	\N	32768	71eec4e6	3417c52a39a6fc43c51ad707168180f54153177a	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pb-01.bin	\N	\N	32768	83c00dd8	8e9b19281039b63072270c7a63d9fb30cda570fd	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pc-0.bin	\N	\N	32768	8f0aa1a7	be3fdb6204b77dba28b14c5b880d65d7c1d6a161	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pd-0.bin	\N	\N	32768	45681910	60c3eb4bc08bf11bf09bcd27549c6427fafbb1fb	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pe-0.bin	\N	\N	32768	a8eeabc8	e5dc31df0b223b65144af3602be5bcb2ff9eebbd	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pf-0.bin	\N	\N	32768	6e627a77	1d16031acd53c9e691ae7eac8a6f1ae3954fac8c	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pg-0.bin	\N	\N	32768	4d977f33	30b446ddb2f32354334ea780c435f2407d128808	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	ph-0.bin	\N	\N	32768	3f3b62a0	ab7e8f0ff707771401e679b6151ad0ea85cfc792	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pi-0.bin	\N	\N	32768	76641ee3	8fba0fa6639e7bdfb3f7be5e945a55b64411d242	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pj-0.bin	\N	\N	32768	37671f36	1494eec4ecde9ae1f1101aa13eb301b3f3d06602	\N	\N	\N	\N	\N	\N	
game_rom	Xain_D_Sleena_v1.0	solar	pn-0.bin	\N	\N	32768	d2ed6f94	155a0d1d978f07517400d0c602fc40657f8569dc	\N	\N	\N	\N	\N	\N	
