game	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	\N	\N	\N	\N	\N	Diamond Run	1989	KH Video	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d5	\N	\N	32768	453f3f9e	b4dcf2eb0e6d4eca8ccde6e1a60f5e002e49a57b	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d3	\N	\N	32768	f436d6fa	18287ac51e717ea2ba9b307a738f76735120f21b	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d3o	\N	\N	16384	ba4bf9f1	460e01f5ba9cd0c76d1a2ea1e66e9ad49ef1e13b	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d5o	\N	\N	32768	ae58bd3a	674611c7107cae53150fc249ffc616df891698fe	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d2	\N	\N	32768	615f5b6f	7ef9ec5c2072e21c787a6bbf700033f50c759c1d	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d1	\N	\N	16384	3a24e504	56bc38413b8a0dc2829e9c8f7bcfabafe26fd257	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d11	\N	\N	16384	754357d7	eb6e07a5f2d02687306711845001205bf0efa61b	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d10	\N	\N	16384	7531edcd	dc3eabf7e7503f0588f65620d26c1bc5eebde211	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d9	\N	\N	16384	22eeca08	6454b6c0a7a0991744386b79d4988a2517ad0636	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d8	\N	\N	16384	6b61be60	a92ff6e922da523caec1919f53bea48dab4ca564	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d7	\N	\N	16384	fd595274	8d22f89a7251ecc8b56ee3f8cfaab2fd5a716b3f	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d6	\N	\N	16384	7f51dcd2	ff4a68a7a6a5caa558898b03ba4a4dc3ab43ce30	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d17	\N	\N	16384	8164b005	d03bf62734b03c90a8393a23f8ce0a3769c43bf7	\N	\N	\N	\N	\N	\N	
game_rom	Diamond_Run_Arcade_Machine_Emulator_v0.22	diamond	d14	\N	\N	16384	6f132163	cd1ebf9671bcce58896dadbf20f036eaadbe8bd5	\N	\N	\N	\N	\N	\N	
