game	Rishgar_v0.92b	rygar	\N	\N	\N	\N	\N	Rygar (US set 2)	1986	Tecmo	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	cpu_5p.bin	\N	\N	32768	e79c054a	1aaffa53d121d5c55899bf18e85c42333fe0df54	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	cpu_5m.bin	\N	\N	16384	7ac5191b	305f39d974f906f9bc24e9fe2ca58e647925ab63	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	cpu_5j.bin	\N	\N	32768	ed76d606	39c8a07e9a1f218ad088d00a2c9dfc993efafb6b	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	cpu_4h.bin	\N	\N	8192	e4a2fa87	ed58187dbbcf59358496a98ffd6c227a87d6c433	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	cpu_8k.bin	\N	\N	32768	4d482fb6	57ad838b6d30b49dbd2d0ec425f33cfb15a67918	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	vid_6k.bin	\N	\N	32768	aba6db9e	43eb6f4f92afb5fbc11adc7e2ab04878ab56cb17	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	vid_6j.bin	\N	\N	32768	ae1f2ed6	6e6a33e665ba0884b7f57e9ad69d3f51e41d9e7b	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	vid_6h.bin	\N	\N	32768	46d9e7df	a24e0bea310a03636af704a0ad3f1a9cc4aafe12	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	vid_6g.bin	\N	\N	32768	45839c9a	eaee5767d8b0b62b991c089ef51b922e89850b79	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	vid_6p.bin	\N	\N	32768	9eae5f8e	ed83b608ca57b9bf69fa866d9b8f55d16b7cff63	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	vid_6o.bin	\N	\N	32768	5a10a396	12ebed3952ff35a2c275cb27c915f82183048cd4	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	vid_6n.bin	\N	\N	32768	7b12cf3f	6b9d8cad6e15317df01bab0591fab09199ca6d40	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	vid_6l.bin	\N	\N	32768	3cea7eaa	1dd194d5672dfe71c2b27d2d7b76f5a611cff76f	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	vid_6f.bin	\N	\N	32768	9840edd8	f19a1a1d932214037144c533ad07ed81256c34e7	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	vid_6e.bin	\N	\N	32768	ff65e074	513c1bad336ef5d871f15d6ba8943020f98d1f4a	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	vid_6c.bin	\N	\N	32768	89868c85	f21550f40e7a177e95c40f2726c651f85ca8edce	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	vid_6b.bin	\N	\N	32768	35389a7b	a887a89f9bbb5979bb589468d80efba1f243690b	\N	\N	\N	\N	\N	\N	
game_rom	Rishgar_v0.92b	rygar	cpu_1f.bin	\N	\N	16384	3cc98c5a	ea1035be939ed1a994f3273b33412c85dda0973e	\N	\N	\N	\N	\N	\N	
