game	Btishger_v0.31	blktiger	\N	\N	\N	\N	\N	Black Tiger	1987	Capcom	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.5e	\N	\N	32768	a8f98f22	f77c0d0ebf3e52a21d2c0c5004350a408b8e6d24	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.6e	\N	\N	65536	7bef96e8	6d05a73d8400dead78c561b904bf6ef8311e7b91	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.8e	\N	\N	65536	4089e157	7972b1c745057802d4fd66d88b0101eb3c03e701	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.9e	\N	\N	65536	ed6af6ec	bed303c51bcddf233ad0701306d557a60ce9f5a5	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.10e	\N	\N	65536	ae59b72e	6e72214b71f2f337af236c8be891a18570cb6fbb	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.1l	\N	\N	32768	2cf54274	87df100c65999ba1e9d358ffd0fe4bba23ae0efb	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.2n	\N	\N	32768	70175d78	2f02be2785d1824002145ea20db79821d0393929	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.5b	\N	\N	65536	c4524993	9aa6c58004ca1117e5ac44ba8fc51e9128b921b8	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.4b	\N	\N	65536	7932c86f	b3b1bc1e2b0db5c2eb8772f8a2c35129cc80d511	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.9b	\N	\N	65536	dc49593a	e4ef42ba9f238fd43c8217657c92896f31d3912c	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.8b	\N	\N	65536	7ed7a122	3acc6d4c9731db0609c2e26e3bd255847149ca33	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.5a	\N	\N	65536	e2f17438	3e5fdae07d40febedc59c7c7c4d9c6f0d72b58b5	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.4a	\N	\N	65536	5fccbd27	33c55aa9c12b3121ca5c3b4c39a9b152b6946461	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.9a	\N	\N	65536	fc33ccc6	d492626a88565c2626f98ecb1d74535f1ad68e4c	\N	\N	\N	\N	\N	\N	
game_rom	Btishger_v0.31	blktiger	blktiger.8a	\N	\N	65536	f449de01	f6b40e9eb2471b89c42ab84f4214295d284db0c3	\N	\N	\N	\N	\N	\N	
