game	Toki	tokib	\N	\N	\N	\N	\N	Toki (bootleg)	1989	bootleg	\N	\N	\N	
game_rom	Toki	tokib	toki.e3	\N	\N	131072	ae9b3da4	14eabbd0b3596528e96e4399dde03f5817eddbaa	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e5	\N	\N	131072	66a5a1d6	9a8330d19234863952b0a5dce3f5ad28fcabaa31	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e21	\N	\N	32768	bb8cacbd	05cdd2efe63de30dec2e5d2948567cee22e82a63	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e13	\N	\N	32768	052ad275	0f4a9c752348cf5fb43d706bacbcd3e5937441e7	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e22	\N	\N	32768	04dcdc21	3b74019d764a13ffc155f154522c6fe60cf1c5ea	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e7	\N	\N	32768	70729106	e343c02d139d20a54e837e65b6a964e202f5811e	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e23	\N	\N	65536	feb13d35	1b78ce1e48d16e58ad0721b30ab87765ded7d24e	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e24	\N	\N	65536	5b365637	434775b0614d904beaf40d7e00c1eaf59b704cb1	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e15	\N	\N	65536	617c32e6	a80f93c83a06acf836e638e4ad2453692622015d	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e16	\N	\N	65536	2a11c0f0	f9b1910c4932f5b95e5a9a8e8d5376c7210bcde7	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e17	\N	\N	65536	fbc3d456	dd10455f2e6c415fb5e39fb239904c499b38ca3e	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e18	\N	\N	65536	4c2a72e1	52a31f88e02e1689c2fffbbd86cbccd0bdab7dcc	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e8	\N	\N	65536	46a1b821	74d9762aef3891463dc100d1bc2d4fdc3c1d163f	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e9	\N	\N	65536	82ce27f6	db29396a336098664f48e3c04930b973a6ffe969	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e25	\N	\N	65536	63026cad	c8f3898985d99f2a61d4e17eba66b5989a23d0d7	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e20	\N	\N	65536	a7f2ce26	6b12b3bd872112b42d91ce3c0d5bc95c0fc0f5b5	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e11	\N	\N	65536	48989aa0	109c68c9f0966862194226cecc8b269d9307dd25	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e12	\N	\N	65536	c2ad9342	7c9b5c14c8061e1a57797b79677741b1b98e64fa	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e19	\N	\N	65536	6cd22b18	8281cfd46738448b6890c50c64fb72941e169bee	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e14	\N	\N	65536	859e313a	18ac471a72b3ed42ba74456789adbe323f723660	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e10	\N	\N	65536	e15c1d0f	d0d571dd1055d7307379850313216da86b0704e6	\N	\N	\N	\N	\N	\N	
game_rom	Toki	tokib	toki.e6	\N	\N	65536	6f4b878a	4560b1e705a0eb9fad7fdc11fadf952ff67eb264	\N	\N	\N	\N	\N	\N	
