game	Mikie	mikie	\N	\N	\N	\N	\N	Mikie	1984	Konami	\N	\N	\N	
game_rom	Mikie	mikie	11c_n14.bin	\N	\N	8192	f698e6dd	99220eeee4e7b88caa26f2d08502689e1f1fcdf8	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	12a_o13.bin	\N	\N	16384	826e7035	bd62783cb1ba4e7f0196f337280461bb7627f70f	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	12d_o17.bin	\N	\N	16384	161c25c8	373a92b8412676ad9870cb562c73e47db7b40bea	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	06e_n10.bin	\N	\N	8192	2cf9d670	b324b92aff70d7878160128611dd5fdec6949659	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	o11	\N	\N	16384	3c82aaf3	c84256ac5fd5e40b197651c56e303c69aae72950	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	001	\N	\N	16384	a2ba0df5	873d49c1c2efbb222d1bf63396729d4b7d9477c3	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	003	\N	\N	16384	9775ab32	0271567c5f5a6bb2eaffb9d5dc2af6b8142dc8a9	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	005	\N	\N	16384	ba44aeef	410bfd9146242254a920092e280af87586709527	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	007	\N	\N	16384	31afc153	31ca33f585fddb86131ef61de73e3563fa027455	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	01i_d19.bin	\N	\N	256	8b83e7cf	4fce779947f9f318023c7c54a71a4751f6bb8eb1	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	03i_d21.bin	\N	\N	256	3556304a	6f4fc3ef6b1b44278e7c8c1034ee4fbef90cf85a	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	02i_d20.bin	\N	\N	256	676a0669	14236a831204d52cdf8c2ef318a565d6c5587ce0	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	12h_d22.bin	\N	\N	256	872be05c	1525303589d7ed909bc6e2827fbaa2c16ad4030b	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikie	f09_d18.bin	\N	\N	256	7396b374	fedcc421a61d6623dc9c41b0a3e164efeb50ec7c	\N	\N	\N	\N	\N	\N	
game	Mikie	mikiej	\N	\N	mikie	mikie	\N	Shinnyuushain Tooru-kun	1984	Konami	\N	\N	\N	
game_rom	Mikie	mikiej	11c_n14.bin	11c_n14.bin	\N	8192	f698e6dd	99220eeee4e7b88caa26f2d08502689e1f1fcdf8	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiej	12a_o13.bin	12a_o13.bin	\N	16384	826e7035	bd62783cb1ba4e7f0196f337280461bb7627f70f	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiej	12d_o17.bin	12d_o17.bin	\N	16384	161c25c8	373a92b8412676ad9870cb562c73e47db7b40bea	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiej	06e_n10.bin	06e_n10.bin	\N	8192	2cf9d670	b324b92aff70d7878160128611dd5fdec6949659	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiej	08i_q11.bin	\N	\N	16384	c48b269b	d7fcfa44fcda90f1a7df6c974210716ae82c47a3	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiej	f01_q01.bin	\N	\N	16384	31551987	b6cbdb8b511d99b27546a6c4d01f2948d5ad3a42	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiej	f03_q03.bin	\N	\N	16384	34414df0	0189deac6f19de386b4e49cfe6322b212e74264a	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiej	h01_q05.bin	\N	\N	16384	f9e1ebb1	c88c1fc22f21b3e7d558c47de2716dac01fdd621	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiej	h03_q07.bin	\N	\N	16384	15dc093b	0b5a5aea25283b8edb7f534fc84b13f5176e26d6	\N	\N	\N	\N	\N	\N	
game_rom	Mikie	mikiej	01i_d19.bin	01i_d19.bin	\N	256	8b83e7cf	4fce779947f9f318023c7c54a71a4751f6bb8eb1	\N	\N	\N	\N	\N	\N	
