game	XcadePalm152	phoenix	\N	\N	\N	\N	\N	Phoenix (Taito)	1980	Taito	\N	\N	\N	
game_rom	XcadePalm152	phoenix	phoenix.45	\N	\N	2048	5b8c55a8	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	phoenix	phoenix.46	\N	\N	2048	dbc942fa	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	phoenix	phoenix.47	\N	\N	2048	cbbb8839	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	phoenix	phoenix.48	\N	\N	2048	cb65eff8	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	phoenix	phoenix.49	\N	\N	2048	c8a5d6d6	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	phoenix	phoenix.50	\N	\N	2048	ac5e9ec1	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	phoenix	phoenix.51	\N	\N	2048	2eab35b4	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	phoenix	phoenix.52	\N	\N	2048	b9915263	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	phoenix	phoenix.23	\N	\N	2048	3c7e623f	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	phoenix	phoenix.24	\N	\N	2048	59916d3b	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	phoenix	phoenix.39	\N	\N	2048	53413e8f	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	phoenix	phoenix.40	\N	\N	2048	0be2ba91	\N	\N	\N	\N	\N	\N	\N	
game	XcadePalm152	pleiades	\N	\N	\N	\N	\N	Pleiads (Centuri)	1981	Tehkan (Centuri license)	\N	\N	\N	
game_rom	XcadePalm152	pleiades	pleiades.47	\N	\N	2048	711e2ba0	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	pleiades	pleiades.48	\N	\N	2048	93a36943	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	pleiades	pleiades.49	\N	\N	2048	87e700bb	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	pleiades	pleiades.50	\N	\N	2048	5a9beba0	\N	\N	\N	\N	\N	\N	\N	
game_rom	XcadePalm152	pleiades	pleiades.51	\N	\N	2048	1d828719	\N	\N	\N	\N	\N	\N	\N	
