game	Hoot_20011002	1941	\N	\N	\N	\N	\N	1941 [sound only]	1990	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	1941	41_09.rom	\N	\N	65536	0f9d8527	3a00dd5772f38081fde11d8d61ba467379e2a636	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	1941	41_18.rom	\N	\N	131072	d1f15aeb	88089383f2d54fc97026a67f067d448eee5bd0c2	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	1941	41_19.rom	\N	\N	131072	15aec3a6	8153c03aba005bab62bf0e8b3d15ec1c346326fd	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	1943	\N	\N	\N	\N	\N	1943 The Battle of Midway [sound only]	1987	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	1943	1943.05	\N	\N	32768	ee2bd2d7	4d2d019a9f8452fbbb247e893280568a2e86073e	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	19xx	\N	\N	\N	\N	\N	19XX [sound only]	1996	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	19xx	19x.01	\N	\N	131072	ef55195e	813f465f2d392f6abeadbf661c54cf51171fa006	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	19xx	19x.11	\N	\N	2097152	d38beef3	134e961b926a97cca5e45d3558efb98f6f278e08	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	19xx	19x.12	\N	\N	2097152	d47c96e2	3c1b5563f8e7ee1c450b3592fcb319e928caec3c	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	3wonders	\N	\N	\N	\N	\N	3 Wonders [sound only]	1991	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	3wonders	3wonders.09	\N	\N	65536	abfca165	428069d3bdc45775854cd0e8abe447f134fe5492	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	3wonders	3wonders.18	\N	\N	131072	26b211ab	0ea03fdd9edff41eacfc52aa9e0421c10968356b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	3wonders	3wonders.19	\N	\N	131072	dbe64ad0	09f2ad522fe75d7bcca094b8c6696c3733b539d5	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	aburner	\N	\N	\N	\N	\N	After Burner [sound only]	1987	Sega	\N	\N	\N	
game_rom	Hoot_20011002	aburner	10930.11	\N	\N	131072	9209068f	01f3dda1c066d00080c55f2c86c506b6b2407f98	\N	\N	\N	\N	\N	\N	
